ciudad,idprovincia,codeid,latitude,longitude
Abarsetar,2,,42.55554,1.64403
"Abarsetar d'Arcalís",7,,42.62657,1.50148
"Abarsetar de Ferreroles",5,,42.59714,1.55562
"Abarsetar de Galliner",4,,42.56786,1.47817
"Abarsetar de la Coma",7,,42.62793,1.48624
"Abarsetar de Rialb",5,,42.64354,1.55122
Aixàs,6,,42.48476,1.46744
Aixirivall,6,,42.46245,1.50209
Aixovall,6,,42.4764,1.48899
"Alt de Griu",3,,42.5252,1.6511
"Alt del Griu",3,,42.52555,1.65212
"Andorra la Vella",7,,42.5045,1.49414
"Andorra la Vella Heliport",7,,42.51124,1.53358
Anrodat,2,,42.61791,1.68797
Ansalonga,5,,42.56881,1.52198
Anyós,4,,42.53465,1.5251
Arans,5,,42.58226,1.51844
Arinsal,4,,42.57205,1.48453
"Arna Tova",4,,42.5796,1.47284
"Artic de Capell",2,,42.58243,1.608
"Ascobar de Puntal",5,,42.62655,1.54592
"Aspres de Banyell",5,,42.63699,1.57361
"Assaladors del Planell Gran",4,,42.56974,1.46126
Aubaderes,7,,42.50576,1.48777
Aubinyà,6,,42.45016,1.49397
Baixant,4,,42.54715,1.4822
Baladosa,2,,42.57814,1.67777
"Balmes del Solà de l’Allau",5,,42.59436,1.53815
Banyell,5,,42.64133,1.56542
"Barrer d’Areny",4,,42.58402,1.47152
"Baser Negre",5,,42.62477,1.47199
"Basera de Rialb",5,,42.64523,1.56312
"Basera del Prat de la Farga",6,,42.48759,1.4521
"Basera dels Tolls de l’Olla",6,,42.48484,1.45301
"Basers de Coll Pa",8,,42.48835,1.56033
"Basers de Font Blanca",5,,42.65064,1.54459
"Basers de l’Estany de Més Amunt",5,,42.6066,1.47297
"Basers de les Portes",7,,42.48037,1.49438
"Basers de les Tallades",7,,42.50094,1.46747
"Basers de Sobre la Pleta",4,,42.59261,1.46359
"Basers de Vicenç",6,,42.47669,1.4829
"Basers del Prat de la Creu",2,,42.60307,1.63132
"Basers del Prat del Quart",2,,42.6133,1.63098
"Bassa del Racó",5,,42.61919,1.49881
"Bassa Roja",2,,42.60119,1.66433
"Basses de l’Estany Negre",4,,42.58442,1.43495
"Basses del Siscaró",2,,42.59573,1.70196
"Basses dels Basers",2,,42.58646,1.69944
"Bassot dels Clots de Massat",2,,42.56833,1.696
Beixalís,3,,42.53188,1.55277
Besalí,5,,42.63224,1.535
Bisset,4,,42.54265,1.52671
Bissets,4,,42.53032,1.52946
Bixessarri,6,,42.48197,1.46052
Boïgots,4,,42.54526,1.54855
Bombal,5,,42.60294,1.52713
