ciudad,idprovincia,codeid,latitude,longitude
Aconcagua,13,,-32.65383,-70.01141
"Adolfo Gonzáles Chaves",1,,-38,-60.25
Adrogué,1,,-34.80041,-58.38384
"Aeroclub Argentino",1,,-34.73186,-58.59646
"Aeroparque Jorge Newbery",7,,-34.55918,-58.41561
Aguilares,24,,-27.4315,-65.61465
Albardón,18,,-31.43722,-68.52556
Alderetes,24,,-26.81787,-65.14202
Allen,16,,-38.97736,-67.82714
"Almirante Brown Department",3,,-25.81662,-61.45576
"Almirante Brown Partido",1,,-34.83333,-58.33333
"Alta Gracia",5,,-31.64978,-64.42972
"American Cordillera",18,,-32.57382,-70.08392
"Antofagasta de la Sierra Department",2,,-26,-67.58333
"Antoine de Saint Exupéry Airport",16,,-40.752,-65.03288
Arauco,12,,-28.58071,-66.7925
"Argentino Lake",20,,-50.21667,-72.41667
"Aristóbulo del Valle",14,,-27.09571,-54.89344
Armstrong,21,,-32.78215,-61.60222
Arroyito,5,,-31.41917,-63.05084
"Arroyo Seco",21,,-33.15489,-60.50863
"Ascochinga Airport",5,,-30.9899,-64.24421
"Astor Piazzolla International Airport",1,,-37.93417,-57.57333
Avellaneda,21,,-29.11761,-59.65834
Ayacucho,1,,-37,-58.5
Azul,1,,-36.75,-59.66667
"Azul Airport",1,,-36.83821,-59.88081
"Bahía Blanca",1,,-38.7176,-62.26545
Balcarce,1,,-37.84638,-58.25549
Balvanera,7,,-34.61032,-58.39766
Bariloche,16,,-41.14557,-71.30822
Barracas,7,,-34.64966,-58.38341
Barranqueras,3,,-27.48132,-58.93925
Belgrano,7,,-34.5627,-58.45829
"Belgrano Department",21,,-32.5,-61.75
"Bell Ville",5,,-32.63021,-62.68883
"Bella Vista",1,,-34.5651,-58.69034
"Benito Juárez",1,,-37.5,-59.91667
Berazategui,1,,-34.76531,-58.21278
Boedo,7,,-34.63333,-58.41667
Bolívar,1,,-36.33333,-61.08333
"Brigadier Hector Eduardo Ruiz Airport",1,,-37.44962,-61.8886
"Brigadier Mayor César Raúl Ojeda Airport",19,,-33.27319,-66.35642
"Buenos Aires",1,,-36,-60
"Buenos Aires F.D.",7,,-34.6,-58.45
Cachi,17,,-25.09741,-66.18542
Cafayate,17,,-26.07286,-65.97766
"Caleta Olivia",20,,-46.44785,-67.52274
"Caleta Olivia Airport",20,,-46.37219,-67.58549
Campana,1,,-34.14444,-58.96583
"Campo de Mayo Airport",1,,-34.53453,-58.67216
"Campo Ramón",14,,-27.4549,-55.02122
"Cañada de Gómez",21,,-32.81636,-61.39493
"Capital Department",21,,-31.5,-60.66667
"Capitán Bermúdez",21,,-32.82262,-60.71852
"Capitán Vicente Almandos Almonacid Airport",12,,-29.38164,-66.79584
Carcarañá,21,,-32.85679,-61.15331
Casilda,21,,-33.04417,-61.16806
Castelar,1,,-34.65142,-58.64074
Catamarca,2,,-27,-67
"Cataratas del Iguazú International Airport",14,,-25.73728,-54.47344
Catriel,16,,-37.87552,-67.79451
Caucete,18,,-31.6515,-68.28216
Cauchari,10,,-24.08177,-66.80042
"Caviahue Airport",15,,-37.8514,-71.0092
Centenario,15,,-38.82955,-68.1318
"Centro de Ski La Hoya",4,,-42.83368,-71.25355
Ceres,21,,-29.881,-61.94504
"Ceres Airport",21,,-29.87339,-61.92923
"Cerro Aracar",17,,-24.3,-67.78333
"Cerro Archibarca",17,,-25.23771,-67.86491
"Cerro Bayo",2,,-27.28179,-68.52465
"Cerro Bonete",12,,-27.85061,-68.8193
"Cerro Ciénaga Grande",17,,-24.76567,-66.41284
"Cerro de Incahuasi",2,,-27.03382,-68.29574
"Cerro de la Majadita",18,,-30.41667,-69.73333
"Cerro del Baboso",12,,-28.28661,-69.37461
"Cerro del Bolsón",24,,-27.21417,-66.09417
