idprovincia;codpais;provincia;codisoprov;codpostal2d;latitud;longitud;fecha_revision
1;ARG;Buenos Aires;BA;1;-37.2017285;-59.84106969999999;25/02/18
2;ARG;Catamarca;CA;2;-28.4715877;-65.78772090000001;25/02/18
3;ARG;Chaco;CH;3;-27.4257175;-59.02437839999999;25/02/18
4;ARG;Chubut;CT;4;-43.2934246;-65.11148179999998;25/02/18
5;ARG;Córdoba;CB;5;-31.42008329999999;-64.18877609999998;25/02/18
6;ARG;Corrientes;CR;6;-27.4692131;-58.83063490000001;25/02/18
7;ARG;Entre Ríos;ER;7;-31.7746654;-60.49564609999999;25/02/18
8;ARG;Formosa;FO;8;-26.1857768;-58.175566900000035;25/02/18
9;ARG;Jujuy;JY;9;-24.1857864;-65.29947670000001;25/02/18
10;ARG;La Pampa;LP;10;-36.61475730000001;-64.2839209;25/02/18
11;ARG;La Rioja;LR;11;-29.41345380000001;-66.85645790000001;25/02/18
12;ARG;Mendoza;MZ;12;32.8896247;-68.85268669999999;25/02/18
13;ARG;Misiones;MI;13;-27.4269255;-55.94670759999997;25/02/18
14;ARG;Neuquén;NQ;14;-38.94587;68.07309250000003;25/02/18
15;ARG;Río Negro;RN;15;-40.8261434;-63.02663389999998;25/02/18
16;ARG;Salta;SA;16;-24.7821269;-65.42319759999998;25/02/18
17;ARG;San Juan;SJ;17;-31.53510739999999;-68.53859410000001;25/02/18
18;ARG;San Luis;SL;18;-33.3017267;-66.33775220000001;25/02/18
19;ARG;Santa Cruz;SC;19;-51.6352821;69.2474353;25/02/18
20;ARG;Santa Fe;SF;20;-31.5855109;-60.7238016;25/02/18
21;ARG;Santiago del Estero;SE;21;-27.7910388;-64.27344240000002;25/02/18
22;ARG;Tierra del Fuego,Antártida e Isla del Atlántico Sur;TF;22;-54.8053998;-68.32420609999997;25/02/18
23;ARG;Tucumán;TUC;23;-26.8082848;-65.21759029999998;25/02/18
