ciudad,idprovincia,codeid,latitude,longitude
"Abapó Viejo",8,,-18.88562,-63.3829
Abaroa,5,,-18.89693,-66.81284
"Abel Iturralde",4,,-13.17991,-68.01499
Abuna,6,,-10.64618,-67.00599
"Aceco Cocha",2,,-17.53333,-65.58333
Achacachi,4,,-16.04707,-68.68534
Achiri,4,,-17.16667,-69.01667
"Achiri Lake",4,,-17.21667,-68.96667
Achocalla,4,,-16.57386,-68.15112
"Agua Caliente",4,,-16.85,-67.35
"Aguallamaya Lake",4,,-16.68376,-68.97517
Aguilani,4,,-16.69163,-67.34305
Aiquile,2,,-18.20408,-65.18068
Alacan,7,,-21.11667,-67.15
Alalay,2,,-17.68333,-65.68333
Alcalá,1,,-19.36753,-64.39105
"Alcantari Airport",1,,-19.24058,-65.14884
"Alonso de Ibañez",7,,-18.14203,-66.41893
Alota,7,,-21.40264,-67.59716
Amarete,4,,-15.23736,-68.98517
"Amboró National Park",8,,-17.78333,-63.98333
Ancaravi,5,,-18.40651,-67.74995
"Ancestral Wila Kala Punku",4,,-16.06911,-68.26573
Anchopaya,4,,-14.05,-68.88333
Ancocola,5,,-18.40995,-67.63495
Ancoraimes,4,,-16.1699,-69.07919
"Andrés Ibañez",8,,-17.87369,-63.19003
"Angel Sandoval",8,,-17.30885,-58.87481
"Angora Airport",3,,-14.42837,-65.7918
"Aniceto Arce",9,,-22.19478,-64.39518
Anticuraguara,5,,-18.29996,-68.44738
"Antonio Quijarro",7,,-20.02624,-66.44952
Anzaldo,2,,-17.83333,-65.91667
Apillapampa,2,,-17.8,-66.2
Apolo,4,,-14.7189,-68.41229
"Apolo Airport",4,,-14.73333,-68.5
"Aquiles Lake",3,,-15.4,-63.93333
Aralaguna,7,,-21.88333,-67.85
Arampampa,7,,-17.95861,-66.09411
Arani,2,,-17.56854,-65.76883
Arbieto,2,,-17.56667,-66.01667
Arocata,4,,-17.04089,-69.13721
Aroma,4,,-17.18703,-67.95877
Arque,2,,-17.82214,-66.40361
"Ascención de Guarayos",8,,-15.89299,-63.18855
"Ascención de Guarayos Airport",8,,-15.93292,-63.1554
Ascensión,8,,-15.7,-63.08333
"Asiento Araca",4,,-16.82068,-67.5608
Atocha,7,,-20.93515,-66.22139
Aucapata,4,,-15.36667,-68.65
Aviles,9,,-21.80722,-65.07871
Ayata,4,,-15.3408,-68.75279
"Ayo Ayo",4,,-17.0937,-68.00623
Ayopaya,2,,-16.67899,-66.5074
Azurduy,1,,-20.00017,-64.45925
Barreteado,2,,-16.91667,-65.81667
Batallas,4,,-16.30212,-68.53058
Baures,3,,-13.65766,-63.6952
"Baures Airport",3,,-13.58333,-63.58333
"Bautista Saavedra",4,,-15.08995,-68.83421
Belen,4,,-17.36667,-67.55
"Belisario Boeto",1,,-18.93166,-64.32022
"Bella Unión Airport",3,,-13.62743,-65.27372
"Bella Vista",3,,-13.11667,-63.78333
"Bella Vista Airport",3,,-13.86825,-66.33081
"Bellavista Lake",8,,-13.61056,-61.53111
"Beni Department",3,,-14,-65.5
Bermejo,9,,-22.73206,-64.33724
"Bermejo Airport",9,,-22.7733,-64.3129
"Bernardino Bilbao Rioja",7,,-17.99806,-66.05716
Bolívar,2,,-17.96933,-66.53793
Bolpebra,6,,-10.94894,-69.56369
Bomboma,1,,-20.4445,-64.70245
"Borateras de Isma",7,,-20.41667,-68.65
Boyuibe,8,,-20.43274,-63.2823
"Buen Retiro Airport",3,,-13.44469,-63.50278
"Buen Retiro Ballivian Airport",3,,-13.91318,-66.56269
"Buena Ventura",8,,-16.06667,-64.25
"Buena Vista",8,,-17.4583,-63.67126
"Burnet O'Connor",9,,-21.43153,-64.09733
Cabezas,8,,-18.78841,-63.31526
"Cachimbo Lake",3,,-15.74194,-64.06556
"Cachuela Esperanza",3,,-10.53771,-65.58179
"Cadena de Cazadores",1,,-19.73333,-64.11667
"Cadena Mandinga",1,,-19.16689,-64.74841
"Caigua Airport",9,,-21.13599,-63.75237
Cairoma,4,,-16.9,-67.55
"Caiza J",9,,-21.79968,-63.55668
Cala,7,,-20.83333,-68.06667
"Cala Cala",4,,-17.4853,-67.51489
Calacoto,4,,-17.28352,-68.63518
Calamarca,4,,-16.90693,-68.11736
Calchani,2,,-17.32276,-66.69131
Callamarca,4,,-16.63415,-68.5738
Callapa,4,,-17.46786,-68.33073
Camacho,4,,-15.51687,-69.1012
Camargo,1,,-20.64064,-65.20893
"Camiare Airport",3,,-14.0823,-65.65812
Camiri,8,,-20.09679,-63.52173
"Camiri Airport",8,,-20.00917,-63.52651
"Campamento Caimán",2,,-16.38333,-64.73333
"Campamento Primer Cerro",2,,-17.03333,-64.65
