ciudad,idprovincia,codeid,latitude,longitude
"101 Mile Lake",2,,51.6675,-121.29361
"103 Mile Lake",2,,51.685,-121.29861
"105 Mile Lake",2,,51.71444,-121.32889
"108 Mile Lake",2,,51.74222,-121.36222
"108 Mile Ranch",2,,51.74983,-121.35266
"108 Mile Ranch Airport",2,,51.73373,-121.33181
"A Lake",7,,44.82422,-63.63423
"Aaron Provincial Park",8,,49.75834,-92.65861
Abbotsford,2,,49.05798,-122.25257
"Abbotsford International Airport",2,,49.02529,-122.37735
"Abbotts Steady",5,,48.51659,-53.28136
"Aberdeen Lake",14,,64.5,-99
Abitibi-Témiscamingue,10,,48.10018,-77.7828
"Abraham Lake",1,,52.22361,-116.42722
"Abram Lake",8,,50.05909,-91.92916
"Acadia Lake",7,,44.83919,-62.87022
Acanthus,8,,46.03342,-78.39955
Achray,8,,45.86682,-77.74951
"Acton Vale",10,,45.65007,-72.56582
"Adams Lake Park",2,,50.98311,-119.73574
"Adolphus Lake",1,,53.17111,-119.11778
"Aéroport de Williams Lake",2,,52.18306,-122.05417
Agate,8,,48.51681,-82.96647
"Agency Indian Reserve 1",8,,48.63317,-93.36699
"Agnew Lake",8,,46.35534,-81.76095
"Ahmic Lake",8,,45.63437,-79.69545
"Ahtahkakoop 104",11,,53.39177,-106.89559
Ahuntsic-Cartierville,10,,45.56667,-73.66667
Airdrie,1,,51.30011,-114.03528
Airlie,8,,44.2668,-80.01636
"Aishihik Lake",12,,61.45389,-137.16361
"Aitchelitch Indian Reserve 9",2,,49.14968,-121.98587
"Ajawaan Lake",11,,54.15006,-106.46719
Ajax,8,,43.85012,-79.03288
"Akaitcho Lake",13,,66.53365,-115.70153
"Akamina-Kishinena Park",2,,49.02495,-114.20195
"Akimiski Island",14,,53.0084,-81.27466
"Aklavik/Freddie Carmichael Airport",13,,68.22333,-135.00583
"Akulivik Airport",10,,60.81861,-78.14861
Akwesasne,10,,45.00009,-74.64927
"Akwesasne Indian Reserve 59",8,,45.05009,-74.56597
"Alaksen National Wildlife Area",2,,49.09966,-123.16931
"Albert County",4,,45.83346,-64.91548
Alberta,1,,52.28333,-117.469
"Alberts Lake",3,,54.81013,-101.53888
"Albreda Lake",2,,52.63028,-119.15778
"Albro Lake",7,,44.68891,-63.57675
Alderburn,5,,49.11243,-55.24818
Alderville,8,,44.18137,-78.06653
"Alert Airport",14,,82.51778,-62.28056
"Alert Bay Airport",2,,50.5822,-126.916
Alexander,3,,50.48331,-96.05056
"Alexander 134",1,,53.81264,-113.95789
"Alexandra Bridge Park",2,,49.6997,-121.40256
"Alexis 133",1,,53.73736,-114.51599
"Alexis Cardinal River 234",1,,52.85422,-116.97451
"Alexis Elk River 233",1,,52.92367,-116.55169
"Alexis Whitecourt 232",1,,54.22514,-115.81888
Alfred,8,,45.5668,-74.88258
Algoma,8,,47.88364,-84.42406
"Alice Lake Park",2,,49.78298,-123.11938
"Alkali Lake",2,,51.77611,-122.27917
"Allan's Island",5,,46.84995,-55.79835
Allanburg,8,,43.08342,-79.19958
"Alligator Lake",12,,60.385,-135.35389
"Allison Bay 219",1,,58.77665,-111.0269
"Allison Lake Park",2,,49.68302,-120.60246
Alliston,8,,44.15011,-79.86635
"Allumette Lake",8,,45.89167,-77.22278
Alma,10,,48.55009,-71.6491
"Alma Airport",10,,48.5089,-71.6419
Alonsa,3,,50.98332,-99.05077
"Alouette Lake",2,,49.34083,-122.40389
"Alsask Lake",11,,51.33339,-109.86745
"Alta Lake",2,,50.11472,-122.98194
Altamont,3,,49.3986,-98.49797
"Amadjuak Lake",14,,64.91667,-71.13333
"Amber River 211",1,,58.89376,-118.94874
Ambleside,2,,49.32881,-123.15678
"Ambrose Lake",2,,49.73278,-124.02361
"Amedroz Lake",2,,49.01694,-125.21167
Ameliasburgh,8,,44.01682,-77.41617
Amherst,10,,46.05009,-74.76596
Amherstburg,8,,42.10009,-83.09985
"Amisk Lake",1,,54.59361,-112.63306
"Amor Lake",2,,50.16083,-125.55278
Amos,10,,48.56688,-78.11624
"Amos Lake",8,,49.18561,-89.0736
"Amos/Magny Airport",10,,48.56386,-78.24738
"Amphitheatre Lake",2,,49.70472,-125.38944
"Amund Ringnes Island",14,,78.33512,-96.41984
"Anahim Lake",2,,52.46681,-125.31628
"Anchorage Provincial Park",4,,44.65988,-66.80456
"Anderson Bay Park",2,,49.51323,-124.13692
"Anderson Lake",2,,50.63333,-122.40972
"Anderson's Cove",5,,47.59993,-55.11497
"Andrew Lake",7,,44.3507,-64.64805
"Andy Bailey Park",2,,58.54974,-122.50294
"Angikuni Lake",14,,62.2,-99.98333
"Angle Lake",1,,53.74,-110.96806
"Angora Lake",2,,49.09056,-125.53472
"Angus Horne Lake",2,,52.34861,-119.80139
"Angus Lake",2,,49.09,-125.63694
Angusville,3,,50.7356,-101.02149
"Annapolis County",7,,44.58345,-65.16551
Anola,3,,49.88499,-96.6362
Ansnorveldt,8,,44.08341,-79.54962
"Anstruther Lake",8,,44.74342,-78.20988
"Antelope Lake",11,,50.26671,-108.4007
"Anticosti Island",10,,49.50014,-62.99859
"Antigonish County",7,,45.66685,-61.91528
