idprovincia,codpais,provincia,codisoprov,latitude,longitude
1,CAN,Alberta,,51.05035,-115.1762
2,CAN,"British Columbia",,50.98311,-119.73574
3,CAN,Manitoba,,50.25,-96.16807
4,CAN,"New Brunswick",,44.65988,-66.80456
5,CAN,"Newfoundland and Labrador",,48.51659,-53.28136
7,CAN,"Nova Scotia",,44.83919,-62.87022
8,CAN,Ontario,,48.87653,-90.51282
9,CAN,"Prince Edward Island",,46.16682,-63.382
10,CAN,Quebec,,50.98861,-77.38917
11,CAN,Saskatchewan,,52.0168,-108.10136
12,CAN,Yukon,,60.385,-135.35389
13,CAN,"Northwest Territories",,66.83348,-125.15199
14,CAN,Nunavut,,64.5,-99
