ciudad,idprovincia,codeid,latitude,longitude
"Aeródromo Cochrane",2,,-47.24385,-72.58842
"Aeródromo El Buitre",16,,-18.51054,-70.28762
"Aeródromo La Laguna",8,,-34.35283,-71.66413
"Aerodromo Las Marias",14,,-39.79667,-73.24173
"Aeródromo Las Misiones",6,,-37.77472,-73.38302
"Aeródromo Lo Castillo",12,,-33.3826,-70.59343
"Aeródromo Punta Catalina",10,,-53.13063,-70.86037
"Aeropuerto de Puyuhuapi",2,,-44.38379,-72.59418
"Agua Buena Airport",4,,-37.99378,-72.24983
"Agua Santa Airport",8,,-34.55431,-71.33559
Aguada,8,,-34.02175,-71.78657
Aisen,2,,-45.98869,-73.77348
"Alejandro Selkirk Island",1,,-33.76902,-80.79243
Algarrobo,1,,-33.36952,-71.67654
"Alhué Airport",12,,-34.06023,-71.25327
"All Saints Lake",14,,-41.1,-72.25
"Almirante Schroeders Airport",10,,-53.60952,-70.47455
"Alto del Carmen",5,,-28.75946,-70.48651
"Alto del Carmen Tres Quebradas Airport",5,,-29.2599,-70.08715
"Alto Hospicio",15,,-20.26871,-70.1049
"Alto Palena Airport",14,,-43.6119,-71.8061
"Amincha Airport",11,,-34.86537,-71.10015
Ancud,14,,-41.8707,-73.81622
Andacollo,7,,-30.23449,-71.08534
"Andacollo Airport",14,,-41.04524,-73.0461
Angol,4,,-37.79519,-72.71636
"Angol Los Confines Airport",4,,-37.79449,-72.68748
Antofagasta,3,,-24.27389,-69.40969
"Antofagasta Airport",3,,-23.44448,-70.4451
Arauco,6,,-37.2463,-73.31752
"Archipiélago Guayaneco",2,,-47.7735,-75.03551
"Archipiélago Reina Adelaida",10,,-52.50073,-74.22548
Arica,16,,-18.4746,-70.29792
"Arica y Parinacota Region",16,,-18.57336,-69.46106
Atacama,5,,-27.5,-70
"Atacama Desert",3,,-24.5,-69.25
"Ayacara Airport",14,,-42.30791,-72.78773
Aysén,2,,-46.5,-73.5
"Azopardo Airport",10,,-54.48164,-68.93938
Balmaceda,2,,-45.90885,-71.70076
"Balmaceda Airport",2,,-45.91606,-71.68948
"Baños de Salinilla",12,,-33.49939,-70.09174
"Baños del Toro",7,,-29.83356,-70.02281
"Barrio Italia",12,,-33.44701,-70.62491
"Buena Esperanza",5,,-26.9,-69.95
Buin,12,,-33.73257,-70.74281
Bulnes,18,,-36.74232,-72.29854
"Bulnes El Litral Airport",18,,-36.7965,-72.41741
