"ciudad";"idprovincia";"codeid";"latitude";"longitude"
"Leticia";"468";"91001";"-4.2159";"-69.9406"
"El Encanto";"468";"91263";"1.5447";"-77.0146"
"La Chorrera";"468";"91405";"2.5933";"-78.0838"
"La Pedrera";"468";"91407";"1.3194";"-69.5797"
"La Victoria";"468";"91430";"4.4539";"-75.2147"
"Mirití - Paraná";"468";"91460";"-3.3203";"-70.2402"
"Puerto Alegría";"468";"91530";"-3.4256";"-70.3422"
"Puerto Arica";"468";"91536";"-3.3542";"-70.0744"
"Puerto Nariño";"468";"91540";"-3.7703";"-70.3837"
"Puerto Santander";"468";"91669";"8.3566";"-73.8536"
"Tarapacá";"468";"91798";"2.8767";"-75.2652"
"Medellín";"469";"5001";"6.2442";"-75.5812"
"Abejorral";"469";"5002";"5.7906";"-75.4206"
"Abriaquí";"469";"5004";"6.6272";"-76.0836"
"Alejandría";"469";"5021";"6.3686";"-75.1211"
"Amagá";"469";"5030";"6.0361";"-75.6989"
"Amalfi";"469";"5031";"6.9189";"-75.0739"
"Andes";"469";"5034";"5.6531";"-75.8746"
"Angelópolis";"469";"5036";"6.1504";"-75.8767"
"Angostura";"469";"5038";"6.8872";"-75.3207"
"Anorí";"469";"5040";"7.0339";"-74.9264"
"Santa Fé De Antioquia";"469";"5042";"6.5567";"-75.8197"
"Anzá";"469";"5044";"6.3208";"-76.0811"
"Apartadó";"469";"5045";"7.8808";"-76.6344"
"Arboletes";"469";"5051";"8.8550";"-76.4261"
"Argelia";"469";"5055";"5.7422";"-75.0962"
"Armenia";"469";"5059";"4.5339";"-75.6753"
"Barbosa";"469";"5079";"6.4483";"-75.1994"
"Belmira";"469";"5086";"6.6678";"-75.7597"
"Bello";"469";"5088";"6.3375";"-75.5590"
"Betania";"469";"5091";"5.7464";"-75.9772"
"Betulia";"469";"5093";"6.1525";"-75.9883"
"Ciudad Bolívar";"469";"5101";"5.8650";"-75.9889"
"Briceño";"469";"5107";"7.0744";"-75.7003"
"Buriticá";"469";"5113";"6.6178";"-76.0092"
"Cáceres";"469";"5120";"7.5883";"-74.4272"
"Caicedo";"469";"5125";"5.7814";"-75.8714"
"Caldas";"469";"5129";"6.0936";"-75.6358"
"Campamento";"469";"5134";"6.9858";"-74.7828"
"Cañasgordas";"469";"5138";"6.8131";"-76.2675"
"Caracolí";"469";"5142";"7.0247";"-74.5894"
"Caramanta";"469";"5145";"5.5475";"-75.7075"
"Carepa";"469";"5147";"7.7667";"-76.6458"
"El Carmen De Viboral";"469";"5148";"6.0839";"-75.3319"
"Carolina";"469";"5150";"1.6869";"-77.2621"
"Caucasia";"469";"5154";"7.9864";"-75.1983"
"Chigorodó";"469";"5172";"7.6667";"-76.6833"
"Cisneros";"469";"5190";"6.5522";"-75.2122"
"Cocorná";"469";"5197";"6.0861";"-75.1672"
"Concepción";"469";"5206";"6.4000";"-75.3333"
"Concordia";"469";"5209";"6.5358";"-75.8781"
"Copacabana";"469";"5212";"6.3472";"-75.5072"
"Dabeiba";"469";"5234";"7.0047";"-76.2658"
"Donmatías";"469";"5237";"6.5353";"-75.6522"
"Ebéjico";"469";"5240";"6.4308";"-75.7844"
"El Bagre";"469";"5250";"7.5953";"-74.7994"
"Entrerríos";"469";"5264";"6.5703";"-75.6483"
"Envigado";"469";"5266";"6.1769";"-75.5917"
"Fredonia";"469";"5282";"5.9256";"-75.6669"
"Frontino";"469";"5284";"6.7958";"-76.4447"
"Giraldo";"469";"5306";"6.8003";"-75.9056"
"Girardota";"469";"5308";"6.3425";"-75.4450"
"Gómez Plata";"469";"5310";"6.6842";"-75.4422"
"Granada";"469";"5313";"6.1419";"-75.1878"
"Guadalupe";"469";"5315";"6.8719";"-74.6944"
"Guarne";"469";"5318";"6.2861";"-75.4425"
"Guatapé";"469";"5321";"6.2314";"-75.1536"
"Heliconia";"469";"5347";"6.2814";"-75.7792"
"Hispania";"469";"5353";"5.8069";"-75.8822"
"Itagüí";"469";"5360";"6.1717";"-75.6117"
"Ituango";"469";"5361";"7.1717";"-75.9772"
"Jardín";"469";"5364";"5.5983";"-75.8194"
"Jericó";"469";"5368";"5.7856";"-75.7950"
