idprovincia;codpais;provincia
1;COL;ANTIOQUIA
2;COL;ATLANTICO
3;COL;BOGOTA
4;COL;BOLIVAR
5;COL;BOYACA
6;COL;CALDAS
7;COL;CAQUETA
8;COL;CAUCA
9;COL;CESAR
10;COL;CORDOBA
11;COL;CUNDINAMARCA
12;COL;CHOCO
13;COL;HUILA
14;COL;LA GUAJIRA
15;COL;MAGDALENA
16;COL;META
17;COL;NARIÑO
18;COL;NORTE DE SANTANDER
19;COL;QUINDIO
20;COL;RISARALDA
21;COL;SANTANDER
22;COL;SUCRE
23;COL;TOLIMA
24;COL;VALLE DEL CAUCA
25;COL;ARAUCA
26;COL;CASANARE
27;COL;PUTUMAYO
28;COL;SAN ANDRES
29;COL;AMAZONAS
30;COL;GUAINIA
31;COL;GUAVIARE
32;COL;VAUPES
33;COL;VICHADA
