ciudad,idprovincia,codeid,latitude,longitude
Abangares,3,,10.24253,-84.99081
Abangaritos,7,,10.12279,-85.01688
Acosta,8,,9.74493,-84.23601
Aguabuena,7,,8.73791,-82.94499
Aguacaliente,3,,10.46953,-85.22559
Aguilares,3,,10.50058,-85.00117
Alajuela,1,,10.02408,-84.20609
"Alajuela Province",1,,10.5,-84.5
Alajuelita,8,,9.90294,-84.10037
"Alta Talamanca",6,,9.53333,-83
Altamira,1,,10.46667,-84.35
"Alto Cebadilla",3,,10.32782,-84.85675
"Alto Limón",8,,9.73724,-84.35483
"Alto Palo Campano",8,,9.89411,-84.12253
"Alto Palomas",8,,9.9382,-84.16326
"Alto Tapezco",8,,9.89712,-84.15901
"Altos Pascua",6,,10.02802,-83.64423
Alvarado,2,,9.93333,-83.80352
Ángeles,1,,10.25213,-84.59287
"Ángeles Sur",1,,10.13367,-84.47463
Ánimas,2,,9.91113,-83.65285
"Anita Grande Plaza",6,,10.2408,-83.7298
"Anselmo Llorente",8,,9.95674,-84.07043
Aquiares,2,,9.93973,-83.72149
Arancibia,7,,10.23117,-84.71842
Arcángeles,8,,9.88316,-84.1216
"Arenal Volcano",1,,10.46215,-84.70322
"Arenal Volcano National Park",1,,10.46251,-84.7024
"Arenas Point",7,,9.97668,-84.85155
Arío,7,,9.70064,-85.20902
Aserrí,8,,9.855,-84.10844
Atalanta,6,,9.72,-82.99219
Atenas,1,,9.98085,-84.36956
"Ave de Azul de la Osa",7,,8.45047,-83.38872
Bagaces,3,,10.46545,-85.28282
"Bahía Ballena",7,,9.17551,-83.72658
"Baja Talamanca",6,,9.61667,-82.76667
"Bajo Badilla",8,,9.78435,-84.27863
"Bajo del Toro",1,,10.21852,-84.29044
"Bajo del Tulín",8,,9.71667,-84.4
"Bajo Mora",7,,9.93729,-85.26458
Bambú,6,,9.55392,-82.89257
"Banano Chiquita",4,,10.4547,-83.98099
Barbacoas,8,,9.8549,-84.36252
"Barra de Parismina Airport",6,,10.30276,-83.34641
"Barra del Colorado",6,,10.7718,-83.5991
"Barra del Colorado Airport",6,,10.7687,-83.5856
"Barra Honda National Park",3,,10.18738,-85.31879
Barranca,7,,9.99019,-84.71119
Barrantes,4,,10.0137,-84.15185
Barva,4,,10.0669,-84.1085
Batán,6,,10.09285,-83.3516
Bebedero,3,,10.36912,-85.19453
Belén,3,,10.40789,-85.58836
Bellavista,1,,10.19217,-84.42147
Biolley,7,,9.04543,-83.03617
Birrisito,2,,9.84862,-83.84537
"Boca Barranca",7,,9.96234,-84.73729
"Boca de Arenal",1,,10.53028,-84.47871
"Boca del Pantano",6,,10.07234,-83.15839
Bolívar,1,,10.13627,-84.29825
Bomba,6,,9.91858,-83.0662
"Boruca people",7,,9.00204,-83.32555
"Bosque de la Hoja",4,,10.06236,-84.09483
Brasil,8,,9.9388,-84.22886
"Braulio Carrillo National Park",8,,10.1599,-83.97442
Bribri,6,,9.62569,-82.85051
Brunka,7,,9.23614,-83.38252
Buenavista,1,,10.7759,-84.81576
"Buenos Aires",7,,9.17298,-83.33277
"Buenos Aires Airport",7,,9.16361,-83.3299
Búfalo,6,,10.0053,-83.17208
"Cabecera de Lajas",3,,10.34311,-84.98458
"Cabo Atrevido",7,,5.53295,-87.02941
"Cabo Barreto",7,,5.53951,-87.08208
"Cabo Blanco",7,,9.93376,-84.98976
"Cabo Descubierta",7,,5.51973,-87.04403
"Cabo Duplicado",7,,5.52598,-87.09174
"Cabo Matapalo",7,,8.37486,-83.29147
"Cabo Velas",3,,10.35622,-85.87571
Cachí,2,,9.82504,-83.80284
"Cacique Point",3,,10.5723,-85.69896
Cahuita,6,,9.66904,-82.80462
"Cahuita National Park",6,,9.7288,-82.82367
Caldera,7,,9.93494,-84.72356
"Calderas Bluff",7,,9.90065,-84.72962
"Calle Blancos",8,,9.94856,-84.06675
"Camaronal Wildlife Refuge",3,,9.8433,-85.43266
Cambronero,1,,10.03686,-84.54986
Canas,3,,10.43105,-85.09825
Candelarita,8,,9.78948,-84.3358
Canjel,7,,9.97032,-85.21193
"Caño Negro Wildlife Refuge",1,,10.91399,-84.7964
Canoas,7,,8.55416,-82.8796
Capellades,2,,9.95546,-83.79288
"Carara National Park",7,,9.73639,-84.5956
Cariblanca,1,,10.41211,-84.41017
Carmona,3,,9.98893,-85.25986
Carrandi,6,,10.02952,-83.22891
Carrillo,3,,9.86591,-85.4805
"Carrillo (Samara) Domestic Airport",3,,9.87051,-85.4814
Carrillos,1,,10.03628,-84.27317
Cartago,2,,9.81614,-83.91394
"Cartago Province",2,,9.83333,-83.75
Cascajal,8,,10.03244,-83.92888
"Castilla de Oro",3,,10.43914,-85.59837
Catedral,8,,9.92619,-84.07307
Ceiba,1,,9.89977,-84.59906
"Cerro Asunción",2,,9.5748,-83.75763
"Cerro Bandera",8,,9.8885,-84.15433
"Cerro Buenavista",8,,9.5531,-83.75674
"Cerro Caballito",3,,10.22091,-85.35225
"Cerro Cañas Dulces",3,,10.74804,-85.44125
"Cerro Cedral",8,,9.85894,-84.14557
"Cerro Chato",1,,10.44272,-84.68845
"Cerro Chirripó",6,,9.48411,-83.48861
"Cerro Coyotes",8,,9.94759,-84.16633
"Cerro de La Cruz",8,,9.86667,-84.13333
"Cerro de la Muerte",8,,9.55378,-83.7562
"Cerro Dúrika",6,,9.37577,-83.304
"Cerro Echandi",7,,9.03064,-82.81981
"Cerro El Jocote",3,,10.38245,-85.32641
"Cerro Góngora",3,,10.95,-85.46667
"Cerro Herradura",7,,9.69353,-84.60355
"Cerro Hondura",8,,10.06735,-84.0201
"Cerro Juan Díaz",3,,10.18461,-85.54738
"Cerro Kámuk",6,,9.27031,-83.03193
"Cerro La Cruz",3,,10.12797,-85.4545
"Cerro La Cruze Protected Zone",3,,10.13002,-85.45381
"Cerro Las Bolas",7,,9.11487,-83.47919
"Cerro Las Lomas",6,,10.35159,-83.57736
"Cerro Las Tres Marías",8,,10.06667,-83.98333
"Cerro Mamey",7,,8.64953,-82.83891
"Cerro Maquenco",3,,9.96667,-85.56667
"Cerro Montaña",3,,10.16667,-85.63333
"Cerro Pacacua",8,,9.90117,-84.20648
"Cerro Palomas",8,,9.95426,-84.17551
"Cerro Páramo",8,,9.53333,-83.71667
"Cerro Pico Alto",8,,9.84525,-84.13043
"Cerro Pico Blanco",8,,9.87291,-84.14843
"Cerro Rabo de Mico",8,,9.8479,-84.13774
"Cerro Raspa Huacal",3,,10.2,-85.11667
"Cerro Redondo",4,,10.06536,-84.07664
"Cerro San Miguel",7,,10.02059,-84.7064
"Cerro San Roque",3,,10.77261,-85.46155
"Cerro Tacuotari",8,,9.86694,-84.17096
"Cerro Tibás",4,,10.07418,-84.05327
"Cerro Turrubares",8,,9.79308,-84.47085
"Cerro Turú",4,,10.06107,-84.04075
"Cerro Urán",8,,9.51223,-83.53552
"Cerro Varillal",3,,10.09543,-85.44301
"Cerro Ventisqueros",8,,9.47463,-83.50854
"Cerro Vueltas",8,,9.61608,-83.85666
"Cerro Zapote",7,,8.75023,-82.98282
"Cerro Zurquí",8,,10.06166,-84.02502
"Cerros Barra Honda",3,,10.17507,-85.35861
"Cerros Cerco de Piedra",3,,10.20661,-85.13423
"Cerros Chocuaco",7,,8.74066,-83.56089
"Cerros Coral de Piedra",3,,10.23626,-85.31817
"Cerros de Dota",8,,9.61667,-84.15
"Cerros de Escazú",8,,9.86862,-84.15823
"Cerros de Jesús",3,,10.09483,-85.3238
"Cerros de la Carpintera",2,,9.88423,-83.9836
"Cerros de los Tirrases",8,,9.9,-84.03333
"Cerros de Salsipuedes",7,,8.58333,-83.5
"Cerros de San Blas",3,,10.16667,-85.66667
"Cerros de Zapotal",3,,10.24578,-85.16151
"Cerros Guayacán",3,,10.35209,-85.34703
"Cerros Santa Elena",3,,10.8838,-85.82978
"Cerros Utyum",6,,9.32518,-83.17412
"Cerros Volcán Vieja",1,,10.26085,-84.32991
Cervantes,2,,9.89245,-83.80397
Chacarita,7,,9.98426,-84.76899
Chánguena,7,,8.89156,-83.18077
Chirripó,2,,9.77195,-83.48309
"Chirripo National Park",2,,9.51608,-83.46728
Chomes,7,,10.04412,-84.90934
Chumburán,3,,9.99419,-85.51369
Cinchona,1,,10.22367,-84.16744
"Cinco Esquinas",8,,9.94652,-84.08232
"Cirrí Sur",1,,10.15242,-84.36573
Ciruelas,7,,10.06234,-84.75902
"Cocos Island",7,,5.528,-87.06275
Colima,8,,9.95532,-84.08235
Colinas,7,,9.03511,-83.45359
Colón,8,,9.90094,-84.25597
"Colonia del Toro",1,,10.30013,-84.24555
"Colonia Salvador",4,,10.23333,-83.93333
Colorado,6,,10.77016,-83.5954
Concepción,1,,10.12795,-84.43596
"Conic Island",7,,5.55027,-87.03253
Copalchí,2,,9.81935,-84.03494
"Corcovado National Park",7,,8.5424,-83.57094
"Cordillera Central",2,,10.01741,-83.76381
Corredor,7,,8.62421,-82.94383
Corredores,7,,8.53238,-82.91879
Cot,2,,9.88928,-83.8697
Cote,1,,10.62023,-84.90271
"Coto 47 Airport",7,,8.60156,-82.9686
"Coto Brus",7,,8.88546,-82.94119
Cureña,4,,10.69064,-84.07532
Curridabat,8,,9.91654,-84.03737
"Curú Wildlife Refuge",7,,9.77553,-84.94598
Curubandé,3,,10.71942,-85.40963
Cutris,1,,10.71047,-84.34369
Damas,8,,9.88875,-84.04502
"Daniel Oduber Quirós International Airport",3,,10.59329,-85.54441
Delicias,7,,10.07248,-84.72851
Desamparaditos,8,,9.87984,-84.34069
Desamparados,8,,9.89741,-84.07048
"Diria National Park",3,,10.17306,-85.59361
"Dirty Rock",7,,5.5451,-87.09004
Dominica,7,,9.91976,-85.10371
Dominical,7,,9.25348,-83.86429
"Dos de Abangares",3,,10.36896,-84.90297
"Dos Ríos",1,,10.89576,-85.38173
Dota,8,,9.58858,-83.92247
"Drake Bay Airport",7,,8.71892,-83.63921
Duacarí,6,,10.32139,-83.61706
"Duacari 2 Airport",6,,10.35127,-83.63063
"Dulce Nombre de Jesús",8,,10.08888,-83.97975
"El Amo",3,,11.03251,-85.59126
"El Barón",7,,9.96169,-84.61825
"El Cairo",6,,10.20049,-83.50756
