ciudad,idprovincia,codeid,latitude,longitude
Aachen,7,,50.77664,6.08342
"Aachen-Merzbrück Airport",7,,50.82345,6.18844
Aalen,1,,48.83777,10.0933
Abensberg,2,,48.81684,11.8498
Achern,1,,48.63115,8.07607
Achim,6,,53.01416,9.0263
Adenau,8,,50.38238,6.93291
Adenbüttel,6,,52.37984,10.45079
Adenstedt,6,,52.24978,10.16575
Adlershof,16,,52.43548,13.54825
Adorf,13,,50.32011,12.25986
Aerzen,6,,52.04953,9.25856
Ahaus,7,,52.07936,7.01344
Ahlden,6,,52.75968,9.55115
Ahlen,7,,51.76338,7.8887
Ahrensburg,10,,53.67515,10.22593
Aichach,2,,48.45755,11.13413
Aidenbach,2,,48.57028,13.09
Aindling,2,,48.5136,10.95315
Ainring,2,,47.81311,12.94048
Aislingen,2,,48.50648,10.45778
Aken,14,,51.85274,12.04461
Albisheim,8,,49.64941,8.09442
Albstadt,1,,48.21644,9.02596
Alfeld,6,,51.98382,9.81989
Alfsee,6,,52.48899,7.97509
Alfter,7,,50.73333,7.01667
Algermissen,6,,52.25332,9.96915
Allach,2,,48.19267,11.46235
Allendorf,5,,51.02995,8.67232
"Allendorf an der Lumda",5,,50.67746,8.82149
Allersberg,2,,49.25132,11.23659
Allgäu,2,,47.58333,10.16667
"Allgäu Airport, Memmingen",2,,47.98751,10.23622
Allstedt,14,,51.40379,11.38689
Alpirsbach,1,,48.34507,8.40197
Alpsee,2,,47.57257,10.1744
Alsdorf,7,,50.87673,6.16399
Alsfeld,5,,50.75185,9.27082
Alsleben,14,,51.70161,11.67648
Altbrandsleben,14,,52.07409,11.25022
Altdorf,2,,48.15374,12.18419
"Altdorf bei Nürnberg",2,,49.3856,11.3573
Altefähr,12,,54.32994,13.12643
Altena,7,,51.29472,7.67337
Altenau,6,,51.80113,10.44148
Altenberg,13,,50.76556,13.75334
Altenburg,15,,50.98763,12.43684
Altenhausen,14,,52.26196,11.25429
"Altenstadt an der Waldnaab",2,,49.71592,12.1598
Altensteig,1,,48.58649,8.60395
Altentreptow,12,,53.69416,13.26504
"Altes Land",6,,53.52937,9.66221
Altglienicke,16,,52.41116,13.5355
Altlandsberg,11,,52.56503,13.72815
Altmark,14,,52.75,11.5
Altomünster,2,,48.38767,11.25691
Altona,4,,53.55,9.93333
Altötting,2,,48.22533,12.67665
Altusried,2,,47.8041,10.21429
"Alzenau in Unterfranken",2,,50.0888,9.06455
Amberg,2,,49.44287,11.86267
Ambergau,6,,52.02085,10.09875
Ammerland,6,,53.24173,8.04754
Amöneburg,5,,50.79595,8.9233
Amorbach,2,,49.64437,9.22178
Amrum,10,,54.65955,8.33951
Andernach,8,,50.43109,7.40425
Angeln,10,,54.69522,9.80775
Angermünde,11,,53.01499,13.99924
Anklam,12,,53.85637,13.68965
Annaberg-Buchholz,13,,50.57953,13.00627
Annaburg,14,,51.73298,13.04729
Annasee,1,,49.06251,9.33409
"Annweiler am Trifels",8,,49.20613,7.97527
Anröchte,7,,51.56667,8.33333
Ansbach,2,,49.30481,10.5931
Apen,6,,53.21667,7.8
Apfelstädt,15,,50.90157,10.88977
Aplerbeck,7,,51.48333,7.55
Apolda,15,,51.02624,11.51638
Arberg,2,,49.14428,10.61722
Arendsee,14,,52.88943,11.47556
Arneburg,14,,52.67565,12.00514
Arnsberg,7,,51.38333,8.08333
Arnstadt,15,,50.84048,10.95198
Arnstorf,2,,48.5584,12.81674
Artern,15,,51.36431,11.29167
Artland,6,,52.6489,7.90618
Artlenburg,6,,53.37182,10.48793
Aschaffenburg,2,,49.97704,9.15214
"Aschau am Inn",2,,48.19845,12.35003
Aschersleben,14,,51.75742,11.46084
Asperg,1,,48.90525,9.13502
Attendorn,7,,51.12645,7.90333
"Au in der Hallertau",2,,48.55838,11.74138
Aub,2,,49.55267,10.0653
Aue,13,,50.59034,12.70657
Auerbach,13,,50.51155,12.40083
Augsburg,2,,48.37154,10.89851
"Augsburg Airport",2,,48.42516,10.93176
Augustusburg,13,,50.81192,13.10197
Aulendorf,1,,47.95083,9.63745
Auma,15,,50.70044,11.89958
"Aura im Sinngrund",2,,50.17819,9.57547
Aurich,6,,53.46919,7.48232
Außenalster,4,,53.56534,10.0088
Baalensee,11,,53.18333,13.15
Baar,1,,48.0365,8.58437
