idprovincia,codpais,provincia,codisoprov,latitude,longitude
1,DEU,Baden-Wurttemberg,,48.34507,8.40197
2,DEU,Bavaria,,48.45755,11.13413
3,DEU,Bremen,,53.0475,8.78667
4,DEU,Hamburg,,53.56534,10.0088
5,DEU,Hesse,,51.02995,8.67232
6,DEU,"Lower Saxony",,52.37984,10.45079
7,DEU,"North Rhine-Westphalia",,50.73333,7.01667
8,DEU,Rheinland-Pfalz,,50.38238,6.93291
9,DEU,Saarland,,49.56592,7.07207
10,DEU,Schleswig-Holstein,,54.65955,8.33951
11,DEU,Brandenburg,,52.56503,13.72815
12,DEU,Mecklenburg-Vorpommern,,54.32994,13.12643
13,DEU,Saxony,,50.32011,12.25986
14,DEU,Saxony-Anhalt,,51.85274,12.04461
15,DEU,Thuringia,,50.90157,10.88977
16,DEU,Berlin,,52.43548,13.54825
