"ciudad";"idprovincia";"codeid";"latitude";"longitude"
"Azua de Compostela";"508";"";"18.4542";"-70.7292"
"Estebanía";"508";"";"18.4427";"-70.8129"
"Guayabal";"508";"";"18.5311";"-70.9797"
"Las Charcas";"508";"";"18.3177";"-70.4517"
"Las Yayas de Viajama";"508";"";"18.4231";"-70.7658"
"Padre Las Casas";"508";"";"18.2833";"-70.4500"
"Peralta";"508";"";"18.3720";"-70.3113"
"Pueblo Viejo";"508";"";"18.4645";"-70.8242"
"Sabana Yegua";"508";"";"18.6053";"-70.9337"
"Tábara Arriba";"508";"";"18.6439";"-70.7972"
"Galván";"509";"";"18.4764";"-71.2608"
"Los Ríos";"509";"";"18.2881";"-71.1619"
"Neiba";"509";"";"18.4944";"-71.4158"
"Tamayo";"509";"";"18.1851";"-71.1019"
"Villa Jaragua";"509";"";"18.4128";"-71.2706"
"Barahona";"510";"";"18.2085";"-71.1002"
"Cabral";"510";"";"17.9345";"-71.1849"
"El Peñón";"510";"";"18.1771";"-71.1115"
"Enriquillo";"510";"";"17.9833";"-71.2333"
"Fundación";"510";"";"18.2445";"-71.1137"
"Jaquimeyes";"510";"";"18.1849";"-71.1072"
"La Ciénaga";"510";"";"18.2633";"-71.1525"
"Las Salinas";"510";"";"17.9323";"-71.2084"
"Paraíso";"510";"";"18.3328";"-71.2015"
"Polo";"510";"";"18.1083";"-71.1849"
"Vicente Noble";"510";"";"18.4570";"-71.3922"
"Dajabón";"511";"";"19.5480";"-71.7090"
"El Pino";"511";"";"19.4492";"-71.7888"
"Loma de Cabrera";"511";"";"19.9040";"-71.6318"
"Partido";"511";"";"19.5884";"-71.3786"
"Restauración";"511";"";"19.5563";"-71.0902"
"Distrito Nacional";"512";"";"18.4861";"-69.9312"
"Arenoso";"513";"";"19.1458";"-69.5224"
"Castillo";"513";"";"19.2173";"-69.5096"
"Eugenio María de Hostos";"513";"";"19.1204";"-69.5109"
"Las Guáranas";"513";"";"19.0167";"-69.5667"
"Pimentel";"513";"";"19.0540";"-69.6151"
"San Francisco de Macorís";"513";"";"19.2973";"-70.2533"
"Villa Riva";"513";"";"19.3345";"-69.7448"
"Bánica";"514";"";"18.7151";"-71.7074"
"Comendador";"514";"";"18.8752";"-71.7078"
"El Llano";"514";"";"18.8433";"-70.6819"
"Hondo Valle";"514";"";"18.7203";"-71.7060"
"Juan Santiago";"514";"";"18.7703";"-71.5812"
"Pedro Santana";"514";"";"18.4333";"-71.7333"
"El Seibo";"515";"";"18.7649";"-69.0364"
"Miches";"515";"";"18.9381";"-69.0136"
"Cayetano Germosén";"516";"";"19.5941";"-70.9467"
"Gaspar Hernández";"516";"";"19.6417";"-70.1811"
"Jamao al Norte";"516";"";"19.7764";"-70.7633"
"Moca";"516";"";"19.3936";"-70.5250"
"El Valle";"517";"";"18.5789";"-69.3172"
"Hato Mayor del Rey";"517";"";"18.7647";"-69.2575"
