"idprovincia";"codpais";"provincia";"codisoprov"
1;"DOM";"Distrito Nacional";"DO-01"
2;"DOM";"Azua";"DO-02"
3;"DOM";"Bahoruco";"DO-03"
4;"DOM";"Barahona";"DO-04"
5;"DOM";"Dajabón";"DO-05"
6;"DOM";"Duarte";"DO-06"
7;"DOM";"Elías Piña";"DO-07"
8;"DOM";"El Seibo";"DO-08"
9;"DOM";"Espaillat";"DO-09"
10;"DOM";"Independencia";"DO-10"
11;"DOM";"La Altagracia";"DO-11"
12;"DOM";"La Romana";"DO-12"
13;"DOM";"La Vega";"DO-13"
14;"DOM";"María Trinidad Sánchez";"DO-14"
15;"DOM";"Monte Cristi";"DO-15"
16;"DOM";"Pedernales";"DO-16"
17;"DOM";"Peravia";"DO-17"
18;"DOM";"Puerto Plata";"DO-18"
19;"DOM";"Hermanas Mirabal";"DO-19"
20;"DOM";"Samaná";"DO-20"
21;"DOM";"San Cristóbal";"DO-21"
22;"DOM";"San Juan";"DO-22"
23;"DOM";"San Pedro de Macorís";"DO-23"
24;"DOM";"Sánchez Ramírez";"DO-24"
25;"DOM";"Santiago";"DO-25"
26;"DOM";"Santiago Rodríguez";"DO-26"
27;"DOM";"Valverde";"DO-27"
28;"DOM";"Monseñor Nouel";"DO-28"
29;"DOM";"Monte Plata";"DO-29"
30;"DOM";"Hato Mayor";"DO-30"
31;"DOM";"San José de Ocoa";"DO-31"
32;"DOM";"Santo Domingo";"DO-32"
