"cuenta";"descripcion";"cuentaesp"
"1";"ACTIVO";""
"11";"ACTIVO CORRIENTE";""
"111";"DISPONIBLES";""
"1111";"CAJA";"CAJA"
"1112";"BANCOS";""
"1113";"INVERSIONES FINANCIERAS TEMPORALES";""
"112";"EXIGIBLES";""
"1121";"CLIENTES";"CLIENT"
"1122";"OTRAS CUENTAS POR COBRAR";""
"1123";"CREDITO TRIBUTARIO IVA";""
"1124";"CREDITO TRIBUTARIO RENTA AÑOS ANTERIORES";""
"1125";"CREDITO TRIBUTARIO RENTA AÑO CORRIENTE";""
"113";"REALIZABLES";""
"1131";"INVENTARIO PARA LA VENTA";""
"1132";"INVENTARIO PARA EL CONSUMO";""
"114";"PAGOS ANTICIPADOS";""
"1141";"PAGOS ANTICIPADOS";""
"1142";"OTROS ACTIVOS";""
"12";"ACTIVO FIJO";""
"121";"NO DEPRECIABLE";""
"1211";"TERRENOS";""
"1212";"OBRAS EN PROCESO";""
"122";"DEPRECIABLES";""
"1221";"EDIFICIOS";""
"1222";"MUEBLES Y ENSERES";""
"1223";"EQUIPO DE OFICINA";""
"1224";"EQUIPO DE COMPUTO";""
"1225";"VEHÍCULOS";""
"123";"INTANGIBLES";""
"1231";"MARCAS, PATENTES, DERECHO DE LLAVE";""
"13";"ACTIVO DIFERIDO";""
"131";"CARGOS DIFERIDOS";""
"1311";"GASTOS DE CONSTITUCION";""
"1312";"GASTOS DE INSTALACION";""
"2";"PASIVO";""
"21";"PASIVO CORRIENTE O CORTO PLAZO";""
"211";"PROVEEDORES";""
"2111";"PROVEEDORES LOCALES";"PROVEE"
"2112";"PROVEEDORES DEL EXTERIOR";""
"212";"ACREEDORES";""
"2121";"ACREEDORES FISCALES";""
"2122";"ACREEDORES IESS";""
"2123";"ACREEDORES LABORALES";""
"2124";"ACREEDORES FINANCIEROS";""
"2125";"ACREEDORES PATRIMONIALES";""
"2129";"ACREEDORES VARIOS";""
"22";"PASIVO A LARGO PLAZO";""
"221";"OBLIGACIONES A LARGO PLAZO";""
"2211";"PRESTAMOS BANCARIOS";""
"2212";"HIPOTECAS POR PAGAR";""
"3";"PATRIMONIO";""
"31";"CAPITAL";""
"311";"CAPITAL SOCIAL";""
"3111";"CAPITAL SUSCRITO PAGADO";""
"3112";"CAPITAL SUSCRITO NO PAGADO";""
"32";"RESERVAS";""
"321";"RESERVAS";""
"3211";"RESERVAS";""
"3212";"RESERVAS DE CAPITAL";""
"33";"RESULTADOS";""
"331";"RESULTADOS";""
"3311";"UTILIDADES";""
"3312";"PERDIDAS";""
"4";"INGRESOS";""
"41";"INGRESOS OPERACIONALES";""
"411";"VENTAS";""
"4111";"VENTAS";"VENTAS"
"4112";"DESCUENTO EN VENTAS";""
"4113";"DEVOLUCIONES EN VENTAS";""
"4114";"OTROS RECARGOS EN VENTAS";""
"42";"INGRESOS NO OPERACIONALES";""
"421";"INGRESOS NO OPERACIONALES";""
"4211";"INGRESOS FINANCIEROS";""
"4212";"OTROS INGRESOS";""
"5";"COSTOS Y GASTOS";""
"51";"COSTOS OPERACIONALES";""
"511";"COSTOS";""
"5111";"COSTO DE VENTAS";""
"5112";"DESCUENTO EN COMPRAS";""
"5113";"DEVOLUCION EN COMPRAS";""
"5114";"RECARGO EN COMPRAS";""
"512";"GASTOS DE VENTA Y ADMINISTRATIVOS";""
"5121";"GASTOS DE PERSONAL";""
"5122";"GASTOS EN LOCALES E INSTALACIONES";""
"5123";"GASTOS GENERALES";""
"52";"EGRESOS NO OPERACIONALES";""
"521";"GASTOS NO OPERACIONALES";""
"5211";"GASTOS FINANCIEROS";""
"5212";"OTROS GASTOS";""
"111101";"Caja General";""
"111102";"Caja Chica";""
"111103";"Fondo Rotativo";""
"111104";"Caja Cheques";""
"111201";"Banco del Pichincha";""
"111202";"Banco del Pacífico";""
"111301";"Reepos";""
"111302";"Polizas";""
"112101";"Clientes Ocasionales";""
"112102";"Clientes Crédito";""
"112199";"(-) Provision Cuentas Incobrables";""
"112201";"Prestamos y Anticipos a Empleados";""
"112202";"Prestamos a Socios";""
"112299";"Otras Cuentas por Cobrar";""
"112301";"IVA en Compras";""
"112302";"Retencion IVA";""
"112303";"Saldo a Favor IVA";""
"112401";"Anticipo Impuesto a la Renta";""
"112402";"Saldo a Favor del Impuesto a la Renta";""
"112501";"Retenciones en la Fuente del Impuesto a la Renta";""
"113101";"Inventario Gravado 0%";""
"113102";"Inventario Gravado 12%";""
"113201";"Inventario Suministros y materiales";""
"113202";"Inventario de Herramientas y Accesorios";""
"114101";"Seguros Pagados por Anticipados";""
"114102";"Arriendos pagados por Anticipados";""
"114103";"Publicidad pagada por Anticipado";""
"114104";"Dividendos Pagados por Anticipado";""
"114201";"Otros Activos Corrientes";""
"121101";"Terrenos";""
"121201";"Construcciones en Curso";""
"122101";"Edificio (Costo Historico)";""
"122102";"(-) Depreciación Acumulada de Edificios";""
"122201";"Muebles y enseres";""
"122202";"(-) Depreciación Acumulada de Muebles y Enseres";""
"122301";"Equipo de Oficina";""
"122302";"(-) Depreciacion Acumulada de Equipo de Oficina";""
"122401";"Equipo de Computo";""
"122402";"(-) Depreciacion Acumulada de Equipo de Computo";""
"122501";"Vehículos";""
"123101";"Marcas";""
"123102";"Patentes";""
"123103";"Derechos de Llave";""
"123104";"Derechos de Autor";""
"123199";"(-) Amortizacion Acumulada Activos Fijos Intangibles";""
"131101";"Gastos de Constitucion";""
"131199";"(-) Amortizacion Acumulada de Gastos de Constitución";""
"131201";"Gastos de Instalación";""
"131299";"(-) Amortizacion Acumulada de Gastos de Instalación";""
"211101";"Proveedores Locales de Bienes";""
