"idprovincia";"codpais";"provincia";"codigoiso";"codpostal2d";"latitud";"longitud";"fecha_revision"
1;"ECU";"Azuay";"EC-1";010150;-2.900011; -79.006233;"01-01-2018"
2;"ECU";"Bolívar";"EC-2";020150;-1.590436;-78.999751;"01-01-2018"
3;"ECU";"Cañar";"EC-3";030102;-2.739272;-78.845186;"01-01-2018"
4;"ECU";"Carchi";"EC-4";040102;0.810041;-77.716174;"01-01-2018"
5;"ECU";"Chimborazo";"EC-5";060150;-1.664194;-78.650931;"01-01-2018"
6;"ECU";"Cotopaxi";"EC-6";050150;-0.931556;-78.605550;"01-01-2018"
7;"ECU";"El Oro";"EC-7";070102;-3.260732;-79.961200;"01-01-2018"
8;"ECU";"Esmeraldas";"EC-8";080150;0.964992;-79.641437;"01-01-2018"
9;"ECU";"Galápagos";"EC-9";200150;-0.833443;-89.583849;"01-01-2018"
10;"ECU";"Guayas";"EC-10";090150;-2.168849;-79.925631;"01-01-2018"
11;"ECU";"Imbabura";"EC-11";100150;0.337785;-78.121881;"01-01-2018"
12;"ECU";"Loja";"EC-12";110150;-4.008108;-79.212328;"01-01-2018"
13;"ECU";"Los Ríos";"EC-13";120150;-1802147;-79.534064;"01-01-2018"
14;"ECU";"Manabí";"EC-14";130105;-1.062166;-80.457573;"01-01-2018"
15;"ECU";"Morona Santiago";"EC-15";140150;-2.306057; -78.115811;"01-01-2018"
16;"ECU";"Napo";"EC-16";150150;-0.996616;-77.814188;"01-01-2018"
17;"ECU";"Orellana";"EC-17";220150;-0.452712;-76.995739;"01-01-2018"
18;"ECU";"Pastaza";"EC-18";160150;-1.492601;-78.002819;"01-01-2018"
19;"ECU";"Pichincha";"EC-19";170150;-0.181105;-78.467273;"01-01-2018"
20;"ECU";"Santa Elena";"EC-20";241702;-2.226981;-80.857036;"01-01-2018"
21;"ECU";"Santo Domingo de los Tsáchilas";"EC-21";230154;-0.239871;-79.177813;"01-01-2018"
22;"ECU";"Sucumbíos";"EC-22";210150;0.085029;-76.896122;"01-01-2018"
23;"ECU";"Tungurahua";"EC-23";180150;-1.253196;-78.620933;"01-01-2018"
24;"ECU";"Zamora Chinchipe";"EC-24";190102;-4.062332;-78.950805;"01-01-2018"
