descripcion4ba;descripcion4;nivel4;descripcion3;orden3;nivel3;descripcion2;nivel2;descripcion1;nivel1;naturaleza;codbalance
"";"1. Desarrollo.";1;"I. Inmovilizado intangible.";1;I;"";0;"A) ACTIVO NO CORRIENTE";A;A;A-A--I-1
"";"2. Concesiones.";2;"I. Inmovilizado intangible.";1;I;"";0;"A) ACTIVO NO CORRIENTE";A;A;A-A--I-2
"";"3. Patentes, licencias, marcas y similares.";3;"I. Inmovilizado intangible.";1;I;"";0;"A) ACTIVO NO CORRIENTE";A;A;A-A--I-3
"";"4. Fondo de comercio.";4;"I. Inmovilizado intangible.";1;I;"";0;"A) ACTIVO NO CORRIENTE";A;A;A-A--I-4
"";"5. Aplicaciones informáticas.";5;"I. Inmovilizado intangible.";1;I;"";0;"A) ACTIVO NO CORRIENTE";A;A;A-A--I-5
"";"6. Otro inmovilizado intangible.";6;"I. Inmovilizado intangible.";1;I;"";0;"A) ACTIVO NO CORRIENTE";A;A;A-A--I-6
"";"1. Terrenos y construcciones.";1;"II. Inmovilizado material.";2;II;"";0;"A) ACTIVO NO CORRIENTE";A;A;A-A--II-1
"";"2. Instalaciones técnicas, y otro inmovilizado material.";2;"II. Inmovilizado material.";2;II;"";0;"A) ACTIVO NO CORRIENTE";A;A;A-A--II-2
"";"3. Inmovilizado en curso y anticipos.";3;"II. Inmovilizado material.";2;II;"";0;"A) ACTIVO NO CORRIENTE";A;A;A-A--II-3
"";"1. Terrenos.";1;"III. Inversiones inmobiliarias.";3;III;"";0;"A) ACTIVO NO CORRIENTE";A;A;A-A--III-1
"";"2. Construcciones.";2;"III. Inversiones inmobiliarias.";3;III;"";0;"A) ACTIVO NO CORRIENTE";A;A;A-A--III-2
"";"1. Instrumentos de patrimonio.";1;"IV. Inversiones en empresas del grupo y asociadas a largo plazo";4;IV;"";0;"A) ACTIVO NO CORRIENTE";A;A;A-A--IV-1
"";"2. Créditos a empresas.";2;"IV. Inversiones en empresas del grupo y asociadas a largo plazo";4;IV;"";0;"A) ACTIVO NO CORRIENTE";A;A;A-A--IV-2
"";"3. Valores representativos de deuda.";3;"IV. Inversiones en empresas del grupo y asociadas a largo plazo";4;IV;"";0;"A) ACTIVO NO CORRIENTE";A;A;A-A--IV-3
"";"4. Derivados.";4;"IV. Inversiones en empresas del grupo y asociadas a largo plazo";4;IV;"";0;"A) ACTIVO NO CORRIENTE";A;A;A-A--IV-4
"";"5. Otros activos financieros.";5;"IV. Inversiones en empresas del grupo y asociadas a largo plazo";4;IV;"";0;"A) ACTIVO NO CORRIENTE";A;A;A-A--IV-5
"";"1. Instrumentos de patrimonio.";1;"V. Inversiones financieras a largo plazo.";5;V;"";0;"A) ACTIVO NO CORRIENTE";A;A;A-A--V-1
"";"2. Créditos a terceros";2;"V. Inversiones financieras a largo plazo.";5;V;"";0;"A) ACTIVO NO CORRIENTE";A;A;A-A--V-2
"";"3. Valores representativos de deuda";3;"V. Inversiones financieras a largo plazo.";5;V;"";0;"A) ACTIVO NO CORRIENTE";A;A;A-A--V-3
"";"4. Derivados.";4;"V. Inversiones financieras a largo plazo.";5;V;"";0;"A) ACTIVO NO CORRIENTE";A;A;A-A--V-4
