desccuenta;codcuenta;codbalance;id
"";994;IG-B--VI-1;1
"";993;IG-B--VI-1;2
"";992;IG-A--I-1;3
"";991;IG-A--I-1;4
"";95;IG-A--IV-;5
"";94;IG-A--III-;6
"";912;IG-B--VII-;7
"";910;IG-A--II-;8
"";902;IG-B--VI-1;9
"";900;IG-A--I-1;10
"";89;IG-A--I-1;11
"";85;IG-A--IV-;12
"";84;IG-B--VIII-;13
"";838;IG-A--V-;14
"";837;IG-B--IX-;15
"";836;IG-B--IX-;16
"";835;IG-A--V-;17
"";834;IG-A--V-;18
"";833;IG-A--V-;19
"";8301;IG-B--IX-;20
"";8300;IG-A--V-;21
"";813;IG-B--VII-;22
"";812;IG-B--VII-;23
"";811;IG-A--II-;24
"";810;IG-A--II-;25
"";802;IG-B--VI-1;26
"";800;IG-A--I-1;27
"";799;PG-A-16-a-;28
"";798;PG-A-16-a-;29
"";797;PG-A-16-a-;30
"";796;PG-A-16-a-;31
"";7957;PG-A-6-c-;32
"";7956;PG-A-10--;33
"";7955;PG-A-10--;34
"";7954;PG-A-7-c-;35
"";7952;PG-A-10--;36
"";7951;PG-A-10--;37
"";7950;PG-A-6-c-;38
"";794;PG-A-7-c-;39
"";7933;PG-A-4-d-;40
"";7932;PG-A-4-d-;41
"";7931;PG-A-4-d-;42
"";7930;PG-A-2--;43
"";792;PG-A-11-a-;44
"";791;PG-A-11-a-;45
"";790;PG-A-11-a-;46
"";775;PG-A-16-b-;47
"";773;PG-A-16-b-;48
"";772;PG-A-11-b-;49
"";771;PG-A-11-b-;50
"";770;PG-A-11-b-;51
"";769;PG-A-12-b-2;52
"";768;PG-A-15--;53
"";767;PG-A-12-b-2;54
"";766;PG-A-16-b-;55
"";7633;PG-A-14-a-;56
"";7632;PG-A-14-b-;57
"";7631;PG-A-14-a-;58
"";7630;PG-A-14-a-;59
"";76213;PG-A-12-b-2;60
"";76212;PG-A-12-b-2;61
"";76211;PG-A-12-b-1;62
"";76210;PG-A-12-b-1;63
"";76203;PG-A-12-b-2;64
"";76202;PG-A-12-b-2;65
"";76201;PG-A-12-b-1;66
"";76200;PG-A-12-b-1;67
"";7613;PG-A-12-b-2;68
"";7612;PG-A-12-b-2;69
"";7611;PG-A-12-b-1;70
"";7610;PG-A-12-b-1;71
"";7603;PG-A-12-a-2;72
"";7602;PG-A-12-a-2;73
"";7601;PG-A-12-a-1;74
"";7600;PG-A-12-a-1;75
"";75;PG-A-5-a-;76
"";747;PG-A-5-b-;77
"";746;PG-A-9--;78
"";740;PG-A-5-b-;79
"";73;PG-A-3--;80
"";71;PG-A-2--;81
"";709;PG-A-1-a-;82
"";708;PG-A-1-a-;83
"";706;PG-A-1-a-;84
"";705;PG-A-1-b-;85
"";704;PG-A-1-a-;86
"";703;PG-A-1-a-;87
"";702;PG-A-1-a-;88
"";701;PG-A-1-a-;89
"";700;PG-A-1-a-;90
"";699;PG-A-16-a-;91
"";698;PG-A-16-a-;92
"";697;PG-A-16-a-;93
"";696;PG-A-16-a-;94
"";695;PG-A-7-c-;95
"";694;PG-A-7-c-;96
"";6933;PG-A-4-d-;97
"";6932;PG-A-4-d-;98
"";6931;PG-A-4-d-;99
"";6930;PG-A-2--;100
"";692;PG-A-11-a-;101
"";691;PG-A-11-a-;102
"";690;PG-A-11-a-;103
"";68;PG-A-8--;104
"";675;PG-A-16-b-;105
"";673;PG-A-16-b-;106
"";672;PG-A-11-b-;107
"";671;PG-A-11-b-;108
"";670;PG-A-11-b-;109
"";669;PG-A-13-b-;110
"";668;PG-A-15--;111
"";667;PG-A-16-b-;112
"";666;PG-A-16-b-;113
"";6657;PG-A-13-b-;114
"";6656;PG-A-13-b-;115
"";6655;PG-A-13-a-;116
"";6654;PG-A-13-a-;117
