desccuenta;codcuenta;codbalance;id
"";994;IG-B--VI-1;1
"";993;IG-B--VI-1;2
"";992;IG-A--I-1;3
"";991;IG-A--I-1;4
"";95;IG-A--IV-;5
"";94;IG-A--III-;6
"";912;IG-B--VII-;7
"";910;IG-A--II-;8
"";902;IG-B--VI-1;9
"";900;IG-A--I-1;10
"";89;IG-A--I-1;11
"";85;IG-A--IV-;12
"";84;IG-B--VIII-;13
"";838;IG-A--V-;14
"";837;IG-B--IX-;15
"";836;IG-B--IX-;16
"";835;IG-A--V-;17
"";834;IG-A--V-;18
"";833;IG-A--V-;19
"";8301;IG-B--IX-;20
"";8300;IG-A--V-;21
"";812;IG-B--VII-;22
"";810;IG-A--II-;23
"";802;IG-B--VI-1;24
"";800;IG-A--I-1;25
"";799;PG-A-16-a-;26
"";798;PG-A-16-a-;27
"";797;PG-A-16-a-;28
"";796;PG-A-16-a-;29
"";7956;PG-A-10--;30
"";7955;PG-A-10--;31
"";7954;PG-A-7-a-;32
"";7952;PG-A-10--;33
"";7951;PG-A-10--;34
"";794;PG-A-7-a-;35
"";7933;PG-A-4-a-;36
"";7932;PG-A-4-a-;37
"";7931;PG-A-4-a-;38
"";7930;PG-A-2--;39
"";792;PG-A-11-a-;40
"";791;PG-A-11-a-;41
"";790;PG-A-11-a-;42
"";775;PG-A-16-a-;43
"";773;PG-A-16-a-;44
"";772;PG-A-11-a-;45
"";771;PG-A-11-a-;46
"";770;PG-A-11-a-;47
"";769;PG-A-12-a-1;48
"";768;PG-A-15--;49
"";767;PG-A-12-a-1;50
"";766;PG-A-16-a-;51
"";763;PG-A-14-a-;52
"";762;PG-A-12-a-1;53
"";761;PG-A-12-a-1;54
"";760;PG-A-12-a-1;55
"";75;PG-A-5-a-;56
"";747;PG-A-5-a-;57
"";746;PG-A-9--;58
"";740;PG-A-5-a-;59
"";73;PG-A-3--;60
"";71;PG-A-2--;61
"";709;PG-A-1-a-;62
"";708;PG-A-1-a-;63
"";706;PG-A-1-a-;64
"";705;PG-A-1-a-;65
"";704;PG-A-1-a-;66
"";703;PG-A-1-a-;67
"";702;PG-A-1-a-;68
"";701;PG-A-1-a-;69
"";700;PG-A-1-a-;70
"";699;PG-A-16-a-;71
"";698;PG-A-16-a-;72
"";697;PG-A-16-a-;73
"";696;PG-A-16-a-;74
"";695;PG-A-7-a-;75
"";694;PG-A-7-a-;76
"";6933;PG-A-4-a-;77
"";6932;PG-A-4-a-;78
"";6931;PG-A-4-a-;79
"";6930;PG-A-2--;80
"";692;PG-A-11-a-;81
"";691;PG-A-11-a-;82
"";690;PG-A-11-a-;83
"";68;PG-A-8--;84
"";675;PG-A-16-a-;85
"";672;PG-A-11-a-;86
"";671;PG-A-11-a-;87
"";670;PG-A-11-a-;88
"";669;PG-A-13-a-;89
"";668;PG-A-16-a-;90
"";667;PG-A-16-a-;91
"";666;PG-A-16-a-;92
"";665;PG-A-13-a-;93
"";664;PG-A-13-a-;94
"";663;PG-A-14-a-;95
"";662;PG-A-13-a-;96
"";661;PG-A-13-a-;97
"";660;PG-A-13-a-;98
"";65;PG-A-7-a-;99
"";64;PG-A-6-a-;100
"";639;PG-A-7-a-;101
"";638;PG-A-17--;102
"";636;PG-A-7-a-;103
"";634;PG-A-7-a-;104
"";633;PG-A-17--;105
"";631;PG-A-7-a-;106
"";6301;PG-A-17--;107
"";6300;PG-A-17--;108
"";62;PG-A-7-a-;109
"";61;PG-A-4-a-;110
"";609;PG-A-4-a-;111
"";608;PG-A-4-a-;112
"";607;PG-A-4-a-;113
"";606;PG-A-4-a-;114
"";602;PG-A-4-a-;115
"";601;PG-A-4-a-;116
"";600;PG-A-4-a-;117
"";599;A-B--I-;118
"";598;A-B--V-1;119
"";597;A-B--V-1;120
