"ciudad";"idprovincia";"codeid";"latitude";"longitude"
"Ababuj";"44";"";"40.4536";"-0.7613"
"Abades";"40";"";"40.6572";"-4.3992"
"Abadía";"10";"";"40.1333";"-6.0833"
"Abadín";"27";"";"43.4203";"-7.4748"
"Abadiño";"48";"";"43.1452";"-2.5980"
"Abáigar";"31";"";"42.6712";"-1.9480"
"Abajas";"9";"";"41.9255";"3.1567"
"Ábalos";"26";"";"42.5967";"-2.8414"
"Abaltzisketa";"20";"";"43.0936";"-2.1502"
"Abánades";"19";"";"40.9920";"-2.8320"
"Abanilla";"30";"";"38.2055";"-1.0425"
"Abanto";"50";"";"41.3409";"-1.4652"
"Abanto Zierbena";"48";"";"43.3310";"-3.0753"
"Abarán";"30";"";"38.2056";"-1.3997"
"Abarca de Campos";"34";"";"42.062730";"-4.768330"
"Abárzuza";"31";"";"42.7569";"-2.0396"
"Abaurrea Alta";"31";"";"42.9269";"-1.1050"
"Abegondo";"15";"";"43.2136";"-8.3115"
"Abejar";"42";"";"41.8215";"-2.7926"
"Abejuela";"44";"";"40.143103";"-1.207677"
"Abella de la Conca";"25";"";"42.1043";"1.1359"
"Abengibre";"2";"";"38.9900";"-1.5200"
"Abenójar";"13";"";"38.9788";"-4.0487"
"Aberin";"31";"";"42.6725";"-1.9017"
"Abertura";"10";"";"39.2324";"-5.7239"
"Abezames";"49";"";"41.5663";"-5.3633"
"Abia de la Obispalía";"16";"";"40.4286";"-2.4504"
"Abia de las Torres";"34";"";"42.5331";"-4.3008"
"Abiego";"22";"";"42.2154";"0.0307"
"Abizanda";"22";"";"42.2973";"0.1461"
"Abla";"4";"";"37.1436";"-2.7827"
"Ablanque";"19";"";"41.1394";"-2.2505"
"Ablitas";"31";"";"41.9991";"-1.6010"
"Abrera";"8";"";"41.5286";"1.9018"
"Abrucena";"4";"";"37.2215";"-2.7766"
"Abusejo";"37";"";"40.6446";"-5.7087"
"Acebeda";"28";"";"41.0144";"-3.6332"
"Acebedo";"24";"";"42.9823";"-6.3490"
"Acebo";"10";"";"42.9209";"-6.8077"
"Acedera";"6";"";"38.9884";"-6.5603"
"Acehúche";"10";"";"39.7580";"-6.5767"
"Aceituna";"10";"";"40.1429";"-6.3853"
"Acered";"50";"";"41.3547";"-1.4546"
"Aceuchal";"6";"";"38.8574";"-6.6664"
"Adahuesca";"22";"";"42.2442";"0.1003"
"Adalia";"47";"";"41.4766";"-5.1519"
"Adamuz";"14";"";"38.0342";"-4.6750"
"Adanero";"5";"";"40.7269";"-4.9703"
"Adeje";"38";"";"28.1227";"-16.726"
"Ademuz";"46";"";"40.0586";"-1.2865"
"Adiós";"31";"";"42.6369";"-1.6762"
"Adobes";"19";"";"40.3467";"-1.0365"
"Ador";"46";"";"38.9199";"-0.2434"
"Adra";"4";"";"36.7498";"-3.0220"
"Adrada de Haza";"9";"";"41.9387";"3.1815"
"Adrada de Pirón";"40";"";"40.9621";"-4.0049"
"Adradas";"42";"";"41.2851";"-2.2348"
"Adrados";"40";"";"41.0821";"-4.2987"
"Adsubia";"3";"";"38.7870";"0.1863"
"Aduna";"20";"";"43.0888";"-2.1292"
"Agaete";"35";"";"28.0981";"-15.7015"
"Agallas";"37";"";"39.6423";"-0.3646"
"Agolada";"36";"";"42.7692";"-8.0484"
"Agón";"50";"";"41.9087";"-1.2045"
"Agoncillo";"26";"";"42.4371";"-2.2726"
"Agost";"3";"";"38.4562";"-0.6311"
"Agramunt";"25";"";"41.7831";"1.0983"
"Ágreda";"42";"";"41.8538";"-1.9232"
"Agres";"3";"";"38.7544";"-0.4888"
"Agrón";"18";"";"37.1345";"3.8949"
"Aguadulce";"41";"";"36.6972";"-4.4494"
"Aguarón";"50";"";"41.3769";"-1.2871"
"Aguas Cándidas";"9";"";"42.4844";"2.0424"
"Aguasal";"47";"";"41.2348";"-4.6946"
"Aguatón";"44";"";"40.8915";"-1.2920"
"Aguaviva";"44";"";"40.8172";"0.2570"
"Agudo";"13";"";"39.2874";"-4.4087"
"Agüero";"22";"";"42.3575";"-0.7950"
"Aguilafuente";"40";"";"41.1501";"-4.0113"
"Aguilar de Bureba";"9";"";"42.5268";"2.9465"
"Aguilar de Campoo";"34";"";"42.7893";"-4.257"
"Aguilar de Campos";"47";"";"41.9781";"-5.0195"
