"idprovincia";"codpais";"provincia";"codisoprov";"codpostal2d";"latitud";"longitud";"fecha_revision"
1;"ESP";"Álava (Vitoria-Gasteiz)";"VI";"01";42.8442527;-3.320137;"04-11-2017"
2;"ESP";"Albacete";"AB";"02";38.9922607;-1.8956088;"04-11-2017"
3;"ESP";"Alicante/Alacant";"A";"03";38.3579546;-0.5425638;"04-11-2017"
4;"ESP";"Almería";"AL";"04";36.8415917;-2.492136;"04-11-2017"
5;"ESP";"Ávila";"AV";"05";40.6569459;-4.7172131;"04-11-2017"
6;"ESP";"Badajoz";"BA";"06";38.8794928;-7.0577188;"04-11-2017"
7;"ESP";"Baleares/Illes Balears (Palma de Mallorca)";"PM";"07";39.341497;0.4926878;"04-11-2017"
8;"ESP";"Barcelona";"B";"08";41.3949627;2.0086852;"04-11-2017"
9;"ESP";"Burgos";"BU";"09";42.3442316;-3.7647326;"04-11-2017"
10;"ESP";"Cáceres";"CC";"10";39.4716976;-6.4257386;"04-11-2017"
11;"ESP";"Cádiz";"CA";"11";36.5164503;-6.3174865;"04-11-2017"
12;"ESP";"Castellón/Castelló";"CS";"12";39.9875199;-0.0830824;"04-11-2017"
13;"ESP";"Ciudad Real";"CR";"13";38.9861052;-3.9620073;"04-11-2017"
14;"ESP";"Córdoba";"CO";"14";37.8917007;-4.854525;"04-11-2017"
15;"ESP";"A Coruña";"C";"15";42.2973389;-9.533064;"04-11-2017"
16;"ESP";"Cuenca";"CU";"16";40.0620325;-2.1830443;"04-11-2017"
17;"ESP";"Gerona/Girona";"GI";"17";41.9803112;2.7836478;"04-11-2017"
18;"ESP";"Granada";"GR";"18";37.1810624;-3.6613114;"04-11-2017"
19;"ESP";"Guadalajara";"GU";"19";40.63225;-3.2081919;"04-11-2017"
20;"ESP";"Guipúzcoa (Donostia-San Sebastián)";"SS";"20";43.1452124;-2.7264229;"04-11-2017"
21;"ESP";"Huelva";"H";"21";37.270931;-6.9747097;"04-11-2017"
22;"ESP";"Huesca";"HU";"22";42.1359368;-0.423358;"04-11-2017"
23;"ESP";"Jaén";"J";"23";37.780157;-3.8318844;"04-11-2017"
24;"ESP";"León";"LE";"24";42.6036635;-5.6124107;"04-11-2017"
25;"ESP";"Lérida/Lleida";"L";"25";41.6184012;0.5849155;"04-11-2017"
26;"ESP";"La Rioja (Logroño)";"LO";"26";42.2782233;-3.5275124;"04-11-2017"
27;"ESP";"Lugo";"LU";"27";43.0123411;-7.5915195;"04-11-2017"
28;"ESP";"Madrid";"M";"28";40.4381388;-3.9597163;"04-11-2017"
29;"ESP";"Málaga";"MA";"29";36.7650537;-4.7043702;"04-11-2017"
30;"ESP";"Murcia";"MU";"30";37.9805949;-1.1621947;"04-11-2017"
31;"ESP";"Navarra (Pamplona)";"NA";"31";42.6089005;-2.7330395;"04-11-2017"
32;"ESP";"Ourense";"OR";"32";42.338393;-7.8811952;"04-11-2017"
33;"ESP";"Asturias (Oviedo)";"O";"33";43.256629;-8.089281;"04-11-2017"
34;"ESP";"Palencia";"P";"34";42.0088746;-4.5619732;"04-11-2017"
35;"ESP";"Las Palmas";"GC";"35";28.117432;-15.4746365;"04-11-2017"
36;"ESP";"Pontevedra";"PO";"36";42.4339188;-8.674365;"04-11-2017"
37;"ESP";"Salamanca";"SA";"37";40.9635469;-5.7392517;"04-11-2017"
38;"ESP";"Santa Cruz de Tenerife";"TF";"38";28.4579534;-16.3563744;"04-11-2017"
39;"ESP";"Cantabria (Santander)";"S";"39";43.1324045;-5.121733;"04-11-2017"
40;"ESP";"Segovia";"SG";"40";40.9413097;-4.1472213;"04-11-2017"
41;"ESP";"Sevilla";"SE";"41";37.3754865;-6.0250979;"04-11-2017"
42;"ESP";"Soria";"SO";"42";41.7671802;-2.5095984;"04-11-2017"
43;"ESP";"Tarragona";"T";"43";41.1259129;1.1685438;"04-11-2017"
44;"ESP";"Teruel";"TE";"44";40.3450697;-1.1359842;"04-11-2017"
45;"ESP";"Toledo";"TO";"45";39.8623886;-4.1395128;"04-11-2017"
46;"ESP";"Valencia/València";"V";"46";39.4078969;-0.4315509;"04-11-2017"
47;"ESP";"Valladolid";"VA";"47";41.7034247;-4.9488948;"04-11-2017"
48;"ESP";"Vizcaya (Bilbao)";"BI";"48";43.219195;-3.491349;"04-11-2017"
49;"ESP";"Zamora";"ZA";"49";41.5038688;-5.7795554;"04-11-2017"
50;"ESP";"Zaragoza";"Z";"50";41.6517983;-0.9650205;"04-11-2017"
51;"ESP";"Ceuta";"CE";"51";35.8891751;-5.3885655;"04-11-2017"
52;"ESP";"Melilla";"ML";"52";35.2863366;-2.9795459;"04-11-2017"
