ciudad,idprovincia,codeid,latitude,longitude
Abbeville,32,,50.10521,1.83547
Agde,76,,43.31083,3.47583
Agen,75,,44.20199,0.62055
Aigueblanche,84,,45.50455,6.50184
"Aiguille Verte",84,,45.9359,6.96915
Aime,84,,45.55559,6.65042
Aire-sur-la-Lys,32,,50.63871,2.39876
Aix-en-Provence,93,,43.5283,5.44973
Aix-les-Bains,84,,45.69173,5.90863
Ajaccio,94,,41.91886,8.73812
Albert,32,,50.00091,2.65096
Albertville,84,,45.67452,6.39061
Albi,76,,43.9298,2.148
Alençon,28,,48.43476,0.09311
Alès,76,,44.12489,4.08082
Alfortville,11,,48.80575,2.4204
Allonnes,52,,47.96744,0.16023
Altkirch,44,,47.62417,7.23954
Ambérieu-en-Bugey,84,,45.95932,5.3516
Amboise,24,,47.41249,0.98266
Amiens,32,,49.9,2.3
Amnéville,44,,49.25671,6.13414
Ancenis,52,,47.36667,-1.16667
Andrézieux-Bouthéon,84,,45.52625,4.26021
Angers,52,,47.47156,-0.55202
Anglet,75,,43.48921,-1.51921
Angoulême,75,,45.64997,0.15345
Annecy,84,,45.90878,6.12565
Annecy-le-Vieux,84,,45.91971,6.14393
Annemasse,84,,46.19439,6.23775
Annonay,84,,45.23992,4.6707
Antibes,93,,43.58127,7.12487
Antony,11,,48.75329,2.29668
Aquitaine,97,,44.33333,-0.25
Arbois,27,,46.90311,5.77454
Arcachon,75,,44.66126,-1.17255
Arcueil,11,,48.79993,2.33256
Argeles,76,,42.54714,3.02253
Argentan,28,,48.74441,-0.02023
Argenteuil,11,,48.94788,2.24744
Arles,93,,43.67681,4.63031
Armentières,32,,50.68568,2.88214
Arpajon,11,,48.58875,2.24672
Arras,32,,50.29301,2.78186
Asnières-sur-Seine,11,,48.91667,2.28333
Athis-Mons,11,,48.70522,2.39147
Aubagne,93,,43.29276,5.57067
Aubenas,84,,44.61975,4.39033
Aubergenville,11,,48.95996,1.85467
Aubervilliers,11,,48.91667,2.38333
Aubière,84,,45.75082,3.11078
Auch,76,,43.64561,0.58856
Audincourt,27,,47.48327,6.85341
Aulnay-sous-Bois,11,,48.93814,2.49402
Auray,53,,47.66692,-2.98421
Aurillac,84,,44.92539,2.43983
Autun,27,,46.95104,4.29869
Auvergne-Rhône-Alpes,84,,45.482,5.37437
Auxerre,27,,47.7996,3.57033
Avallon,27,,47.49002,3.90832
Avignon,93,,43.94834,4.80892
Avon,11,,48.40219,2.72022
Avranches,28,,48.68436,-1.35686
Avrillé,52,,47.50663,-0.58955
Aytré,75,,46.13417,-1.11826
Bagnères-de-Bigorre,76,,43.06497,0.14876
Bagneux,11,,48.79565,2.30796
Bagnolet,11,,48.86667,2.41667
Bagnols-sur-Cèze,76,,44.16259,4.61974
Balma,76,,43.61111,1.49944
Bapaume,32,,50.10379,2.84966
Bar-le-Duc,44,,48.77275,5.16108
Barr,44,,48.40755,7.44873
Bastia,94,,42.70219,9.45123
Baume-les-Dames,27,,47.35295,6.36117
Bayeux,28,,49.27732,-0.7039
Bayonne,75,,43.49316,-1.473
Beaucaire,76,,43.80806,4.64417
Beaumont-Hague,28,,49.66387,-1.83822
Beaune,27,,47.02413,4.83887
Beauvais,32,,49.43333,2.08333
Bègles,75,,44.80759,-0.55144
Belfort,27,,47.64218,6.85385
Bellegarde-sur-Valserine,84,,46.10787,5.82421
Belleville,84,,46.10867,4.7492
Belley,84,,45.75917,5.68813
Benfeld,44,,48.37062,7.5937
Berck,32,,50.4,1.6
Bergerac,75,,44.85157,0.48171
Bernay,28,,49.08888,0.59858
Berre-l'Étang,93,,43.47809,5.17044
Besançon,27,,47.24878,6.01815
Béthune,32,,50.52965,2.64003
Béziers,76,,43.34122,3.21402
Bezons,11,,48.92426,2.2128
Biarritz,75,,43.48055,-1.55684
Bièvres,11,,48.75772,2.21881
Billère,75,,43.30264,-0.39733
Biscarrosse,75,,44.39454,-1.16721
Bischheim,44,,48.61612,7.75343
Bischwiller,44,,48.76826,7.85406
Bitche,44,,49.05232,7.42992
Blagnac,76,,43.63675,1.38971
Blanquefort,75,,44.91065,-0.63758
Blaye,75,,45.12764,-0.66225
Blois,24,,47.59432,1.32912
Bobigny,11,,48.90982,2.45012
Boé,75,,44.1602,0.6281
Bois-Colombes,11,,48.91936,2.27485
Bois-Guillaume,28,,49.4602,1.12219
Boissy-Saint-Léger,11,,48.75149,2.51163
Bollène,93,,44.28124,4.74891
Bondoufle,11,,48.61294,2.37775
Bondues,32,,50.70196,3.09497
Bondy,11,,48.9018,2.48931
Bonneuil-sur-Marne,11,,48.7695,2.4793
Bonneville,84,,46.0802,6.40726
Bordeaux,75,,44.84044,-0.5805
Bormes-les-Mimosas,93,,43.15169,6.3422
Bouguenais,52,,47.17941,-1.62468
Boulogne-Billancourt,11,,48.83545,2.24128
Boulogne-sur-Mer,32,,50.72485,1.61373
Bourg-de-Péage,84,,45.03151,5.04993
Bourg-en-Bresse,84,,46.20574,5.2258
Bourg-lès-Valence,84,,44.94703,4.89463
Bourg-Saint-Maurice,84,,45.61463,6.76845
Bourges,24,,47.08333,2.4
Bourgogne-Franche-Comté,27,,47.06981,5.04822
Bourgoin-Jallieu,84,,45.58611,5.27361
Bressuire,75,,46.84158,-0.49042
Brest,53,,48.39029,-4.48628
Brétigny-sur-Orge,11,,48.61135,2.30593
Briançon,93,,44.89978,6.64201
Brie-Comte-Robert,11,,48.69247,2.6109
Brignoles,93,,43.4058,6.06172
Brittany,53,,48.16667,-2.83333
Brive-la-Gaillarde,75,,45.1589,1.53326
Bron,84,,45.73865,4.91303
Bruay-la-Buissière,32,,50.48333,2.55
Bruges,75,,44.88287,-0.61222
Brumath,44,,48.73398,7.71095
Brunoy,11,,48.6942,2.49223
Bruz,53,,48.02459,-1.74709
Bry-sur-Marne,11,,48.83811,2.52488
Cabestany,76,,42.68141,2.9409
Cabriès,93,,43.44127,5.37884
Cachan,11,,48.79632,2.33661
Caen,28,,49.18585,-0.35912
Cagnes-sur-Mer,93,,43.66352,7.1479
Cahors,76,,44.4491,1.43663
Calais,32,,50.95194,1.85635
Caluire-et-Cuire,84,,45.79462,4.8464
Cambrai,32,,50.17596,3.23472
Canet-en-Roussillon,76,,42.7,3.01667
Cannes,93,,43.55135,7.01275
Carbon-Blanc,75,,44.89501,-0.50175
Carcassonne,76,,43.21649,2.34863
Carhaix-Plouguer,53,,48.27594,-3.57326
Carnac,53,,47.58433,-3.07872
Carpentras,93,,44.05507,5.04813
Carpiquet,28,,49.18522,-0.44623
Carquefou,52,,47.29722,-1.4921
Carrières-sur-Seine,11,,48.90687,2.1792
Carros,93,,43.79246,7.18745
Carvin,32,,50.49235,2.95815
Castanet-Tolosan,76,,43.5159,1.4986
Castelnau-le-Lez,76,,43.63605,3.90137
Castelnaudary,76,,43.31814,1.95339
Castelsarrasin,76,,44.04042,1.10666
Castres,76,,43.60527,2.24088
Caudan,53,,47.80995,-3.34255
Caudry,32,,50.1249,3.41186
Cauterets,76,,42.8892,-0.11412
Cavaillon,93,,43.83125,5.03586
Cenon,75,,44.85614,-0.53355
"Centre-Val de Loire",24,,47.5,1.75
Ceret,76,,42.48533,2.74804
Cergy,11,,49.03645,2.07613
Cergy-Pontoise,11,,49.03889,2.07704
Cerizay,75,,46.8215,-0.66492
Cernay,44,,47.8097,7.17699
Cesson,11,,48.56204,2.60816
Cesson-Sévigné,53,,48.1212,-1.603
Cestas,75,,44.74471,-0.68194
Châlette-sur-Loing,24,,48.01337,2.73587
Challans,52,,46.8458,-1.87942
Challes-les-Eaux,84,,45.54685,5.98098
Chalon-sur-Saône,27,,46.78112,4.85372
Châlons-en-Champagne,44,,48.95393,4.36724
Chamalières,84,,45.77364,3.06703
Chambéry,84,,45.56628,5.92079
Chambourcy,11,,48.90655,2.041
Chambray-lès-Tours,24,,47.33537,0.70286
Chamonix,84,,45.92375,6.86933
Champagne,44,,49,4.5
Champagne-au-Mont-d'Or,84,,45.79475,4.79079
Champagnole,27,,46.74452,5.91354
Champigny-sur-Marne,11,,48.81642,2.49366
Chantepie,53,,48.08818,-1.61691
Chantilly,32,,49.19461,2.47124
Chantonnay,52,,46.68716,-1.05109
Charenton-le-Pont,11,,48.82209,2.41217
Charleville-Mézières,44,,49.7685,4.72487
Charmes,44,,48.3722,6.29117
Chartres,24,,48.44685,1.48925
Chartres-de-Bretagne,53,,48.03975,-1.70543
Chassieu,84,,45.74584,4.97088
Château-Gontier,52,,47.82705,-0.70512
Château-Thierry,32,,49.04636,3.40304
Châteaubriant,52,,47.71675,-1.37643
Châteaudun,24,,48.07086,1.33783
Châteauneuf-du-Pape,93,,44.05638,4.83244
Châteauneuf-les-Martigues,93,,43.38383,5.16403
Châteaurenard,93,,43.88169,4.85493
Châteauroux,24,,46.81248,1.69362
Châtellerault,75,,46.81705,0.54518
Châtenay-Malabry,11,,48.76507,2.26655
Châtillon,11,,48.8024,2.29346
Châtillon-sur-Seine,27,,47.85851,4.57375
Chatou,11,,48.8898,2.15863
Chaumont,44,,48.11121,5.14134
Chauny,32,,49.61514,3.21857
Chauray,75,,46.36066,-0.37753
Chaville,11,,48.80565,2.18864
Chécy,24,,47.89402,2.02304
Chelles,11,,48.88109,2.59295
Chennevières-sur-Marne,11,,48.79702,2.54046
Chenôve,27,,47.29323,5.00457
Cherbourg-Octeville,28,,49.63984,-1.61636
Chevilly-Larue,11,,48.76476,2.3503
Chilly-Mazarin,11,,48.71489,2.31638
Chinon,24,,47.16701,0.24284
Choisy-le-Roi,11,,48.76846,2.41874
Cholet,52,,47.05893,-0.87974
Clamart,11,,48.80299,2.26692
Clamecy,27,,47.46017,3.5194
Claye-Souilly,11,,48.94492,2.68566
Clermont,32,,49.37897,2.41258
Clermont-Ferrand,84,,45.77969,3.08682
Clichy,11,,48.90018,2.30952
Clichy-sous-Bois,11,,48.9102,2.55323
Clisson,52,,47.0871,-1.28297
Cluses,84,,46.06251,6.57497
Cognac,75,,45.69581,-0.32867
Cogolin,93,,43.25294,6.52981
Colmar,44,,48.08078,7.35584
Colombelles,28,,49.2049,-0.29571
Colombes,11,,48.91882,2.25404
Colomiers,76,,43.61058,1.33467
