idprovincia,codpais,provincia,codisoprov,latitude,longitude
3,FRA,Kerguelen,,-49.34916,70.21937
11,FRA,Île-de-France,,48.90655,2.041
24,FRA,"Centre-Val de Loire",,47.89402,2.02304
27,FRA,Bourgogne-Franche-Comté,,47.16667,4.83333
28,FRA,Normandy,,49.18522,-0.44623
32,FRA,Hauts-de-France,,50.49235,2.95815
44,FRA,"Grand Est",,48.3722,6.29117
52,FRA,"Pays de la Loire",,46.68716,-1.05109
53,FRA,Brittany,,47.80995,-3.34255
75,FRA,Nouvelle-Aquitaine,,46.8215,-0.66492
76,FRA,Occitanie,,42.48533,2.74804
84,FRA,Auvergne-Rhône-Alpes,,45.54685,5.98098
93,FRA,"Provence-Alpes-Côte d'Azur",,44.05638,4.83244
94,FRA,Corsica,,42.06153,8.9542
97,FRA,Aquitaine,,44.33333,-0.25
