ciudad,idprovincia,codeid,latitude,longitude
Castletown,9782169,,54.07445,-4.65365
Colby,9782165,,54.09665,-4.70592
Douglas,9782170,,54.15,-4.48333
Laxey,9782173,,54.23017,-4.39985
"North Barrule",9782176,,54.29041,-4.39363
Peel,9782188,,54.22209,-4.69099
"Port Erin",9782189,,54.08487,-4.75099
Ramsey,9782191,,54.32273,-4.38526
"Saint Helier",3237864,,49.18804,-2.10491
"Saint John",3237497,,49.24556,-2.13861
Snaefell,9782176,,54.26417,-4.46333
"South Barrule",9782182,,54.1525,-4.6675
"St Peter Port",6417228,,49.45981,-2.53527
"St. Sampson",6417233,,49.48389,-2.52333
