idprovincia,codpais,provincia,codisoprov,latitude,longitude
3237497,GBR,"St John",,49.24556,-2.13861
3237864,GBR,"St Helier",,49.18804,-2.10491
6417228,GBR,"St Peter Port",,49.45981,-2.53527
6417233,GBR,"St Sampson",,49.48389,-2.52333
9782165,GBR,Arbory,,54.09665,-4.70592
9782169,GBR,Castletown,,54.07445,-4.65365
9782170,GBR,Douglas,,54.15,-4.48333
9782173,GBR,Laxey,,54.23017,-4.39985
9782176,GBR,Lezayre,,54.29041,-4.39363
9782182,GBR,Malew,,54.1525,-4.6675
9782188,GBR,Peel,,54.22209,-4.69099
9782189,GBR,"Port Erin",,54.08487,-4.75099
9782191,GBR,Ramsey,,54.32273,-4.38526
