ciudad,idprovincia,codeid,latitude,longitude
"A Dyibó",3,,-1.46444,5.63639
Acam,7,,2.13377,11.0492
Aconibe,9,,1.29648,10.94436
Acurenam,6,,1.0928,10.546
Akonibe,9,,1.373,10.9485
"Alturas de Mol",3,,-1.4325,5.63917
Añisoc,9,,1.75,10.83333
Añisok,9,,1.7877,10.7475
"Anno Bom Island",3,,-1.43391,5.63697
Annobón,3,,-1.4358,5.6387
"Annobon Airport",3,,-1.4104,5.62243
Aual,3,,-1.44556,5.62722
Ayaantang,8,,1.73542,9.68128
Ayene,9,,1.9424,10.6241
Baney,4,,3.6292,8.8764
Bata,8,,1.8295,9.8561
"Bata Airport",8,,1.90547,9.80568
Batete,5,,3.3836,8.4819
Bicurga,6,,1.5987,10.3525
Bidjabidjan,7,,2.1188,11.1301
Bilon,7,,2.14389,10.22575
"Bioko Norte",4,,3.68333,8.78333
"Bioko Sur",5,,3.41667,8.66667
Bitica,8,,1.4024,9.5704
"Bu du Dyguel",3,,-1.42472,5.65278
"Cabo Bata",8,,2.10958,9.76843
"Cabo San Juan",8,,1.189,9.4581
"Cape Horatio",4,,3.76357,8.90061
"Cape Vidal",4,,3.66758,8.9379
"Centro Sur",6,,1.5,10.41667
"Ciudad de la Paz",9,,1.617,10.82836
"Clarence Peak",4,,3.58812,8.76168
Cogo,8,,1.1996,9.8955
Corisco,8,,0.91221,9.31997
"Corisco International Airport",8,,0.91577,9.33005
"Corisco Island",8,,0.91575,9.31828
Cosusua,3,,-1.45694,5.62639
"Cristina Point",4,,3.75923,8.77675
Cupapa,4,,3.66693,8.91571
Cus,3,,-1.44278,5.63528
"Distrito de Ebebiyin",7,,2.0392,11.2353
"Distrito de Mbini",8,,1.5327,9.7491
"Distrito de Nsork",9,,1.197,11.2353
Djibloho,10,,1.5925,10.82361
"Dyo Dyo",3,,-1.40972,5.64389
Ebebiyin,7,,2.15218,11.33013
Ebibeyin,7,,1.9283,11.2553
"Ela Nguema",4,,3.75,8.78333
"Enrique Islets",4,,3.76101,8.77537
Evinayong,6,,1.3896,10.5959
"Fernanda Point",4,,3.76552,8.7828
"Horatio Island",4,,3.75889,8.90828
"Hotel Bahia",4,,3.75905,8.77695
"Islote Adams",3,,-1.4733,5.64261
Kié-Ntem,7,,2.05,11
"Lago A Pot",3,,-1.42167,5.6325
"Lapa Faanguyi",3,,-1.45222,5.62639
"Liba Budu",3,,-1.40056,5.63444
"Liba Mochi",3,,-1.42806,5.65194
"Liba Ye Sanse",3,,-1.4,5.62944
Litoral,8,,1.5,9.75
"Loma de Paque",3,,-1.45472,5.64806
Luba,5,,3.4412,8.6107
Mábana,3,,-1.45833,5.63667
Machinda,8,,1.9987,9.9632
"Macizo Santa Mina",3,,-1.44972,5.64056
Malabo,4,,3.6712,8.7283
"Malabo International Airport",4,,3.75527,8.70872
Mbini,8,,1.5677,9.8696
"Me Dyiliba",3,,-1.44889,5.62972
"Me Simechi",3,,-1.41611,5.63278
Mengomeyén,9,,1.69671,11.01862
Micomiseng,7,,2.148,10.7447
Mikomeseng,7,,2.13609,10.61322
Misáa,7,,2.1574,11.25886
Moca,5,,3.33333,8.66667
Moka,5,,3.3082,8.6454
Mongomeyen,9,,1.6788,11.0269
Mongomo,9,,1.6607,11.2629
"Monte Alén National Park",6,,1.53069,10.11789
"Monte Santiago",3,,-1.42194,5.62806
"Municipio de Acurenam",6,,1.1003,10.5459
"National University of Equatorial Guinea",4,,3.7468,8.7752
Ncue,7,,2.01643,10.47066
Ngonemanga,8,,2.15152,9.7936
Niefang,6,,1.8617,10.1473
Nkimi,6,,2.0866,10.3012
Nkue,7,,2.0465,10.4636
Nkumekieñ,6,,1.8289,10.4512
Nsang,7,,2.0173,10.8337
Nsogoboot,7,,2.15692,10.80053
Nsok,9,,1.12985,11.26603
Nsok-Nsomo,7,,1.9297,11.0341
Nsork,9,,1.197,11.2353
Nzangayong,9,,1.5905,11.16
Oyala,9,,1.62162,10.83391
"Pico Do Fogo",3,,-1.42129,5.63534
"Pico Lago",3,,-1.42889,5.63611
"Pico Quioveo",3,,-1.43981,5.63291
"President Obiang Nguema International Airport",9,,1.68307,11.02461
"Punta Achada",4,,3.67078,8.61362
"Punta Argelejos",5,,3.47431,8.48028
"Punta Dabe",3,,-1.40528,5.61861
"Punta Dyiscoj",3,,-1.41,5.61694
"Punta Europa",4,,3.78817,8.7141
"Punta Jada",3,,-1.42111,5.62111
"Punta Jasmangañía",3,,-1.43222,5.65528
"Punta Manjob",3,,-1.46333,5.62944
"Punta Mofina",3,,-1.46333,5.64333
"Punta Olonganchi",3,,-1.45694,5.65111
"Punta Penvadu",3,,-1.44833,5.62111
"Punta Sagres",5,,3.36117,8.41458
"Punta Santiago",5,,3.20946,8.6763
Quepuchin,3,,-1.4175,5.64667
Rebola,4,,3.7205,8.8497
Riaba,5,,3.3954,8.7281
"Río Campo",8,,2.1232,9.8436
"San Antonio de Palé",3,,-1.40809,5.63174
"San Carlos Bay",5,,3.48631,8.5643
"Santiago de Baney",4,,3.6992,8.9084
Teguete,6,,1.3291,10.2446
"Turtle Island",3,,-1.40536,5.65656
"Valle de Anganchi",3,,-1.43667,5.64306
Wele-Nzas,9,,1.5,11.1
"Ye Cuchí",3,,-1.40083,5.63583
