ciudad,idprovincia,codeid,latitude,longitude
Acatenango,3,,14.55451,-90.94368
Achote,12,,17.41667,-90.03333
Acul,14,,15.40638,-91.18768
"Agua Blanca",11,,14.49805,-89.64961
"Agua de Reyes",12,,17.08333,-90.85
Aguacatán,8,,15.34222,-91.31141
Aguada,12,,17.23333,-90.35
Ajatuncú,8,,16.03333,-91.68333
Almolonga,13,,14.81591,-91.49464
Alotenango,16,,14.48585,-90.80437
"Alta Verapaz",1,,15.66667,-90
Amatitlán,7,,14.4774,-90.63489
"Ancient Quirigua",9,,15.27046,-89.04033
"Antigua Guatemala",16,,14.56111,-90.73444
"Asunción Mita",11,,14.33365,-89.71094
Atescatempa,11,,14.1755,-89.74184
Azantic,8,,16.01667,-91.65
"Baja Verapaz",2,,15.08333,-90.33333
Bajilá,14,,15.39722,-91.2155
Baquel,8,,15.83333,-91.61667
Barberena,18,,14.30739,-90.36156
Barillas,8,,15.80361,-91.31583
Batkab,12,,17.68333,-90.03333
Batún,12,,17.21667,-90.38333
"Blanco Creek",9,,15.71368,-88.76912
"Boca del San Juan",12,,16.37501,-90.03272
Bocut,12,,16.95,-90.53333
Bucut,12,,16.88333,-89.93333
Cabañas,22,,14.93333,-89.8
Cabricán,13,,15.07485,-91.648
Cajolá,13,,14.92205,-91.61478
Canillá,14,,15.16549,-90.85256
Cantel,13,,14.81154,-91.45536
Cantetul,12,,17.04122,-89.90038
Caoba,12,,17.18333,-90.31667
Caribe,12,,16.18333,-90.43333
Carmelita,12,,17.46216,-90.05634
"Carmelita Airport",12,,17.4612,-90.0537
Casillas,18,,14.41915,-90.24328
Catarina,17,,14.85354,-92.07682
"Centro Administrativo de La Zona de Desarrollo Agrario El Cajón",6,,14.23333,-91.06667
"Centro Administrativo Zona de Desarollo Agrario El Reposo",13,,14.53825,-91.82182
"Cerro de las Flores",11,,14.3,-90
"Cerro Miramundo",22,,14.93522,-89.54806
"Cerro Quiac",13,,14.83894,-91.44097
"Cerro Santiago",10,,14.754,-89.86409
"Cerro Tecún Umán",13,,14.8295,-91.49577
Chachaclún,12,,17.01281,-89.84258
Chahal,1,,15.79122,-89.60518
Chailá,14,,15.7,-90.86667
Chajul,14,,15.48523,-91.0352
Champerico,15,,14.29206,-91.91339
Chaperno,6,,13.98333,-90.9
Chiantla,8,,15.35484,-91.45807
Chicacao,20,,14.54295,-91.32636
Chicamán,14,,15.34786,-90.79968
Chiché,14,,15.00885,-91.06379
Chichicastenango,14,,14.94333,-91.11116
Chicojay,19,,14.64318,-91.2972
Chimaltenango,3,,14.66111,-90.81944
Chinasayub,1,,15.5948,-90.46946
Chinautla,7,,14.70289,-90.49983
Chinique,14,,15.04147,-91.02594
Chinjá,12,,17.15,-89.95
Chiquimula,4,,14.66667,-89.41667
"Chiquimula Airport",4,,14.85,-89.61667
Chiquimulilla,18,,14.0838,-90.38547
Chiquirines,15,,14.56583,-92.055
Chisec,1,,15.81311,-90.28896
Chosquitán,12,,17.60888,-89.18597
Chuarrancho,7,,14.81794,-90.51568
Chuchuás,12,,17.78333,-89.18333
"Ciudad Tecún Umán",17,,14.67737,-92.14039
"Ciudad Vieja",16,,14.52396,-90.76308
Coatepeque,13,,14.70413,-91.86426
"Coatepeque Airport",21,,14.69461,-91.88149
Coban,1,,15.46896,-90.40674
Cobonké,12,,17.13333,-89.98333
Colomba,13,,14.7073,-91.73167
Colorado,12,,16.88333,-90.31667
Colotenango,8,,15.40602,-91.71267
Comalapa,3,,14.74086,-90.88761
Comapa,11,,14.11282,-89.91471
Comitancillo,17,,15.08937,-91.74971
"Comunidad Agraria El Porvenir",17,,14.96501,-91.93917
Concepción,19,,14.78417,-91.14754
"Concepción Chiquirichapa",13,,14.8551,-91.6236
"Concepción Huista",8,,15.62378,-91.66521
"Concepción Las Minas",4,,14.52173,-89.45717
"Concepción Tutuapa",17,,15.2394,-91.8446
Conguaco,11,,14.04417,-90.03111
"Cooperativa Mario Méndez",12,,16.47655,-90.45647
Corralcub,14,,15.5367,-91.26787
Cubulco,2,,15.10452,-90.62871
Cuilapa,18,,14.27639,-90.29889
Cuilco,8,,15.40719,-91.94667
Cujux,12,,16.92314,-90.0167
Cumbre,21,,15.11667,-91.56667
Cunén,14,,15.33626,-91.02776
Cuyotenango,20,,14.54006,-91.57179
"Departamento de Escuintla",6,,14.16667,-91
"Departamento de Huehuetenango",8,,15.66667,-91.58333
"Departamento de Jutiapa",11,,14.16667,-89.83333
"Departamento de Retalhuleu",15,,14.33333,-91.83333
Dolores,12,,16.51178,-89.41704
"Dos Lagunas Airport",12,,17.6124,-89.6884
"Dos Quebradas",4,,14.73333,-89.60924
"El Achiotal",1,,15.80047,-89.89161
"El Acordeón",12,,17.18333,-89.53333
"El Adelanto",11,,14.17102,-89.82715
"El Aguacate",11,,14.27933,-89.59278
"El Altar de Los Sacrificios",12,,16.47755,-90.51832
"El Arroyo",12,,17.56667,-90.01667
"El Asintal",15,,14.59626,-91.72744
"El Caldero",12,,17.58333,-89.63333
"El Cántaro",12,,17.65,-89.66667
"El Carmén",2,,15.14842,-90.26837
"El Cedro",12,,17.21667,-89.76667
"El Chol",2,,14.96055,-90.48799
"El Delirio",12,,17.48333,-89.38333
"El Desconsuelo",21,,14.90694,-91.29329
"El Desempeño",12,,17.11667,-91.21667
"El Desprecio",12,,17.31667,-89.61667
"El Estor",9,,15.53221,-89.33111
"El Gavilán",12,,17.08333,-89.31667
"El Gavilancito",12,,17.1,-89.28333
"El Guamil",22,,15.23712,-89.36628
"El Guineo",12,,17.07495,-89.85694
"El Huacut",12,,17.02804,-89.8767
"El Infierno",12,,17.56667,-89.26667
"El Jícaro",5,,14.91333,-89.89654
"El Limón",12,,17.03333,-90.66667
"El Mameyal",12,,17.53333,-90.1
"El Mirador National Park",12,,17.74967,-89.90413
"El Naranjo",12,,17.45,-89.23333
"El Naranjo Airport",12,,14.10592,-90.81739
"El Pacay",12,,16.63163,-89.78641
"El Palmar",13,,14.65083,-91.578
"El Paraíso",9,,15.53333,-89.26667
"El Pensamiento",12,,17.35,-89.51667
"El Perú",12,,17.27045,-90.364
"El Peten Airport",12,,17.22617,-89.61028
"El Pojom",8,,16.00249,-91.41958
"El Progreso",11,,14.35604,-89.84854
"El Quetz",12,,16.99999,-89.73038
"El Quetzal",17,,14.76865,-91.81757
"El Ramonal",12,,17.51667,-89.6
"El Remate",12,,16.99031,-89.69165
"El Rodeo",6,,14.39261,-90.83157
"El Sibal",12,,17.26667,-89.18333
"El Tejar",3,,14.64683,-90.79122
"El Tintal",12,,17.73333,-89.68333
"El Trapiche",12,,16.48333,-90.55
"El Triunfo",12,,17.36667,-89.4
"El Tumbador",17,,14.86375,-91.93416
"El Zapote",11,,13.94639,-90.06472
Escuintla,6,,14.3009,-90.78581
Esquipulas,4,,14.56571,-89.35166
"Esquipulas Palo Gordo",17,,14.94135,-91.82564
Estanzuela,22,,14.99777,-89.57285
"Finca Comixtún",12,,16.56896,-90.17607
Flores,12,,16.92258,-89.89941
"Flores Costa Cuca",13,,14.63238,-91.86341
Fraijanes,7,,14.46528,-90.44083
"Fuente de La Montaña",10,,14.62441,-90.06946
Génova,13,,14.62216,-91.8358
Gualan,22,,15.11952,-89.35721
Guanagazapa,6,,14.22598,-90.64332
Guastatoya,5,,14.85417,-90.06944
Guatemala,7,,14.66667,-90.5
"Guatemala City",7,,14.64072,-90.51327
Guazacapán,18,,14.07417,-90.41667
Hormiguero,12,,17.58333,-89.2
Huehuetenango,8,,15.31742,-91.50195
Huitán,13,,15.0492,-91.63944
Huité,22,,14.92786,-89.71627
Ipala,4,,14.61987,-89.6194
Itzimté,12,,16.96667,-90.18333
Ixcanrío,12,,17.74765,-89.29809
Ixchiguán,17,,15.16375,-91.93256
Ixlú,12,,16.97451,-89.68191
Ixtahuacán,8,,15.41688,-91.76927
Ixtinto,12,,17.06667,-89.66667
"Izabal Department",9,,15.5,-89
Iztapa,6,,13.93333,-90.7075
Jacaltenango,8,,15.66662,-91.71177
Jalapa,10,,14.58333,-89.91667
Jalpatagua,11,,14.1369,-90.00908
Jaxjaj,12,,16.85,-89.81667
Jerez,11,,14.09083,-89.7511
Jícaro,11,,14.2175,-89.63583
Jobomó,12,,17.05694,-89.90527
Jocotán,4,,14.82072,-89.38991
Jocotenango,16,,14.57814,-90.73804
Joyabaj,14,,14.99311,-90.80161
Juiná,12,,17.2,-89.88333
Julec,12,,17.05,-89.58333
Jupilingo,4,,14.76308,-89.20377
Jutiapa,11,,14.29167,-89.89583
"La Aurora International Airport",7,,14.58327,-90.52747
"La Danta",12,,17.6,-89.28333
"La Democracia",6,,14.22919,-90.94806
"La Esperanza",12,,17.45,-89.58333
"La Gloria",12,,17.1966,-90.42897
"La Guayabita",12,,16.81776,-89.86784
"La Juventud",12,,16.11667,-89.23333
"La Libertad",8,,15.51421,-91.86944
"La Máquina",20,,14.28087,-91.58038
"La Mesilla",8,,15.64122,-91.98152
"La Miseria",12,,17.51667,-89.71667
"La Muralla",12,,17.73592,-89.77841
"La Reforma",12,,16.38333,-90.36667
"La Sarteneja",12,,17.18333,-89.45
"La Unión",22,,14.96656,-89.29023
"La Vaca",9,,15.80259,-88.78512
"La Vigía",9,,15.38614,-88.90322
Lacanaya,12,,16.91667,-90.35
Lacantún,12,,16.60647,-90.65094
"Lachuá Lake",1,,15.91878,-90.67319
"Laguna de Atescatempa",11,,14.21004,-89.69606
"Laguna de Ayarza",18,,14.41861,-90.12583
"Laguna de Los Patos",6,,13.92056,-90.83806
"Laguna de Oc",15,,14.3,-91.71667
"Laguna del Tigre",12,,17.02717,-89.47022
"Laguna El Comendador",11,,13.95611,-90.25444
"Laguna El Pino",18,,14.34385,-90.39416
"Laguna El Repasto",12,,17.19044,-90.99969
"Laguna El Tigre",12,,17.61323,-90.91591
"Laguna Exequil",12,,16.91667,-89.8
"Laguna Guacamayo",12,,16.95,-90.1
"Laguna La Encantada",11,,13.95361,-90.245
"Laguna La Gloria",12,,16.9494,-90.38113
"Laguna Nisgüaya",11,,13.90917,-90.1975
"Laguna Petenchel",12,,16.91719,-89.83258
"Laguna Petexbatún",12,,16.42767,-90.18851
"Laguna Sacpuy",12,,16.98223,-90.02163
"Laguna San Juan Acul",12,,16.55084,-90.30259
"Laguna Santa Isabel",9,,15.82565,-88.47449
"Laguna Yaxjá",12,,17.0665,-89.40908
"Laguna Yolnajab",8,,16.05512,-91.57059
"Laguneta Agua Dulce",12,,17.19136,-90.5956
"Laguneta Chagüitón",15,,14.51413,-92.00257
"Laguneta Chichoj",1,,15.36107,-90.47495
"Laguneta Comixtún",12,,16.56161,-90.18145
"Laguneta del Hoyo",10,,14.46503,-89.89035
"Laguneta Dulce",15,,14.19402,-91.75835
"Laguneta El Arca",15,,14.49041,-92.00842
"Laguneta El Bosque",18,,14.41667,-90.4
"Laguneta El Castaño",15,,14.27771,-91.74993
"Laguneta El Muchacho",11,,13.88886,-90.19188
"Laguneta El Roto Nuevo",12,,16.28921,-90.40768
"Laguneta El Silencio",15,,14.50861,-92.00917
"Laguneta El Sos",12,,16.95556,-90.12878
"Laguneta El Tormento",15,,14.21293,-91.75302
"Laguneta El Tule",11,,13.85312,-90.13114
"Laguneta El Yeso",12,,17.11894,-90.29901
"Laguneta El Zapotal",12,,16.65058,-89.92646
"Laguneta Güiscoyol",15,,14.23161,-91.73904
"Laguneta Itzán",12,,16.56402,-90.44719
"Laguneta Ixcoche",12,,16.492,-90.57345
"Laguneta La Colorada",12,,16.89827,-89.45221
"Laguneta La Viga",6,,14.06552,-90.69023
"Laguneta Macanché",12,,16.9702,-89.62846
"Laguneta Madre Viejita",15,,14.24911,-91.74482
"Laguneta Palo Gordo",15,,14.19509,-91.76466
"Laguneta Picú",12,,16.95363,-90.00892
"Laguneta Poza del Salto",15,,14.24151,-91.78248
"Laguneta Salada",15,,14.47634,-92.02379
"Laguneta Salpetén",12,,16.98409,-89.66821
"Laguneta San Miguel",12,,17.75,-89.56667
"Laguneta Santa Cruz",12,,17.31667,-89.8
"Laguneta Sepalau",1,,15.78761,-90.21103
"Laguneta Sesecapa",20,,14.08297,-91.58687
"Laguneta Sibal Panjul",12,,16.90512,-89.778
"Laguneta Yaxtunilá",12,,16.56963,-90.2781
"Lake Amatitlán",7,,14.45949,-90.57056
"Lake Atitlán",19,,14.70024,-91.18249
"Lake El Golfete",9,,15.72146,-88.89433
"Lake Izabal",9,,15.5,-89.16667
"Lake Petén Itzá",12,,16.99571,-89.81366
Lanquín,1,,15.57568,-89.98078
"Las Cruces",12,,16.65973,-90.2914
"Las Delicias",12,,16.2331,-90.4029
"Las Nubitas",7,,14.56667,-90.35
Lívingston,9,,15.82826,-88.75039
"Llano Tzajualá",8,,15.47012,-91.39975
"Loma de Paquisis",19,,14.88701,-91.16607
"Los Achiotes",12,,17.45,-89.75
