"cuenta";"descripcion";"cuentaesp"
"1";"ACTIVO";
"101";"CORRIENTE";
"10101";"CAJA";"CAJA"
"10102";"BANCOS";
"10103";"CLIENTES";"CLIENT"
"10104";"IVA POR COBRAR";"IVASOP"
"10105";"ISR";"IRPF"
"10106";"PAGOS ANTICIPADOS";
"10107";"INVENTARIOS";
"102";"NO CORRIENTE";
"10201";"PROPIEDAD PLANTA Y EQUIPO";
"10202";"OTROS ACTIVOS";
"2";"PASIVO";
"201";"CORRIENTE";
"20101";"PROVEEDORES";"PROVEE"
"20102";"ACREEDORES";"ACREED"
"20103";"CORTO PLAZO";
"20104";"IVA POR PAGAR";"IVAREP"
"20105";"IMPUESTOS POR PAGAR";"IRPFPR"
"20106";"COBROS ANTICIPADOS";
"202";"NO CORRIENTE";
"20201";"LARGO PLAZO";
"3";"PATRIMONIO";
"301";"PATRIMONIO NETO";
"30101";"CAPITAL";
"302";"PÉRDIDAS Y GANANCIAS";
"30201";"GANANCIAS";
"30202";"REMANENTE";"PREVIO"
"30203";"PÉRDIDAS";
"30204";"DÉFICIT ACUMULADO";"PRENEG"
"303";"RESERVAS";
"30301";"RESERVA LEGAL";
"4";"INGRESOS DE OPERACIÓN";
"401";"VENTAS";
"40101";"VENTAS LOCALES";"VENTAS"
"40102";"VENTAS EXTERIOR";
"402";"SERVICIOS";
"40201";"SERVICIOS LOCALES";
"40202";"SERVICIOS EXTERIOR";
"403";"ARRENDAMIENTOS";
"40301";"ARRENDAMIENTOS";
"404";"OTROS INGRESOS DE OPERACIÓN";
"40401";"OTRO INGRESOS";
"5";"COSTOS Y GASTOS DE OPERACIÓN";
"501";"COSTOS DE OPERACIÓN";
"50101";"COSTO DE VENTAS";"COMPRA"
"502";"GASTOS DE OPERACIÓN";
"50201";"SUELDOS Y SALARIOS";
"50202";"PRESTACIONES Y BENEFICIOS";
"50203";"ALQUILERES";
"50204";"ENERGÍA ELÉCTRICA";
"50205";"GAS PROPANO";
"50206";"CONSUMO AGUA";
"50207";"SERVICIO DE VIGILANCIA";
"50208";"IMPUESTOS Y CONTRIBUCIONES";
"50209";"DEPRECIACIONES";
"50210";"AMORTIZACIONES";
"50211";"GASTOS DE FRANQUICIA";
"50212";"VIÁTICOS";
"50213";"GASTOS DE MANTENIMIENTO";
"50214";"SEGUROS";
"50215";"COMUNICACIONES";
"50216";"PAPELERÍA Y ÚTILES";
"50217";"LIMPIEZA E HIGIENE";
"50218";"HONORARIOS Y SERVICIOS PROFESIONALES";
"50219";"PUBLICIDAD Y MERCADEO";
"50220";"GASTOS DE RECLUTAMIENTO Y SELECCIÓN";
"50221";"GASTOS DE CAPACITACIÓN LOCAL";
"50222";"GASTOS DE CAPACITACIÓN EXTERIOR";
"50223";"COMBUSTIBLES Y LUBRICANTES";
"50224";"CUOTAS Y SUSCRIPCIONES";
"50225";"CARGOS FISCALES";
"503";"OTROS GASTOS Y PRODUCTOS FINANCIEROS";
"50301";"GASTOS VARIOS";
"50302";"OTROS GASTOS DE OPERACIÓN";
"50303";"GASTOS FINANCIEROS";
"50304";"OTROS GASTOS";
"50305";"INGRESOS FINANCIEROS";
"6";"PÉRDIDAS Y GANANCIAS";
"601";"PÉRDIDAS Y GANANCIAS";
"60101";"PÉRDIDAS Y GANANCIAS";"PYG"
"10101001";"Caja";"CAJA"
"10101002";"Caja Chica";"CAJA"
"10101003";"Caja General";"CAJA"
"10101004";"Caja Sobrantes";"CAMPOS"
"10102001";"Banco 1";
"10102002";"Banco 2";
"10102003";"Banco 3";
"10102006";"Depósitos en transito";
"10103000";"Consumidor final";
"10103001";"Clientes";"CLIENT"
"10103002";"Reserva para Cuentas Incobrables";
"10103003";"Deudores Varios";"CLIENT"
"10103004";"Intereses Por Cobrar";"CLIENT"
"10103005";"Comisiones por Cobrar";
"10103006";"Anticipo a Proveedores";
"10103007";"Documentos Por Cobrar";
"10103008";"Anticipo a Proveedores";
"10103009";"CF";
"10103010";"Delfino Alonzo";
"10103011";"Victor Daniel Lenin";
"10103012";"Gabriel Obvidio Hernandez Ramos";
"10103013";"Ofelia Ramos";
"10103014";"Luis Dardon";
"10103015";"Luis Dardon";
"10103016";"Fuentes";
"10103017";"Marcos Daniel Escobar Fuentes";
"10104009";"Crédito Fiscal";
"10104010";"IVA por Cobrar";"IVASOP"
"10105011";"ISR Pago Mensual";"IRPF"
"10105012";"ISR Pago Trimestral";"IRPF"
"10105013";"ISO Por Acreditar";
"10105014";"IEMA Pago Trimestral";
"10105015";"Pérdida Por Amortizar";
"10105016";"Prestamos Empleados";
"10105017";"ISR por Cobrar";
"10106001";"Seguros Pagados por Anticipado";
"10106002";"Sueldo Pagados por Anticipado";
"10106003";"Bonificaciones Pagadas por Anticipado";
"10106004";"Alquileres Pagados por Anticipado";
"10106005";"Comisiones Pagadas por Anticipado";
"10106006";"Intereses Pagados por Anticipado";
"10106007";"Publicidad Pagada por Anticipado";
"10106008";"Propaganda Pagada Por Anticipado";
"10107001";"Mercadería";
"10107002";"Materia Prima";
"10107003";"Mercadería en Transito";
"10107004";"Artículos Terminados";
"10107005";"Material de Empaque";
"10107006";"Papelería y Útiles";
"10107007";"Repuestos y Accesorios";
"10107008";"Grasas y Aceites";
"10107009";"Útiles y Enseres";
"10107010";"Envases Retornables";
