idprovincia,codpais,provincia,codisoprov,latitude,longitude
1,GTM,"Alta Verapaz",,15.57568,-89.98078
2,GTM,"Baja Verapaz",,15.23566,-90.23571
3,GTM,Chimaltenango,,14.60891,-90.80303
4,GTM,Chiquimula,,14.85,-89.61667
5,GTM,"El Progreso",,14.93278,-90.14306
6,GTM,Escuintla,,13.92056,-90.83806
7,GTM,Guatemala,,14.56667,-90.35
8,GTM,Huehuetenango,,16.07001,-91.32559
9,GTM,"Izabal Department",,15.65825,-89.00205
10,GTM,Jalapa,,14.84318,-89.93015
11,GTM,Jutiapa,,13.95361,-90.245
12,GTM,Petén,,16.60647,-90.65094
13,GTM,Quetzaltenango,,14.93338,-91.69403
14,GTM,Quiché,,14.94548,-91.20639
15,GTM,Retalhuleu,,14.19509,-91.76466
16,GTM,Sacatepéquez,,14.54676,-90.78054
17,GTM,"San Marcos",,14.80104,-91.82233
18,GTM,"Santa Rosa Department",,13.89417,-90.48
19,GTM,Sololá,,14.88701,-91.16607
20,GTM,Suchitepeque,,14.08006,-91.53488
21,GTM,Totonicapán,,15.08333,-91.56667
22,GTM,Zacapa,,14.96656,-89.29023
