ciudad,idprovincia,codeid,latitude,longitude
Achiotes,5,,14.91667,-89.03333
Agalteca,8,,14.45,-87.26667
"Agua Azul",6,,14.91667,-87.96667
"Agua Azul Rancho",6,,14.9,-87.95
"Agua Blanca",12,,13.93861,-87.88833
"Agua Blanca Sur",18,,15.25,-87.88333
"Agua Escondida",12,,13.99028,-87.87639
Aguanqueterique,12,,13.95139,-87.66333
Ahuas,9,,15.46923,-84.34479
"Ahuas Airport",9,,15.4722,-84.3522
"Ahuás Ducpan",9,,15.41667,-84.53333
Ajuterique,4,,14.38304,-87.70965
Alauca,7,,13.85,-86.68333
"Aldea El Hatillo",8,,14.13327,-87.17105
Algodón,2,,13.22556,-87.32139
Alianza,17,,13.44815,-87.68643
Alubarén,8,,13.79611,-87.46889
Amapala,17,,13.29222,-87.65389
"Antigua Ocotepeque",14,,14.40131,-89.19971
Apacilagua,2,,13.45821,-87.01122
Arada,16,,14.84582,-88.30108
Aramecina,17,,13.74222,-87.71028
Arenal,18,,15.35,-86.83333
Arizona,1,,15.63333,-87.31667
"Armenia Bonito",1,,15.68333,-86.86667
Atima,16,,14.93253,-88.48965
"Atlántida Department",1,,15.66667,-87
Auas,9,,15.48333,-84.33333
Azacualpa,16,,14.71218,-88.0901
Balfate,3,,15.75709,-86.29048
Barajana,8,,13.84028,-87.145
"Barra del Motagua",6,,15.7,-88.23333
"Barra Patuca",9,,15.8,-84.28333
"Bay Islands",11,,16.09597,-86.93291
Belén,13,,14.50834,-88.42819
"Belén Gualcho",14,,14.48333,-88.8
"Boca de La Isla de Piedra",2,,13.32333,-87.44083
"Boca Las Doradas",2,,13.12694,-87.42944
"Bonito Oriental",3,,15.74641,-85.7361
"Brus Laguna",9,,15.75,-84.48333
"Brus Laguna Airport",9,,15.7631,-84.5436
Cabañas,12,,13.99419,-88.02864
Calaire,8,,13.99239,-87.12212
Camasca,10,,13.99677,-88.37973
Campamento,15,,14.49659,-86.64472
Cañaveral,6,,14.98401,-88.02486
Candelaria,13,,14.06072,-88.55913
Cane,12,,14.27933,-87.65794
"Cangrjal Mountain Range",1,,15.58333,-86.91667
Caridad,17,,13.82722,-87.69306
"Casa del Duende",12,,13.91389,-87.67611
Catacamas,15,,14.85114,-85.89412
Cauquira,9,,15.31667,-83.58333
"Cauquira Airport",9,,15.32082,-83.60321
"Cayo Gorda",11,,15.85833,-82.4
"Cayo Sur",11,,15.06667,-82.5
"Cayos Cochinos",11,,15.96667,-86.46667
Cedral,17,,13.45389,-87.49389
Cedros,8,,14.6,-87.11667
Ceguaca,16,,14.81578,-88.20552
"Celaque Airport",13,,14.57273,-88.59645
"Cerro Casa Quemada",8,,13.96972,-87.19778
"Cerro de El Volcán",6,,15.15,-88.11667
"Cerro El Campanario",13,,14.6,-88.68333
"Cerro El Carrizal",4,,14.61667,-87.95
"Cerro El Chirico",16,,15.41694,-88.58389
"Cerro El Encinal",4,,14.75,-87.35
"Cerro El Moray",2,,13.55,-87.2
"Cerro El Níspero",12,,13.98333,-87.65
"Cerro El Ocotio",2,,13.53333,-87.36667
