idprovincia,codpais,provincia,codisoprov,latitude,longitude
1,HND,"Atlántida Department",,15.73333,-86.8
2,HND,"Choluteca Department",,13.43333,-87.11667
3,HND,"Colón Department",,15.85,-85.23333
4,HND,"Comayagua Department",,14.61667,-87.95
5,HND,"Copán Department",,15.03333,-89.08333
6,HND,"Cortés Department",,15.5,-87.96667
7,HND,"El Paraíso Department",,14,-86.8
8,HND,"Francisco Morazán Department",,13.77028,-87.28833
9,HND,"Gracias a Dios Department",,15,-83.23333
10,HND,"Intibucá Department",,14.41667,-87.95
11,HND,"Bay Islands",,16.35,-86.43333
12,HND,"La Paz Department",,14.15,-87.88333
13,HND,"Lempira Department",,14.6,-88.68333
14,HND,"Ocotepeque Department",,14.36667,-88.98333
15,HND,"Olancho Department",,15.31667,-85.83333
16,HND,"Santa Bárbara Department",,15.13333,-88.23333
17,HND,"Valle Department",,13.66083,-87.74056
18,HND,"Yoro Department",,15.45,-86.43333
