idprovincia,codpais,provincia,codisoprov,latitude,longitude
1,ITA,Abruzzo,,42.5114,14.14507
2,ITA,Basilicate,,40.31359,16.22984
3,ITA,Calabria,,38.96255,16.30938
4,ITA,Campania,,41.06227,14.64096
5,ITA,Emilia-Romagna,,44.4387,11.13403
6,ITA,"Friuli Venezia Giulia",,45.60419,13.76754
7,ITA,Lazio,,42.05159,12.61969
8,ITA,Liguria,,44.14666,9.65494
9,ITA,Lombardy,,45.41317,10.39799
10,ITA,"The Marches",,43.51136,13.62118
11,ITA,Molise,,41.99994,14.99389
12,ITA,Piedmont,,45.91498,7.86232
13,ITA,Apulia,,41.7053,15.96068
14,ITA,Sardinia,,40.78447,8.74358
15,ITA,Sicily,,37.40166,14.92236
16,ITA,Tuscany,,43.5252,11.57238
17,ITA,"Trentino-Alto Adige",,46.83154,11.16708
18,ITA,Umbria,,43.08333,11.91667
19,ITA,"Aosta Valley",,45.75664,7.04123
20,ITA,Veneto,,46.0625,12.32222
84,ITA,Auvergne-Rhône-Alpes,,45.84779,6.87581
