"ciudad";"idprovincia";"codeid";"latitude";"longitude"
"Aguascalientes";"586";"";"21.8818";"-102.2910"
"Asientos";"586";"";"22.2389";"-102.0897"
"Calvillo";"586";"";"21.8467";"-102.7161"
"Cosío";"586";"";"22.3669";"-102.3003"
"Jesús María";"586";"";"21.9619";"-102.3442"
"Pabellón de Arteaga";"586";"";"22.1498";"-102.2787"
"Rincón de Romos";"586";"";"22.2309";"-102.3214"
"San José de Gracia";"586";"";"20.3639";"-102.1505"
"Tepezalá";"586";"";"22.2309";"-102.0886"
"El Llano";"586";"";"21.6129";"-102.5826"
"San Francisco de los Romo";"586";"";"22.0702";"-102.2904"
"Ensenada";"587";"";"31.8652";"-116.5965"
"Mexicali";"587";"";"32.6245";"-115.4523"
"Tecate";"587";"";"32.5667";"-116.6333"
"Tijuana";"587";"";"32.5149";"-117.0382"
"Playas de Rosarito";"587";"";"32.3500";"-117.0583"
"Comondú";"588";"";"25.0605";"-111.2301"
"Mulegé";"588";"";"26.8785";"-111.9806"
"La Paz";"588";"";"24.1420";"-110.3108"
"Los Cabos";"588";"";"22.8909";"-109.9124"
"Loreto";"588";"";"26.0112";"-111.3475"
"Calkiní";"589";"";"20.5092";"-90.0800"
"Campeche";"589";"";"19.8439";"-90.5255"
"Carmen";"589";"";"18.6537";"-91.8075"
"Champotón";"589";"";"19.3500";"-90.7167"
"Hecelchakán";"589";"";"20.1683";"-90.1236"
"Hopelchén";"589";"";"19.7667";"-89.8500"
"Palizada";"589";"";"18.2532";"-92.0916"
"Tenabo";"589";"";"20.0466";"-90.2308"
"Escárcega";"589";"";"18.6089";"-90.7454"
"Calakmul";"589";"";"18.103449";"-89.814148"
"Candelaria";"589";"";"20.4631";"-90.0378"
"Abasolo";"590";"";"20.4500";"-101.5167"
"Acuña";"590";"";"29.3232";"-100.9522"
"Allende";"590";"";"28.3517";"-100.8492"
"Arteaga";"590";"";"25.4242";"-100.6647"
"Candela";"590";"";"27.0495";"-100.5195"
"Castaños";"590";"";"26.7862";"-101.4206"
"Cuatro Ciénegas";"590";"";"26.9879";"-102.0506"
"Escobedo";"590";"";"25.7931";"-100.3148"
"Francisco I. Madero";"590";"";"25.7882";"-103.0200"
"Frontera";"590";"";"26.9333";"-101.4500"
"General Cepeda";"590";"";"25.3762";"-101.4500"
"Guerrero";"590";"";"17.4392";"-99.5451"
"Hidalgo";"590";"";"20.0911";"-98.7624"
"Jiménez";"590";"";"27.0975";"-104.9172"
"Juárez";"590";"";"31.7386";"-106.4875"
"Lamadrid";"590";"";"26.9875";"-101.2806"
"Matamoros";"590";"";"25.8690";"-97.5027"
"Monclova";"590";"";"26.9069";"-101.4206"
"Morelos";"590";"";"18.6813";"-99.1013"
"Múzquiz";"590";"";"27.8871";"-101.5205"
"Nadadores";"590";"";"27.0500";"-101.6000"
"Nava";"590";"";"28.4159";"-100.7670"
"Ocampo";"590";"";"21.6494";"-101.5003"
"Parras";"590";"";"25.4207";"-102.1792"
"Piedras Negras";"590";"";"28.7041";"-100.5199"
"Progreso";"590";"";"21.2826";"-89.6645"
"Ramos Arizpe";"590";"";"25.5497";"-100.9634"
"Sabinas";"590";"";"27.8521";"-101.1233"
"Sacramento";"590";"";"19.04417";"-98.19806"
"Saltillo";"590";"";"25.4383";"-100.9737"
"San Buenaventura";"590";"";"27.0839";"-101.5379"
"San Juan de Sabinas";"590";"";"27.8500";"-101.1167"
"San Pedro";"590";"";"25.7592";"-100.3000"
"Sierra Mojada";"590";"";"27.2877";"-103.2912"
"Torreón";"590";"";"25.5428";"-103.4068"
"Viesca";"590";"";"25.3308";"-103.0306"
"Villa Unión";"590";"";"23.1970";"-106.1840"
"Zaragoza";"590";"";"22.14982";"-102.0075"
"Armería";"591";"";"18.933889";"-103.961667"
"Colima";"591";"";"19.2433";"-103.725"
"Comala";"591";"";"19.318889";"-103.755"
"Coquimatlán";"591";"";"19.2311";"-103.7235"
"Cuauhtémoc";"591";"";"19.4451";"-99.1468"
"Ixtlahuacán";"591";"";"19.57889";"-103.46167"
"Manzanillo";"591";"";"19.0500";"-104.3189"
"Minatitlán";"591";"";"18.0001";"-94.5569"
"Tecomán";"591";"";"18.9218";"-103.8775"
"Villa de Álvarez";"591";"";"19.2675";"-103.7373"
"Acacoyagua";"592";"";"15.4319";"-92.7519"
"Acala";"592";"";"16.5642";"-92.8235"
"Acapetahua";"592";"";"15.2603";"-92.7746"
"Altamirano";"592";"";"16.7597";"-93.6172"
"Amatán";"592";"";"17.4022";"-92.7489"
"Amatenango de la Frontera";"592";"";"15.7604";"-92.1685"
"Amatenango del Valle";"592";"";"16.5072";"-92.4546"
"Angel Albino Corzo";"592";"";"16.2350";"-92.1095"
"Arriaga";"592";"";"16.2370";"-93.8999"
"Bejucal de Ocampo";"592";"";"15.6092";"-92.0654"
"Bella Vista";"592";"";"21.2056";"-98.8083"
"Berriozábal";"592";"";"16.7902";"-93.3789"
"Bochil";"592";"";"16.9892";"-92.8908"
"El Bosque";"592";"";"19.4978";"-99.1199"
"Cacahoatán";"592";"";"14.8006";"-92.1975"
"Catazajá";"592";"";"17.6942";"-92.0083"
"Cintalapa";"592";"";"16.7275";"-93.7333"
"Coapilla";"592";"";"17.036111";"-93.215"
"Comitán de Domínguez";"592";"";"16.2439";"-92.1338"
"La Concordia";"592";"";"16.7903";"-92.6892"
"Copainalá";"592";"";"17.0942";"-93.2156"
"Chalchihuitán";"592";"";"16.9081";"-92.6895"
"Chamula";"592";"";"16.783333";"-92.683333"
"Chanal";"592";"";"16.6530";"-92.1792"
"Chapultenango";"592";"";"17.152778";"-93.206944"
"Chenalhó";"592";"";"16.9085";"-92.6881"
"Chiapa de Corzo";"592";"";"16.7107";"-93.0154"
"Chiapilla";"592";"";"16.5686";"-92.4939"
"Chicoasén";"592";"";"16.9718";"-93.1116"
"Chicomuselo";"592";"";"15.7889";"-92.2219"
"Chilón";"592";"";"17.0097";"-92.0132"
"Escuintla";"592";"";"14.3050";"-90.7858"
"Francisco León";"592";"";"17.09944";"-93.18417"
"Frontera Comalapa";"592";"";"15.6480";"-92.1518"
"Frontera Hidalgo";"592";"";"14.7831";"-92.1683"
"La Grandeza";"592";"";"15.5389";"-92.1722"
"Huehuetán";"592";"";"15.0362";"-92.3685"
"Huixtán";"592";"";"16.7689";"-92.6889"
"Huitiupán";"592";"";"17.0619";"-92.7183"
"Huixtla";"592";"";"15.1308";"-92.4678"
"La Independencia";"592";"";"16.2333";"-91.7833"
"Ixhuatán";"592";"";"17.34019";"-93.01152"
"Ixtacomitán";"592";"";"17.430278";"-93.027222"
"Ixtapa";"592";"";"20.7082";"-105.2072"
"Ixtapangajoya";"592";"";"17.4500";"-93.0833"
"Jiquipilas";"592";"";"16.5403";"-93.7075"
"Jitotol";"592";"";"17.0500";"-92.9500"
"Juárez";"592";"";"31.7387";"-106.4870"
"Larráinzar";"592";"";"16.9222";"-92.7753"
"La Libertad";"592";"";"16.7843";"-93.1736"
"Mapastepec";"592";"";"15.4442";"-92.8983"
"Las Margaritas";"592";"";"16.3133";"-91.9815"
"Mazapa de Madero";"592";"";"15.3742";"-92.1475"
"Mazatán";"592";"";"14.9056";"-92.1394"
"Metapa";"592";"";"14.8372";"-92.1719"
"Mitontic";"592";"";"16.9131";"-92.6875"
"Motozintla";"592";"";"15.3689";"-92.2281"
"Nicolás Ruíz";"592";"";"16.2339";"-92.6881"
"Ocosingo";"592";"";"16.9061";"-92.0945"
"Ocotepec";"592";"";"19.2893";"-99.1171"
"Ocozocoautla de Espinosa";"592";"";"16.7683";"-93.3814"
"Ostuacán";"592";"";"17.400831";"-93.383331"
"Osumacinta";"592";"";"17.916667";"-92.133333"
"Oxchuc";"592";"";"16.7875";"-92.3494"
"Palenque";"592";"";"17.5092";"-91.9815"
"Pantelhó";"592";"";"16.9990";"-92.2481"
"Pantepec";"592";"";"20.409722";"-98.151667"
"Pichucalco";"592";"";"17.5134";"-93.1527"
"Pijijiapan";"592";"";"15.6904";"-93.2281"
"El Porvenir";"592";"";"18.0833";"-93.3833"
"Villa Comaltitlán";"592";"";"15.2547";"-92.5009"
"Pueblo Nuevo Solistahuacán";"592";"";"17.1833";"-92.8333"
"Rayón";"592";"";"19.4833";"-99.4939"
"Reforma";"592";"";"18.5958";"-91.4558"
"Las Rosas";"592";"";"16.3378";"-92.2279"
"Salto de Agua";"592";"";"17.5989";"-92.1314"
"San Cristóbal de las Casas";"592";"";"16.7370";"-92.6376"
"San Fernando";"592";"";"24.8500";"-98.1600"
"Siltepec";"592";"";"15.6472";"-92.2356"
"Simojovel";"592";"";"17.1522";"-92.7689"
"Sitalá";"592";"";"17.078056";"-92.132778"
"Socoltenango";"592";"";"16.2323";"-92.1291"
"Solosuchiapa";"592";"";"17.242778";"-92.896944"
"Soyaló";"592";"";"16.91944";"-92.83389"
"Suchiapa";"592";"";"16.5311";"-93.1176"
"Suchiate";"592";"";"14.5828";"-92.1891"
"Sunuapa";"592";"";"17.5506";"-93.1042"
"Tapachula";"592";"";"14.9061";"-92.2634"
"Tapalapa";"592";"";"16.9167";"-93.0667"
"Tapilula";"592";"";"17.2084";"-93.0925"
"Tecpatán";"592";"";"17.2250";"-93.2311"
"Tenejapa";"592";"";"16.9167";"-92.4833"
"Teopisca";"592";"";"16.5382";"-92.4605"
"Tila";"592";"";"17.4886";"-92.4679"
"Tonalá";"592";"";"20.6229";"-103.2419"
"Totolapa";"592";"";"16.5639";"-92.5369"
"La Trinitaria";"592";"";"16.0919";"-91.7281"
"Tumbalá";"592";"";"17.2870";"-92.4202"
"Tuxtla Gutiérrez";"592";"";"16.7597";"-93.1131"
"Tuxtla Chico";"592";"";"14.8901";"-92.2163"
"Tuzantán";"592";"";"15.0892";"-92.4665"
"Tzimol";"592";"";"16.2333";"-92.4000"
"Unión Juárez";"592";"";"15.0498";"-92.0936"
"Venustiano Carranza";"592";"";"19.4326";"-99.0721"
"Villa Corzo";"592";"";"16.1863";"-92.6350"
"Villaflores";"592";"";"16.2902";"-93.2594"
"Yajalón";"592";"";"17.2333";"-92.3333"
"San Lucas";"592";"";"16.5667";"-92.5333"
"Zinacantán";"592";"";"16.7489";"-92.7941"
"San Juan Cancuc";"592";"";"16.9269";"-92.4703"
"Aldama";"592";"";"22.9167";"-98.0667"
"Benemérito de las Américas";"592";"";"16.5167";"-90.6439"
"Maravilla Tenejapa";"592";"";"16.216667";"-91.983333"
"Marqués de Comillas";"592";"";"16.1903";"-90.9601"
"Montecristo de Guerrero";"592";"";"16.8261";"-95.2375"
"San Andrés Duraznal";"592";"";"16.9624";"-93.0379"
"Santiago el Pinar";"592";"";"16.5939";"-92.6406"
"Capitán Luis Ángel Vidal";"592";"";"17.79889";"-91.77701"
"Rincón Chamula San Pedro";"592";"";"16.7483";"-92.6881"
"El Parral";"592";"";"26.933354";"-105.666897"
"Emiliano Zapata";"592";"";"19.6667";"-99.09778"
"Mezcalapa";"592";"";"16.7833";"-93.1667"
"Ahumada";"593";"";"30.6100";"-106.5100"
"Aldama";"593";"";"22.9194";"-98.0692"
"Allende";"593";"";"28.3369";"-100.8522"
"Aquiles Serdán";"593";"";"28.7086";"-106.1042"
"Ascensión";"593";"";"31.10";"-107.98"
"Bachíniva";"593";"";"28.6086";"-107.5197"
"Balleza";"593";"";"26.9333";"-106.5333"
"Batopilas de Manuel Gómez Morín";"593";"";"27.033333";"-107.233333"
"Bocoyna";"593";"";"27.5417";"-107.6406"
"Buenaventura";"593";"";"19.8506";"-97.0642"
"Camargo";"593";"";"27.6906";"-105.1708"
"Carichí";"593";"";"28.3333";"-107.0333"
"Casas Grandes";"593";"";"30.3667";"-107.9500"
"Coronado";"593";"";"20.8307";"-102.8463"
"Coyame del Sotol";"593";"";"29.9102";"-104.3797"
"La Cruz";"593";"";"23.91722";"-105.34222"
"Cuauhtémoc";"593";"";"19.4458";"-99.1505"
"Cusihuiriachi";"593";"";"28.0330";"-107.5000"
"Chihuahua";"593";"";"28.6330";"-106.0691"
"Chínipas";"593";"";"27.6439";"-108.3317"
"Delicias";"593";"";"28.1901";"-105.4701"
"Dr. Belisario Domínguez";"593";"";"25.433172";"-105.225332"
"Galeana";"593";"";"24.8462";"-100.0664"
"Santa Isabel";"593";"";"19.178333";"-98.991944"
"Gómez Farías";"593";"";"19.3547";"-99.6147"
"Gran Morelos";"593";"";"28.4074";"-106.8659"
"Guachochi";"593";"";"27.2528";"-107.1924"
"Guadalupe";"593";"";"25.6768";"-100.2595"
"Guadalupe y Calvo";"593";"";"26.0994";"-106.9592"
"Guazapares";"593";"";"27.5806";"-108.2922"
"Guerrero";"593";"";"17.6667";"-100.0000"
"Hidalgo del Parral";"593";"";"26.9339";"-105.6667"
"Huejotitán";"593";"";"27.0578";"-106.5706"
"Ignacio Zaragoza";"593";"";"28.3869";"-106.8281"
"Janos";"593";"";"30.7669";"-108.3201"
"Jiménez";"593";"";"27.0975";"-104.9122"
"Juárez";"593";"";"31.6904";"-106.4245"
"Julimes";"593";"";"28.3939";"-105.3139"
"López";"593";"";"22.1503";"-100.9792"
"Madera";"593";"";"29.8549";"-108.1530"
"Maguarichi";"593";"";"27.4939";"-108.0531"
"Manuel Benavides";"593";"";"29.841944";"-104.193056"
"Matachí";"593";"";"28.8447";"-107.3945"
"Matamoros";"593";"";"25.8690";"-97.5027"
"Meoqui";"593";"";"28.2775";"-105.4681"
"Morelos";"593";"";"18.6813";"-99.1013"
"Moris";"593";"";"27.6667";"-108.2000"
"Namiquipa";"593";"";"29.2044";"-107.4986"
"Nonoava";"593";"";"27.8500";"-107.3000"
"Nuevo Casas Grandes";"593";"";"30.4182";"-107.9117"
"Ocampo";"593";"";"21.6492";"-101.5042"
"Ojinaga";"593";"";"29.5622";"-104.4158"
"Praxedis G. Guerrero";"593";"";"31.3667";"-106.0167"
"Riva Palacio";"593";"";"19.704660";"-101.190536"
"Rosales";"593";"";"28.1500";"-105.4833"
"Rosario";"593";"";"19.8968";"-103.8746"
"San Francisco de Borja";"593";"";"28.8864";"-107.1695"
"San Francisco de Conchos";"593";"";"27.1869";"-105.4388"
"San Francisco del Oro";"593";"";"26.8175";"-105.8172"
"Santa Bárbara";"593";"";"20.2550";"-89.6666"
"Satevó";"593";"";"28.0219";"-106.8152"
"Saucillo";"593";"";"28.0193";"-105.5012"
"Temósachic";"593";"";"28.3864";"-107.9617"
"El Tule";"593";"";"17.0331";"-96.6366"
"Urique";"593";"";"27.4833";"-108.5333"
"Uruachi";"593";"";"27.4439";"-108.2922"
"Valle de Zaragoza";"593";"";"27.4877";"-105.6348"
"Azcapotzalco";"594";"";"19.4869804";"-99.1836964"
"Coyoacán";"594";"";"19.3467";"-99.1617"
"Cuajimalpa de Morelos";"594";"";"19.3553";"-99.2938"
"Gustavo A. Madero";"594";"";"19.4889";"-99.0949"
"Iztacalco";"594";"";"19.3953";"-99.0978"
"Iztapalapa";"594";"";"19.3422";"-99.0561"
"La Magdalena Contreras";"594";"";"19.2753";"-99.2569"
"Milpa Alta";"594";"";"19.1917";"-99.0236"
"Álvaro Obregón";"594";"";"19.3587";"-99.2033"
"Tláhuac";"594";"";"19.2839";"-99.0036"
"Tlalpan";"594";"";"19.2953";"-99.1477"
"Xochimilco";"594";"";"19.2547";"-99.1036"
"Benito Juárez";"594";"";"19.391003";"-99.283700"
"Cuauhtémoc";"594";"";"19.4451";"-99.1468"
"Miguel Hidalgo";"594";"";"19.42847";"-99.20329"
"Venustiano Carranza";"594";"";"19.4326";"-99.0721"
"Canatlán";"595";"";"24.5192";"-104.7787"
"Canelas";"595";"";"25.2319";"-106.4339"
"Coneto de Comonfort";"595";"";"24.5200";"-104.5000"
"Cuencamé";"595";"";"24.8664";"-103.6989"
"Durango";"595";"";"24.02032";"-104.65756"
"General Simón Bolívar";"595";"";"25.7930";"-103.0200"
"Gómez Palacio";"595";"";"25.5698";"-103.4953"
"Guadalupe Victoria";"595";"";"32.2869";"-115.1050"
"Guanaceví";"595";"";"25.933333";"-106.050000"
"Hidalgo";"595";"";"20.0911";"-98.7624"
"Indé";"595";"";"26.8697";"-105.8108"
"Lerdo";"595";"";"25.5382";"-103.5267"
"Mapimí";"595";"";"25.8197";"-103.8498"
"Mezquital";"595";"";"22.5417";"-104.3181"
"Nazas";"595";"";"25.233104";"-104.135299"
"Nombre de Dios";"595";"";"23.8500";"-104.2333"
"Ocampo";"595";"";"21.6495";"-101.5003"
"El Oro";"595";"";"19.8024";"-100.1332"
"Otáez";"595";"";"24.7394";"-105.9750"
"Pánuco de Coronado";"595";"";"24.5169";"-104.4097"
"Peñón Blanco";"595";"";"24.7861";"-104.2061"
"Poanas";"595";"";"24.7772";"-103.2311"
"Pueblo Nuevo";"595";"";"20.7939";"-100.1439"
"Rodeo";"595";"";"25.5587";"-104.7914"
"San Bernardo";"595";"";"19.42847";"-99.12766"
"San Juan de Guadalupe";"595";"";"24.8031";"-103.0072"
"San Juan del Río";"595";"";"20.3872";"-99.9831"
"San Luis del Cordero";"595";"";"25.3500";"-104.0500"
"San Pedro del Gallo";"595";"";"25.7617";"-105.3692"
"Santa Clara";"595";"";"20.4401";"-97.3171"
"Santiago Papasquiaro";"595";"";"24.8306";"-105.393"
"Súchil";"595";"";"23.4965";"-104.783"
"Tamazula";"595";"";"19.4005";"-103.1996"
"Tepehuanes";"595";"";"25.3703";"-105.5672"
"Tlahualilo";"595";"";"25.5958";"-103.4486"
"Topia";"595";"";"25.2048";"104.0918"
"Vicente Guerrero";"595";"";"30.76405";"-115.2487"
"Nuevo Ideal";"595";"";"24.8864";"-105.0724"
"Abasolo";"596";"";"20.4500";"-101.5167"
"Acámbaro";"596";"";"20.0287";"-100.7181"
"San Miguel de Allende";"596";"";"20.9144";"-100.7452"
"Apaseo el Alto";"596";"";"20.4500";"-100.6333"
"Apaseo el Grande";"596";"";"20.5686";"-100.6972"
"Atarjea";"596";"";"21.3368";"-100.177"
"Celaya";"596";"";"20.5201";"-100.8148"
"Manuel Doblado";"596";"";"20.961667";"-101.896389"
"Comonfort";"596";"";"20.7189";"-100.7639"
"Coroneo";"596";"";"20.2270";"-100.4398"
"Cortazar";"596";"";"20.4822";"-100.9639"
"Cuerámaro";"596";"";"20.6197";"-101.6480"
"Doctor Mora";"596";"";"21.1443";"-100.2922"
"Dolores Hidalgo Cuna de la Independencia Nacional";"596";"";"21.1561";"-100.9344"
"Guanajuato";"596";"";"21.0190";"-101.2574"
"Huanímaro";"596";"";"20.3733";"-101.5128"
"Irapuato";"596";"";"20.678665";"-101.354496"
"Jaral del Progreso";"596";"";"20.3783";"-101.1197"
"Jerécuaro";"596";"";"20.2869";"-100.5205"
"León";"596";"";"21.1236";"-101.6855"
"Moroleón";"596";"";"20.1338";"-101.1915"
"Ocampo";"596";"";"21.6494";"-101.5032"
"Pénjamo";"596";"";"20.4314";"-101.7286"
"Pueblo Nuevo";"596";"";"20.794722";"-101.524167"
"Purísima del Rincón";"596";"";"21.016667";"-101.85"
"Romita";"596";"";"20.865278";"-101.526389"
"Salamanca";"596";"";"20.5710";"-101.1915"
"Salvatierra";"596";"";"20.2164";"-100.8781"
"San Diego de la Unión";"596";"";"21.4489";"-100.8881"
"San Felipe";"596";"";"21.5890";"-105.2438"
"San Francisco del Rincón";"596";"";"21.0186";"-101.8545"
"San José Iturbide";"596";"";"21.0019";"-100.3842"
"San Luis de la Paz";"596";"";"21.3028";"-100.5451"
"Santa Catarina";"596";"";"25.6866";"-100.315"
"Santa Cruz de Juventino Rosas";"596";"";"20.6480";"-101.0045"
"Santiago Maravatío";"596";"";"20.2333";"-101.0317"
"Silao de la Victoria";"596";"";"20.9439";"-101.4280"
"Tarandacuao";"596";"";"20.2333";"-100.6167"
"Tarimoro";"596";"";"20.2831";"-100.5500"
"Tierra Blanca";"596";"";"18.4551";"-95.2135"
"Uriangato";"596";"";"20.1338";"-101.1945"
"Valle de Santiago";"596";"";"20.3834";"-101.1915"
"Victoria";"596";"";"23.7419";"-99.1459"
"Villagrán";"596";"";"20.5235";"-100.9526"
"Xichú";"596";"";"21.2992";"-100.0081"
"Yuriria";"596";"";"20.2019";"-101.1291"
"Acapulco de Juárez";"597";"";"16.8634";"-99.8825"
"Ahuacuotzingo";"597";"";"17.798889";"-99.099444"
"Ajuchitlán del Progreso";"597";"";"18.189";"-100.465"
"Alcozauca de Guerrero";"597";"";"17.4072";"-98.3975"
"Alpoyeca";"597";"";"17.5500";"-98.7500"
"Apaxtla";"597";"";"18.256944";"-99.904722"
"Arcelia";"597";"";"18.2833";"-100.2833"
"Atenango del Río";"597";"";"18.0250";"-99.3389"
"Atlamajalcingo del Monte";"597";"";"17.2386";"-98.5461"
"Atlixtac";"597";"";"17.5350";"-98.7500"
"Atoyac de Álvarez";"597";"";"17.2000";"-100.4360"
"Ayutla de los Libres";"597";"";"16.9000";"-99.2206"
"Azoyú";"597";"";"16.9042";"-98.7591"
"Benito Juárez";"597";"";"19.3850";"-99.1650"
"Buenavista de Cuéllar";"597";"";"18.3432";"-99.5185"
"Coahuayutla de José María Izazaga";"597";"";"18.725";"-101.5542"
"Cocula";"597";"";"20.361944";"-103.815556"
"Copala";"597";"";"16.5497";"-98.4105"
"Copalillo";"597";"";"18.2622";"-99.0906"
"Copanatoyac";"597";"";"17.351";"-98.812"
"Coyuca de Benítez";"597";"";"17.0419";"-100.0715"
"Coyuca de Catalán";"597";"";"18.3566";"-100.6722"
"Cuajinicuilapa";"597";"";"16.4631";"-98.3856"
"Cualác";"597";"";"17.742528";"-98.945833"
"Cuautepec";"597";"";"20.0309";"-98.3033"
"Cuetzala del Progreso";"597";"";"17.6333";"-99.4667"
"Cutzamala de Pinzón";"597";"";"18.533333";"-100.566667"
"Chilapa de Álvarez";"597";"";"17.5929";"-99.1836"
"Chilpancingo de los Bravo";"597";"";"17.5506";"-99.5058"
"Florencio Villarreal";"597";"";"16.5142";"-98.9391"
"General Canuto A. Neri";"597";"";"18.3619";"-100.1472"
"General Heliodoro Castillo";"597";"";"17.798889";"-100.304167"
"Huamuxtitlán";"597";"";"17.8106";"-98.5611"
