"cuenta";"descripcion";"cuentaesp"
"1";"ACTIVO";""
"11";"ACTIVO CIRCULANTE";""
"111";"EFECTIVO Y VALORES NEGOCIABLES";""
"1111";"CAJAS";"CAJA"
"111100001";"CAJA CHICA";""
"111100002";"CAJA PRINCIPAL";""
"111100003";"FONDO A DEPOSITAR";""
"112";"BANCOS E INTITUCIONES FINANCIERAS";""
"1121";"BANCOS E INTITUCIONES FINANCIERAS NACIONALES";""
"112100001";"BANCO X MXN";""
"1122";"BANCOS E INSTITUCIONES FINANCIERAS EXTERIOR";""
"112200001";"BANCO X USD";""
"113";"INVERSIONES";""
"1131";"INVERSIONES A CORTO PLAZO";""
"113100001";"INVERSIONES TEMPORALES";""
"113100002";"PAPELES COMERCIALES";""
"113100003";"INVERSIONES EN BONOS M.N.";""
"113100004";"INVERSIONES EN BONOS M.E.";""
"114";"CLIENTES";""
"1141";"CLIENTES NACIONALES";"CLIENT"
"114100001";"PUBLICO EN GENERAL";""
"1142";"CLIENTES EXTERIOR";""
"114200001";"CLIENTES EXTRANJEROS";""
"115";"DOCUMENTOS Y CUENTAS POR COBRAR";""
"1151";"EFECTOS POR COBRAR";""
"115100001";"EFECTOS POR COBRAR NACIONALES";""
"1152";"CUENTAS POR COBRAR NACIONALES";""
"115200001";"CUENTAS POR COBRAR CLIENTES";""
"115200002";"COBRO ANTICIPO CLIENTES";""
"115200004";"CUENTAS POR COBRAR MAYORISTA";""
"115200005";"CUENTAS POR COBRAR DETALLISTA";""
"1153";"CUENTAS POR COBRAR EXTERIOR";""
"1154";"PROVINCION INCOBRABLES NACIONAL";""
"115400001";"PROVISION INCOBRALES NACIONALES";""
"115400002";"PROVINCION INCOBRABLES EXTERIOR";""
"1155";"CUENTAS POR COBRAR EMPLEADOS";""
"115500001";"CUENTAS POR COBRAR EMPLEADOS";""
"115500002";"PRESTAMOS PERSONALES";""
"115500003";"CUENTAS POR COBRAR SOCIOS";""
"115500004";"VIATICOS VENDEDORES";""
"115500006";"VACACIONES";""
"115500007";"UTILIDADES";""
"115500008";"SEGURO DE VEHICULOS";""
"115500009";"ANTICIPO DE NOMINA";""
"1156";"INTERESES POR COBRAR";""
"1157";"COMPANIAS AFILIADAS Y RELACIONADAS";""
"1158";"CUENTAS POR COBRAR ACCIONISTAS";""
"115800001";"CUENTAS POR COBRAR SOCIOS";""
"1159";"OTRAS CUENTAS POR COBRAR";""
"115900001";"ADELANTO A PROVEEDORES";""
"115900002";"ENTES GUBERNAMENTALES";""
"115900003";"TRANSFERENCIAS BANCARIAS";""
"115900004";"DEPOSITOS VARIOS";""
"115900005";"RECLAMO AL SEGURO";""
"115900008";"CHEQUES DEVUELTOS";""
"115900009";"DEUDORES DIVERSOS";""
"115900010";"RECLAMO AL BANCO";""
"116";"INVENTARIOS";""
"1161";"INVENTARIOS DE MERCANCIA";""
"116100001";"INVENTARIO FINAL";""
"116100002";"INVENTARIOS DE MERCANCIA NACIONAL";""
"116100003";"INVENTARIOS DE MERCANCIA EXTERIOR";""
"116100009";"INVENTARIO MERCANCIA ACTUALIZACION DEL VALOR";""
"1164";"INVENTARIO EN TRANSITO";""
"116400001";"MERCANCIA EN TRANSITOS";""
"116400002";"MERCANCIA EN TRANSITO";""
"117";"GASTOS OPERACIONALES";""
"1171";"GASTOS PREPAGADOS OPERATIVOS";""
"117100001";"PUBLICIDAD";""
"117100002";"SEGURO PREPAGADOS";""
"117100004";"ALQUILERES";""
"118";"IMPUESTOS PAGADOS POR ANTICIPADOS";""
"1181";"IMPUESTOS";"IVASOP"
"118100001";"ISR DECLARACION ESTIMADAS";""
"118100002";"ISR RETENIDO";""
"118100003";"IVA EFECTIVAMENTE PAGADO";""
"118100004";"IVA ACREDITABLE";""
"118100005";"PATENTE MUNICIPAL ESTIMADA";""
"118100006";"IVA . CREDITO FISCAL IMPORTACION";""
"118100007";"IMPUESTO MUNICIPAL PAGADO EN EXCESO";""
"118100008";"IETU PAGADO";""
"118100009";"ISR PAGADO";""
"118100010";"IEPS PAGADO";""
"12";"ACTIVO LARGO PLAZO";""
"121";"ACTIVO FIJO NETO";""
"1211";"ACTIVO FIJO";""
"121100001";"TERRENO COSTO ORIGINAL";""
"121100005";"INMUEBLES COSTO ORIGINAL";""
"121100007";"MAQUINARIAS Y EQUIPOS COSTO ORIGINAL";""
"121100009";"VEHICULOS COSTO ORIGINAL";""
"121100011";"MUEBLES Y ENSERES COSTO ORIGINAL";""
"121100013";"LICENCIA Y SOFTWARE COSTO ORIGINAL";""
"1212";"DEPRECIACION Y AMORTIZACION ACUMULADAS";""
"121200001";"TERRENOS COSTO ORIGINAL";""
"121200006";"INMUEBLES COSTO ORIGINAL";""
"121200007";"MAQUINARIAS Y EQUIPOS COSTO ORIGINAL";""
"121200009";"VEHICULOS COSTO ORIGINAL";""
"121200011";"MUEBLES Y ENSERES COSTO ORIGINAL";""
"121200013";"LICENCIA Y SOFTWARE COSTO ORIGINAL";""
"121200015";"MEJORAS A PROPIEDAD COSTO ORIGINAL";""
"122";"INVERSIONES LARGO PLAZO";""
"1221";"TITULOS DE VALORES";""
"122100001";"INVERSIONES PERMANENTES";""
"122100003";"BONOS TITULOS";""
"122100004";"INVERSIONES EN BONOS M.N.";""
"125";"IMPUESTOS DIFERIDOS";""
"1251";"IMPUESTOS DIFERIDOS ISR";""
"125100001";"IMPUESTOS DIFERIDOS ISR";""
"127";"CARGOS DIFERIDOS";""
"1271";"CARGOS DIFERIDOS";""
"127100001";"MARCA DE FABRICA";""
"127100002";"GASTOS DE CONSTITUCION";""
"127100005";"OTRAS CUENTAS POR COBRAR";""
"129";"OTROS ACTIVOS";""
"1291";"OTROS ACTIVOS";""
"129100001";"DEPOSITOS GARANTIA PROVEEDORES";""
"129100002";"DEPOSITOS GARANTIA BANCOS";""
"129100004";"DEPOSITOS GARANTIA ARRENDAMIENTO LOCAL";""
"2";"PASIVO";""
"21";"PASIVO A CORTO PLAZO";""
"211";"PASIVOS FINACIEROS A CORTO PLAZO";""
"2111";"PASIVOS FINANCIEROS A CORTO PLAZO";""
"211100002";"BANCO X";""
"212";"DOCUMENTOS Y CUENTAS POR PAGAR";""
"2121";"PROVEEDORES NACIONALES";"PROVEE"
"212100001";"PROVEEDORES NACIONALES";""
"2122";"PROVEEDORES EXTRANJEROS";""
"2123";"COMPANIAS AFILIADAS Y RELACIONADAS";""
"2124";"OTRAS CUETNAS POR PAGAR";""
"212400002";"TARJETA DE CREDITO X";""
"212400005";"OTRAS CUENTAS POR PAGAR";""
"213";"ACREEDORES DIVERSOS";""
"2131";"CUENTAS POR PAGAR ACCIONISTAS";""
"213100001";"CUENTAS POR PAGAR SOCIOS";""
"2132";"ACREEDORES DIVERSOS NACIONAL";"ACREED"
"2133";"ACREEDORES DIVERSOS EXTERIOR";""
"215";"DIVIDENDO POR PAGAR";""
"2151";"DIVIDENDO POR PAGAR";""
"215100001";"DIVIDENDO POR PAGAR VIGENTES";""
"215100002";"DIVDENDO POR COBRAR NO COBRADOS";""
"216";"ACUMULACIONES LABORALES";""
"2161";"APORTES EMPLEADOS";""
"216100005";"FONDO FIDEICOMISO";""
"216100006";"FONDO DE AHORRO";""
"216100007";"APORTES EMPLEADOS";""
"217";"GASTOS ACUMULADOS Y RETENCIONES POR PAGAR";""
"2171";"CONTRIBUCIONES PATRONAL";""
"217100001";"APORTE EMPRESA";""
"2172";"RETENCIONES E IMPUESTOS POR PAGAR";""
"217200001";"RETENCIONES ISR EMPLEADOS";""
"217200002";"RETENCIONES ISR PROVEEDORES";""
"217200003";"IVA DEBITO FISCAL";""
"2173";"RETENCIONES VARIAS";""
"217300001";"EMBARGO DE SUELDO";""
"217300002";"PRESTAMOS SOBRE FIDEICOMISO";""
"217300003";"SINDICATOS";""
"2175";"OTRAS ACUMULACIONES";""
"217500001";"VACACIONES";""
"217500002";"UTILIDADES";""
"217500003";"PRESTACIONES SOCIALES";""
"217500004";"INTERESES S/PRESTACIONES SOCIALES";""
"217500005";"BONIFICACION ACCIDENTAL UNICA";""
"217500006";"PRIMA POR EFECIENCIA";""
"217500008";"POLIZA DE SEGURO POR PAGAR";""
"217500009";"PUBLICIDAD Y PROPAGANDA";""
"217500010";"COMISIONES";""
"217500011";"ALQUILERES";""
"217500012";"TARJETA CORPORATIVA";""
"217500013";"CONDOMINIOS";""
"217500014";"IMPUESTOS MUNICIPALES POR PAGAR";""
"217500015";"CONVESION DE COMERCIALIZACION";""
"217500017";"NOMINA POR PAGAR";""
"217500018";"IMPUESTOS POR PAGAR";""
"217500019";"PROGRAMA DE ALIMENTACION";""
"217500020";"ADELANTO DE CLIENTES";""
"217500021";"PATENTE INDUSTRIA Y COMERCIO";""
"218";"RESERVAS";""
"2181";"RESERVAS";""
"218100001";"RESERVAS OPERATIVAS";""
"218100002";"RESERVAS FINANCIERAS";""
"218100003";"RESERVAS FISCALES";""
"219";"IMPUESTOS SOBRE LA RENTA POR PAGAR";""
"2191";"ISR ACUMULADOS GASTOS";""
"219100001";"ISR ACUMULADOS GASTOS";""
"219100002";"DECLARACION ESTIMADAS";""
"219100003";"RAR AJUSTE INICIAL POR INFLACION";""
"22";"OTROS PASIVOS A CORTO PLAZO";""
"220";"OTROS PASIVOS A CORTO PLAZO";""
"2201";"IMPUESTOS POR PAGAR";""
"220100111";"PASIVOS A CORTO PLAZO";""
"220100112";"4% IVA RETENIDO FLETES";""
"220100113";"ISR RETENIDO SALARIOS";""
"220100114";"ISR RETENIDO ASIMILABLES";""
"220100115";"10% ISR RETENIDO HONORARIOS";""
"220100116";"10% ISR RETENIDO ARRENDAMIENTO";""
"220100117";"10.67% IVA RETENIDO ARRENDAMIENTO";""
"220100118";"10.67% IVA RETENIDO HONORARIOS";""
"220100119";"1% DE RET CEDULAR ARRENDAMIETOS (GUANAJUATO)";""
"2202";"IVA TRASLADADO";"IVAREP"
"220200113";"IVA POR TRASLADAR";""
"220200114";"IVA EFECTIVAMENTE COBRADO";""
"25";"PASIVO A LARGO PLAZO";""
