idprovincia;codpais;provincia;codisoprov
1;MEX;AGUASCALIENTES;MX-AGU
2;MEX;BAJA CALIFORNIA;MX-BCN
3;MEX;BAJA CALIFORNIA SUR;MX-BCS
4;MEX;CAMPECHE;MX-CAM
5;MEX;CHIAPAS;MX-CHP
6;MEX;CHIHUAHUA;MX-CHH
7;MEX;COAHUILA;MX-COA
8;MEX;COLIMA;MX-COL
9;MEX;CIUDAD DE MEXICO;MX-DIF
10;MEX;DURANGO;MX-DUR
11;MEX;ESTADO DE MEXICO;MX-MEX
12;MEX;GUANAJUATO;MX-GUA
13;MEX;GUERRERO;MX-GRO
14;MEX;HIDALGO;MX-HID
15;MEX;JALISCO;MX-JAL
16;MEX;MICHOACAN;MX-MIC
17;MEX;MORELOS;MX-MOR
18;MEX;NAYARIT;MX-NAY
19;MEX;NUEVO LEON;MX-NLE
20;MEX;OAXACA;MX-OAX
21;MEX;PUEBLA;MX-PUE
22;MEX;QUERETARO;MX-QUE
23;MEX;QUINTANA ROO;MX-ROO
24;MEX;SAN LUIS POTOSI;MX-SLP
25;MEX;SINALOA;MX-SIN
26;MEX;SONORA;MX-SON
27;MEX;TABASCO;MX-TAB
28;MEX;TAMAULIPAS;MX-TAM
29;MEX;TLAXCALA;MX-TLA
30;MEX;VERACRUZ;MX-VER
31;MEX;YUCATAN;MX-YUC
32;MEX;ZACATECAS;MX-ZA
