ciudad,idprovincia,codeid,latitude,longitude
Achuapa,8,,13.0537,-86.59004
Acoyapa,4,,11.97028,-85.17113
"Aguas Buenas",14,,11.71199,-84.7254
"Aguas Calientes",13,,13.86492,-86.18662
Alamikamba,17,,13.49849,-84.22357
Altagracia,15,,11.56615,-85.5784
Amparo,17,,13.65,-84.83333
Anris,17,,14.87848,-83.63244
Apante,12,,12.89722,-85.89031
Apompuá,15,,11.50628,-85.85203
"Aras Bila",17,,14.25092,-83.23579
Asang,17,,14.7257,-84.75058
"Auas Kumi",17,,14.43905,-83.27157
Auastara,17,,14.30944,-83.22529
Awasbila,17,,14.75,-84.75
Ayapal,7,,13.77888,-85.40118
"Baboon Cay",18,,12.42505,-83.43377
"Bajos de Tomatoya",1,,12.57827,-85.85915
Bakan,17,,13.53333,-84.8
Balque,15,,11.49151,-85.51635
"Bana Cruz",17,,13.81943,-84.4326
"Bar Point",18,,12.36334,-83.62037
"Barrio El Terrero",8,,12.56667,-86.6
"Barrio Pachatilla",6,,11.91626,-85.96254
"Barrio Pío XII",11,,11.90162,-86.12509
Belén,15,,11.50299,-85.88935
"Big Creek",18,,11.26833,-83.86323
"Big Point",18,,12.37465,-83.64188
Bilampí,12,,13.31426,-85.22675
Bilwaskarma,17,,14.7588,-83.88286
Bilwi,17,,14.04009,-83.3937
"Bilwi Airport",17,,14.04719,-83.38672
"Bismuna Tara",17,,14.75268,-83.40772
"Black Mangrove Cay",18,,12.48284,-83.37545
Bluefields,18,,12,-83.75
"Bluefields Airport",18,,11.99096,-83.77409
Bluenos,17,,13.35858,-84.60589
"Bluff Point",18,,12.14721,-83.06572
Boaco,1,,12.47224,-85.6586
"Boaco Department",1,,12.5,-85.5
"Boca de Cuá",7,,13.52689,-85.8173
"Boca de Kaska",18,,13.0975,-84.75842
"Boca de Kaskita",17,,13.46667,-85
"Boca de Sábalos",14,,11.05,-84.46667
"Boca de Walwaskita",17,,13.48333,-85
"Bocana de Paiwas",18,,12.78571,-85.12269
Bocaycito,7,,13.41667,-85.58333
Bodega,12,,13.08333,-84.85
Bolivia,17,,14.24257,-84.32642
Bonanza,17,,14.02885,-84.59103
"Bosawas Biosphere Reserve",16,,13.44305,-85.14404
"Bragman Bluff",17,,14.04121,-83.38464
Brasil,2,,11.72746,-86.1624
Brasilito,2,,11.84953,-86.33943
"Britain Creek",18,,11.32349,-83.86972
"Buenos Aires",17,,14.48674,-83.84318
"Buhuni Kira",17,,14.53932,-83.69764
Bulnitiban,17,,14.43673,-83.77828
Bum,17,,14.91335,-83.59579
"Cabo Gracias a Dios",17,,14.98922,-83.17201
Cacao,12,,13.06986,-85.38485
"Calle Real de Tolapa",8,,12.63415,-86.53915
Camoapa,1,,12.38383,-85.51277
Campamento,8,,12.98759,-86.48613
"Campamento Kuka Prahani",17,,14.47912,-83.79841
"Campamento Omega",17,,14.57033,-83.62019
"Caña de Oro",12,,12.78333,-85.43333
"Cañada Cerro Grande",12,,13.15,-85.51667
"Cañada de Yale",12,,13.11667,-85.66667
"Cañada El Bijao",12,,13.11667,-85.56667
"Cañada Wasaka",12,,13.14637,-85.73615
"Cane Creek",18,,11.56655,-83.74574
"Caño Mocho",18,,12.11674,-83.80639
"Cantón Los Cerros",15,,11.4491,-85.88062
"Carazo Department",2,,11.75,-86.25
Cárdenas,15,,11.19639,-85.5089
"Caserío Las Ranas",10,,12.60067,-86.23687
"Caserío Veinticuatro",11,,12.01667,-86
"Cassava Cay",18,,11.99231,-83.70118
Catarina,11,,11.91197,-86.07383
"Cayo Askill",18,,12.53642,-83.3621
"Cayo Cayman",18,,12.77322,-83.3396
"Cayo Forster",18,,12.4399,-83.41662
"Cayo French Man",18,,11.73755,-83.61205
"Cayo Little Tungawara",18,,12.49289,-83.38945
"Cayo Little Tyara",18,,12.73333,-83.4
"Cayo Maroon",18,,12.39427,-83.4624
"Cayo Medio Camino",18,,12.00417,-83.72197
"Cayo Porundo",18,,12.79473,-83.63003
"Cayo Schooner",18,,12.0758,-83.74528
"Cayo Seal",18,,12.42151,-83.28879
"Cayo Tres Hermanas",18,,11.7681,-83.66598
"Cayo Tungawara",18,,12.48064,-83.38867
"Cayo Tyara",18,,12.88855,-83.35855
"Cayos Guerrero",18,,12.75,-83.31667
"Cayos Morrison Dennis",17,,14.46667,-82.88333
"Cayos Nasa",17,,14.30633,-82.95313
Cebadía,12,,12.86667,-85.55
"Centro de Brenes",14,,11.15262,-84.39384
"Centros de Boca Negra",14,,11.13826,-84.50846
"Centros de la Toboba",14,,11.08942,-84.4827
"Centros de San Isidro",18,,12.28868,-84.10707
"Centros de Vallecillo",7,,14.16199,-85.03391
"Centros Linbasna",7,,14.15762,-85.16433
"Cerro Cabullas",13,,13.7,-86.56366
"Cerro Chachagón",7,,13.29759,-85.73482
"Cerro Chachagua",13,,13.70134,-85.89823
"Cerro Copetudo",13,,13.68969,-86.60231
"Cerro Corozal",7,,13.58326,-85.79112
"Cerro Cuisaltepe",1,,12.34104,-85.61754
"Cerro de Asososca",8,,12.45335,-86.67596
"Cerro El Diablo",7,,13.11949,-85.87971
"Cerro El Mosquito",18,,12.04802,-84.36649
"Cerro El Pajarito",5,,13.11688,-86.49318
"Cerro El Sabalete",12,,13.0808,-85.47261
"Cerro El Sangarro",13,,13.76185,-86.30498
"Cerro Jicote",13,,13.72851,-86.71436
"Cerro Kilambé",7,,13.58153,-85.69335
"Cerro Kum",7,,13.70456,-85.30143
"Cerro Kumbasca",13,,13.5486,-85.79196
"Cerro La Montaña",12,,12.79352,-86.00322
"Cerro Maquegal",13,,13.6267,-85.9523
"Cerro Miravalle",13,,13.7581,-86.64455
"Cerro Mombachito",1,,12.40658,-85.54975
"Cerro Oluma",4,,12.30161,-85.39653
"Cerro Pancasán",12,,12.9255,-85.57553
"Cerro Paraska",17,,13.32215,-85.08849
"Cerro Sitio Viejo",9,,13.5878,-86.32225
"Cerro Taika",17,,14.24109,-84.24188
"Cerro Wawasang",18,,12.54209,-84.16969
"Cerro Wawashang Natural Reserve",16,,12.80377,-84.00902
"Cerro Yeluca",5,,13.29246,-86.24462
Chichigalpa,3,,12.57758,-87.02705
Chinandega,3,,12.62937,-87.13105
"Chinandega Airport",3,,12.63333,-87.13333
"Chinandega Department",3,,12.83333,-87.08333
"Chontales Department",4,,12.08333,-85.16667
"Ciudad Antigua",13,,13.6406,-86.30815
"Ciudad Darío",12,,12.73143,-86.12402
"Ciudad Sandino",10,,12.15889,-86.34417
Clementito,18,,12.5488,-84.53793
Colón,12,,13.14355,-85.04145
"Colonia Agrícola Jericó",14,,11.71435,-84.52337
"Colonia Agrícola Jerusalén",14,,11.76667,-84.5
"Colonia Agrícola Yolaina",14,,11.6644,-84.38701
Comalapa,4,,12.28345,-85.51081
"Comarca Arenas",1,,12.51499,-85.28853
"Comarca Arranca Barba",4,,11.92084,-84.79589
"Comarca Auló",12,,13.12898,-85.17377
"Comarca Betulia",4,,12.29721,-85.22496
"Comarca Bilampí",12,,13.06282,-85.03688
"Comarca Buena Vista de Ventilla",13,,13.60226,-85.88687
"Comarca Cabeceras de Río El Almacén",14,,11.60821,-84.45467
"Comarca Carca Grande",4,,12.32336,-85.09235
"Comarca Carpas Arriba",12,,13.27441,-85.55382
"Comarca Carquita",4,,12.28461,-85.15112
"Comarca Cerro Blanco",13,,13.5371,-86.08829
"Comarca Cosmatillo",4,,12.19035,-85.24258
"Comarca de Buhbu",12,,13.12428,-85.31606
"Comarca de Cuje",9,,13.54947,-86.38801
"Comarca de Irlán",12,,13.21539,-85.1603
"Comarca de La Aduana",10,,12.03333,-86.46667
"Comarca de Pire",5,,13.30573,-86.4415
"Comarca de Wanawás",12,,13.03609,-85.20812
"Comarca El Arado",4,,11.85584,-85.09611
"Comarca El Chile",12,,13.26971,-85.34993
"Comarca El Granadino",18,,11.89519,-84.58465
"Comarca El Jicarito",8,,12.53498,-86.83095
"Comarca El Mono",18,,12.27434,-84.86044
"Comarca El Ojoche",13,,13.45796,-86.12775
"Comarca El Paraíso",14,,11.18497,-84.75755
"Comarca El Pellisco",3,,12.65,-87.05
"Comarca El Tamboral",14,,11.37563,-84.78919
