ciudad,idprovincia,codeid,latitude,longitude
Achiote,4,,9.22237,-80.01889
"Achudup Dummad",9,,9.56196,-78.8652
Achuerdup,9,,9.49175,-78.92684
Achutupo,9,,9.19827,-77.98729
"Achutupo Airport",9,,9.18768,-77.99402
Achutupu,9,,9.08998,-77.89219
Acuatupu,9,,9.45597,-78.99852
"Aeropuerto Enrique Malek",2,,8.39115,-82.43523
"Agua Blanca",3,,8.48333,-80.65
"Agua Blancas",3,,8.47497,-80.65125
"Agua Caliente",7,,7.46667,-80.6
"Agua Viva Número Uno",10,,8.31767,-81.19369
Aguacatales,10,,7.81295,-80.99267
Aguadilla,2,,8.22172,-82.24599
Aguadulce,3,,8.24146,-80.53978
"Aguadulce District",3,,8.2127,-80.61441
Aidirgandí,9,,9.36582,-78.37659
Ailigandí,9,,9.2281,-78.02778
Alanje,2,,8.39997,-82.55873
"Alanje District",2,,8.38559,-82.61884
"Albrook ""Marcos A. Gelabert"" International Airport",8,,8.97334,-79.55558
"Alcalde Díaz",8,,9.12273,-79.55667
Alfagía,4,,9.24067,-79.77699
Alfajía,4,,9.24694,-79.78611
Almirante,1,,9.30091,-82.4018
"Alto Algarrobo",2,,8.36774,-81.53608
"Alto Corrales",2,,8.42705,-82.18919
"Alto de Balbuena",10,,8.02033,-80.89172
"Alto de Capira",13,,8.73653,-79.88313
"Alto de La Estancia",3,,8.59234,-80.17643
"Alto de Llano",10,,8.23425,-81.2359
"Alto de Los Gonzáles",7,,7.61442,-80.42806
"Alto de Quebrada Conga",10,,8.09732,-81.55176
"Alto del Común",10,,7.75925,-81.39591
"Alto del Espino",13,,8.8472,-79.84105
"Alto del Llanón",10,,8.23781,-81.24894
"Alto del Marañón",3,,8.30018,-80.60786
"Alto del Quira",2,,8.66183,-82.3328
"Alto del Río",13,,8.51564,-79.99114
"Alto del Roble",2,,8.58507,-82.28914
"Alto El Marco",10,,8.10467,-81.27772
"Alto El Nance",10,,7.92813,-80.92541
"Alto El Sapo",10,,7.90644,-81.42562
"Alto Las Merejildas",12,,8.29773,-81.64279
"Alto los Mirandas",2,,8.16667,-81.61667
"Altos de Güera",7,,7.53123,-80.62094
"Altos de Martincito",10,,8.07835,-80.97321
"Altos del Higo",3,,8.62481,-80.49077
Anachukuna,9,,8.73194,-77.54766
Ancón,8,,8.78878,-79.5503
"Ancon Hill",8,,8.95757,-79.5493
Andrés,10,,7.8,-81.33333
Angulo,10,,7.7,-80.98333
Angulón,10,,7.69125,-80.9682
Antón,3,,8.39677,-80.26499
"Antón District",3,,8.46314,-80.19544
"Anton Valley",3,,8.60173,-80.13114
"Archipiélago de Bocas del Toro",1,,9.27581,-82.20611
Arraiján,13,,8.9398,-79.64038
"Arraiján District",13,,8.99861,-79.6908
"Aserrío de Gariché",2,,8.48641,-82.78932
Atalaya,10,,8.04358,-80.92482
"Atalaya District",10,,8.02001,-80.90969
"Bahía La Ballena",12,,8.9226,-82.07802
"Bahia Piña Airport",5,,7.58465,-78.18105
"Bajo Corrales",2,,8.45345,-82.13152
"Bajo El Cedro Abajo",1,,9.10564,-82.29458
"Bajos de Güera",7,,7.5436,-80.62505
"Bajos de Los Cholitos",10,,8.13074,-81.40281
Balboa,8,,8.94814,-79.56672
"Balboa District",8,,8.46667,-79
"Balboa Heights",8,,8.95,-79.55
"Barranquilla Número Tres",1,,8.91912,-82.19572
Barriles,2,,8.79806,-82.69419
"Barrio Guadalupe",2,,8.86964,-82.56226
"Barro Blanco",2,,8.23593,-81.61269
"Barro Colorado Island",13,,9.15473,-79.84806
"Barro Prieto",10,,8.24241,-80.82283
"Barú District",2,,8.34456,-82.88802
Baules,2,,8.56578,-82.32129
Bayano,7,,7.94484,-80.34098
Bejuco,13,,8.60501,-79.88654
Berba,2,,8.38391,-82.81417
"Besikó District",12,,8.54863,-82.0898
"Boca de Los Ríos",3,,8.6276,-80.45223
"Boca de Parita",6,,8.01114,-80.45065
"Boca del Río Guariviara",12,,8.93862,-81.97311
"Boca del Río Pacora",8,,9.02574,-79.29742
Bocalatum,2,,8.58676,-82.58786
"Bocas Del Toro",1,,9.33333,-82.23333
"Bocas del Toro District",1,,9.36235,-82.26288
"Bocas del Toro ""Isla Colón"" International Airport",1,,9.34085,-82.25084
"Bocas del Toro Province",1,,9.2,-82.46667
Boquerón,2,,8.50773,-82.5707
"Boquerón District",2,,8.61667,-82.56667
Boquete,2,,8.78024,-82.44136
"Boquete District",2,,8.75666,-82.41717
"Buena Vista",4,,9.27389,-79.6958
Bugaba,2,,8.48606,-82.62023
"Bugaba District",2,,8.54529,-82.68467
Burica,2,,8.03389,-82.86866
"Cabra Número Dos",8,,9.17915,-79.3867
Cacao,13,,8.76016,-80.01342
Caimitillo,8,,9.15912,-79.53656
"Caimito Centro",10,,8.26014,-81.4031
Calabazal,2,,8.33654,-82.50718
"Callejones Número Dos",10,,7.57316,-80.90393
"Calobre District",10,,8.37549,-80.8381
"Calzada Larga",8,,9.17447,-79.56259
Campana,8,,8.71284,-79.90957
"Caña Brava",7,,7.44904,-80.3065
"Caña Brava Número Uno",7,,7.87564,-80.4831
Cañafístulo,7,,7.72158,-80.39247
Cañazas,10,,8.32004,-81.21152
"Cañazas District",10,,8.35596,-81.28633
Canoa,12,,8.43858,-81.77933
Capellanía,3,,8.30222,-80.55326
Capetí,11,,8.06009,-77.57329
Capira,13,,8.7584,-79.8776
"Capira District",13,,8.78986,-80.01806
"Capt. J. Montenegro Airport",7,,7.55676,-80.0233
"Careening Cay",1,,9.3461,-82.23177
"Carti Airport",9,,9.453,-78.979
"Cartí Sugtupu",9,,9.47065,-78.96119
"Cartí Tupile",9,,9.47649,-78.96058
Catalina,10,,8.14932,-81.3739
Cativá,4,,9.36218,-79.83232
Catival,7,,7.43977,-80.14622
"Cayo Chicheme",9,,9.58591,-78.8785
"Cayo Coral",1,,9.24352,-82.13827
"Cayo Douglas",1,,9.24471,-82.16416
"Cayo Zapatilla",1,,9.26438,-82.05258
"Cayos Coco Bandero",9,,9.53333,-78.65
"Cayos Holandeses",9,,9.57833,-78.72583
"Cayos Kusapín",12,,9.19054,-81.89065
Celmira,2,,8.54508,-82.80207
Cémaco,11,,8.08285,-77.5421
"Cerro Achugalu Yar",5,,8.69575,-77.62076
"Cerro Aguacate",13,,8.77648,-79.96555
"Cerro Aguilucho",7,,7.52224,-80.67745
"Cerro Ají",3,,8.92582,-80.21092
"Cerro Almorzadero",13,,8.81033,-79.98493
"Cerro Amagua",8,,9.36753,-78.7416
"Cerro Azul",8,,9.15735,-79.42097
"Cerro Bruja",4,,9.47727,-79.56509
"Cerro Cama",13,,9.02802,-79.90744
"Cerro Cucharón",10,,8.25769,-81.14682
"Cerro de Casa Número Dos",10,,8.10605,-81.55799
"Cerro de Espíritu Los Santos",13,,8.9424,-80.06172
"Cerro del Hinojal",4,,8.96577,-80.13221
"Cerro Dos Bocas",1,,9.38489,-82.54064
"Cerro Echandi",7,,9.03064,-82.81981
"Cerro El Barnizal",7,,7.62487,-80.29312
"Cerro El Bujo",10,,8.45441,-81.38002
"Cerro El Ensillado",6,,7.84112,-80.7041
"Cerro El Eslabón",10,,8.11188,-81.49396
"Cerro El Picacho de Olá",3,,8.39532,-80.66614
"Cerro Ensillado",10,,8.18576,-81.48964
"Cerro Escobal",3,,8.63498,-80.36607
"Cerro Fábrega",1,,9.11701,-82.8744
"Cerro Farfán",13,,8.93802,-79.57023
"Cerro Frionera",12,,8.50398,-81.31542
"Cerro Itamut",1,,9.09678,-82.87834
"Cerro Picacho",2,,8.89536,-82.63802
"Cerro Pirre",5,,7.9275,-77.7025
"Cerro Punta",2,,8.85586,-82.57747
"Cerro Santiago",12,,8.50228,-81.74341
"Cerro Santo Domingo",4,,9.45094,-79.66756
"Cerro Tacarcuna",5,,8.16608,-77.29573
"Cerro Vigía",7,,7.53547,-80.37687
"Chagres District",4,,9.123,-80.11841
Chame,13,,8.58148,-79.88433
"Chame District",13,,8.61708,-79.91798
Changuinola,1,,9.43,-82.52
"Changuinola/Captain Manuel Nino Airport",1,,9.45588,-82.51724
"Changuinola District",1,,9.36667,-82.68333
"Charco Azul",2,,8.21667,-82.86667
"Chepigana District",5,,7.92393,-77.94053
Chepo,6,,7.72864,-80.82341
"Chepo District",8,,9.17391,-78.70374
Chicá,8,,8.66609,-79.93828
Chichica,12,,8.36446,-81.66715
Chigoré,3,,8.53035,-80.35117
Chilibre,8,,9.15403,-79.62019
Chimán,8,,8.84806,-78.70889
"Chimán District",8,,8.80252,-78.63686
Chiriquí,2,,8.39707,-82.32162
"Chiriqui Grande",1,,8.95,-82.11667
"Chiriquí Grande District",1,,8.94748,-82.12418
"Chiriquí Province",2,,8.5,-82.41667
Chitré,6,,7.96082,-80.42944
"Chitré District",6,,7.98333,-80.43333
Chorrerita,3,,8.29936,-80.37907
Chucunaque,8,,8.323,-78.93237
Chuluganti,8,,9.26334,-78.7756
"Churuquita Chiquita",3,,8.57347,-80.27652
"Churuquita Grande",3,,8.59941,-80.27064
"Cieneguita Abajo",2,,8.30406,-81.9916
Cochea,2,,8.59802,-82.4202
Coclé,3,,8.46515,-80.41547
"Coclé del Norte",4,,9.0754,-80.57177
"Coco Solo",4,,9.37091,-79.88168
Cocolí,8,,8.98449,-79.59775
"Cocuyé Abajo",4,,9.55517,-79.1337
"Cocuyé Arriba",4,,9.55,-79.1
Coetupo,9,,8.90308,-77.69567
Colón,4,,9.35451,-79.90011
"Colón District",4,,9.23333,-79.78333
"Colon Free Zone",4,,9.35263,-79.89588
Coloncito,13,,8.56284,-79.89502
Comanae,12,,8.8363,-82.00239
"Contadora Island",8,,8.62727,-79.03702
"Corazón de Jesús",9,,9.44563,-78.58276
"Corazon De Jesus Airport",9,,9.44684,-78.57591
"Corazón de Jesús Island",9,,9.44589,-78.58284
Cordillera,2,,8.70851,-82.60118
"Cordillera del Montuoso",6,,7.73095,-80.86466
Corecucón,12,,8.88509,-82.02778
Coredo,5,,8.57304,-78.17732
Corozal,10,,7.90332,-81.46703
"Corozal de Bayano",8,,8.99748,-79.10345
Corozo,12,,8.49516,-82.03972
"Corregimiento Achiote",4,,9.2,-80.03333
"Corregimiento Agua de Salud",12,,8.45,-81.41667
"Corregimiento Aguadulce",3,,8.23072,-80.57684
"Corregimiento Ailigandí",9,,9.23333,-78.15
"Corregimiento Alanje",2,,8.40249,-82.55818
"Corregimiento Alto Caballero",12,,8.31667,-81.66667
"Corregimiento Altos de Güera",7,,7.5,-80.6
"Corregimiento Amador",13,,9.05,-79.91667
"Corregimiento Amelia Denis de Icaza",8,,9.03688,-79.51649
"Corregimiento Ancón",8,,9.05,-79.61667
"Corregimiento Antón",3,,8.4,-80.26667
"Corregimiento Coclé del Norte",4,,8.98333,-80.65
"Corregimiento Cordillera",2,,8.76667,-82.61667
"Corregimiento Corozal",7,,7.74702,-80.46338
"Corregimiento Corral Falso",10,,8.21984,-80.89463
"Corregimiento Cristóbal",4,,9.184,-79.7366
"Corregimiento Cuango",4,,9.51667,-79.33333
"Corregimiento Curundú",8,,8.9797,-79.53768
"Corregimiento David",2,,8.45,-82.43333
"Corregimiento Divalá",2,,8.39719,-82.6866
"Corregimiento Dolega",2,,8.56667,-82.43333
"Corregimiento Dos Ríos",2,,8.54127,-82.39068
"Corregimiento El Alto",10,,8.55489,-81.0211
"Corregimiento El Arado",13,,8.96667,-79.76667
"Corregimiento El Barrito",10,,7.98333,-80.93333
"Corregimiento El Bebedero",7,,7.41667,-80.48333
"Corregimiento El Cacao",7,,7.43333,-80.41667
"Corregimiento El Calabacito",6,,7.70888,-80.59425
"Corregimiento El Cañafístulo",7,,7.61667,-80.23333
"Corregimiento El Caño",3,,8.43333,-80.53333
"Corregimiento El Capurí",6,,7.72769,-80.65063
"Corregimiento El Carate",7,,7.73333,-80.31667
"Corregimiento El Cedro",6,,7.68641,-80.64831
"Corregimiento El Chirú",3,,8.35,-80.21667
"Corregimiento El Cocal",7,,7.73333,-80.26667
"Corregimiento El Coclá",10,,8.33333,-80.9
"Corregimiento El Coco",3,,8.41667,-80.35
"Corregimiento El Copé",3,,8.46667,-80.7
"Corregimiento El Cortezo",7,,7.41667,-80.65
"Corregimiento El Cristo",3,,8.26667,-80.65
"Corregimiento El Cuay",10,,8.45,-81.11667
"Corregimiento El Espinal",7,,7.83333,-80.33333
"Corregimiento El Espino",13,,8.51667,-80.01667
"Corregimiento El Guabo",4,,9.1,-80.08333
"Corregimiento El Guásimo",7,,7.83333,-80.51667
"Corregimiento El Harino",3,,8.66667,-80.63333
"Corregimiento El Higo",13,,8.45,-80.05
"Corregimiento El Líbano",13,,8.61027,-79.80441
"Corregimiento El Llano",8,,9.15838,-78.89079
"Corregimiento El Macano",7,,7.68333,-80.4
"Corregimiento El Manantial",7,,7.78333,-80.21667
"Corregimiento El Marañón",10,,8,-81.26667
"Corregimiento El María",10,,8,-81.45
"Corregimiento El Muñoz",7,,7.66667,-80.31667
"Corregimiento El Nancito",2,,8.25,-81.75
"Corregimiento El Palmar",3,,8.55,-80.7
"Corregimiento El Pantano",10,,8.56667,-81.06667
"Corregimiento El Pedregoso",7,,7.70585,-80.32579
"Corregimiento El Picacho",3,,8.38333,-80.63333
"Corregimiento El Piro",12,,8.23306,-81.51476
"Corregimiento El Potrero",10,,8.38333,-80.81667
"Corregimiento El Prado",10,,8.22862,-81.48656
"Corregimiento El Real de Santa María",5,,8.05,-77.71667
"Corregimiento El Retiro",3,,8.43333,-80.16667
"Corregimiento El Rincón",6,,8.1,-80.6
