ciudad,idprovincia,codeid,latitude,longitude
Abancay,3,,-13.63389,-72.88139
"Abancay Province",3,,-13.72569,-72.8385
Acarí,4,,-15.42393,-74.61361
"Acobamba Province",9,,-12.80264,-74.58371
"Acomayo Province",8,,-13.95575,-71.6563
"Aija Province",2,,-9.77803,-77.66454
"Alerta Airport",17,,-11.65018,-69.22942
Allincapac,21,,-13.90977,-70.40787
"Allpahuayo-Mishana National Reserve",16,,-3.93208,-73.60703
"Alto Amazonas Province",16,,-5.81276,-76.10229
Amazonas,1,,-5,-78.23333
"Ambo Province",10,,-10.22091,-76.22729
Ancash,2,,-9.5,-77.75
Andahuaylas,3,,-13.65556,-73.38722
"Andahuaylas Airport",3,,-13.70641,-73.35038
"Andahuaylas Province",3,,-13.77195,-73.40231
"Andoas Airport",16,,-2.79671,-76.46562
"Angaraes Province",9,,-13.04307,-74.62717
"Anta Huaraz",2,,-9.34744,-77.59839
"Anta Province",8,,-13.48883,-72.36923
"Antabamba Province",3,,-14.45336,-72.72926
"Antonio Raymondi Province",2,,-9.11311,-77.05249
"Apacheta Limani",18,,-17.01278,-70.49125
"Apurímac Department",3,,-14,-73
Arequipa,4,,-16,-72.25
"Arequipa Province",4,,-16.34987,-71.50827
Ascope,13,,-7.72414,-79.15151
"Asentamiento Humano Tutumo",15,,-12.58436,-76.60647
"Asunción Province",2,,-9.18987,-77.39878
Atalaya,25,,-10.73067,-73.75867
"Ayabaca Province",20,,-4.71384,-79.80356
Ayacucho,5,,-14,-74.25
Ayaviri,21,,-14.88639,-70.58889
"Aymaraes Province",3,,-14.35286,-73.24043
Azángaro,21,,-14.90843,-70.19616
"Azángaro Province",21,,-14.79061,-70.16047
"Bagua Province",1,,-5.09006,-78.39972
"Bahuaja-Sonene National Park",21,,-13.50924,-69.57376
Barranca,15,,-10.66599,-77.65707
Belen,16,,-3.76016,-73.2497
Bellavista,22,,-7.63825,-76.31932
"Bolívar Province",13,,-7.30143,-77.73086
"Bolognesi Province",2,,-10.10723,-77.14804
"Bongará Province",1,,-5.68341,-77.87308
"Caballococha Airport",16,,-3.91686,-70.5082
"Cajabamba Province",6,,-7.55637,-78.08903
Cajamarca,6,,-7.13918,-78.4894
"Cajamarca Department",6,,-6.25,-78.83333
"Cajamarca Province",6,,-7.19721,-78.46559
"Cajatambo Province",15,,-10.52469,-77.02233
"Calca Province",8,,-12.97288,-72.04383
Callao,7,,-11.94753,-77.10365
Camaná,4,,-16.62375,-72.71055
"Camaná Province",4,,-16.4741,-72.76633
"Canas Province",8,,-14.45231,-71.33615
"Canchis Province",8,,-14.08035,-71.12653
Candarave,23,,-17.11397,-70.30211
"Cañete Province",15,,-12.77871,-76.38438
"Cangallo Province",5,,-13.573,-74.389
"Canta Province",15,,-11.46667,-76.61667
"Capitán FAP Renán Elías Olivera Airport",11,,-13.74486,-76.22028
"Carabaya Province",21,,-13.84769,-70.22288
Caral,15,,-10.88872,-77.50359
