"cuenta";"descripcion";"cuentaesp"
"1";"Activo disponible y exigible";""
"10";"Efectivo y equivalentes de efectivo";""
"101";"Caja";""
"102";"Fondos fijos";""
"103";"Efectivo y cheques en tránsito";""
"1031";"Efectivo en tránsito";""
"1032";"Cheques en tránsito";""
"104";"Cuentas corrientes en instituciones financieras";""
"1041";"Cuentas corrientes operativas";""
"1042";"Cuentas corrientes para fines específicos";""
"105";"Otros equivalentes de efectivo";""
"1051";"Otro equivalentes de efectivo";""
"106";"Depósitos en instituciones financieras";""
"1061";"Depósitos de ahorro";""
"1062";"Depósitos a plazo";""
"107";"Fondos sujetos a restricción";""
"1071";"Fondos en garantía";""
"1072";"Fondos retenidos por mandato de la autoridad";""
"1073";"Otros fondos sujetos a restricción";""
"11";"Inversiones financieras";""
"111";"Inversiones mantenidas para negociación";""
"1111";"Valores emitidos o garantizados por el estado";""
"11111";"Costo";""
"11112";"Valor razonable";""
"1112";"Valores emitidos por el sistema financiero";""
"11121";"Costo";""
"11122";"Valor razonable";""
"1113";"Valores emitidos por entidades";""
"11131";"Costo";""
"11132";"Valor razonable";""
"1114";"Otros títulos representativos de deuda";""
"11141";"Costo";""
"11142";"Valor razonable";""
"1115";"Participaciones en entidades";""
"11151";"Costo";""
"11152";"Valor razonable";""
"112";"Otras inversiones financieras";""
"1121";"Otras inversiones financieras";""
"11211";"Costo";""
"11212";"Valor razonable";""
"113";"Activos financieros – acuerdo de compra";""
"1131";"Inversiones mantenidas para negociación – acuerdo de compra";""
"11311";"Costo";""
"11312";"Valor razonable";""
"1132";"Otras inversiones financieras";""
"11321";"Costo";""
"11322";"Valor razonable";""
"12";"Cuentas por cobrar comerciales – terceros";""
"121";"Facturas, boletas y otros comprobantes por cobrar";""
"1211";"No emitidas";""
"1212";"Emitidas en cartera";""
"1213";"En cobranza";""
"1214";"En descuento";""
"122";"Anticipos de clientes";""
"123";"Letras por cobrar";""
"1232";"En cartera";""
"1233";"En cobranza";""
"1234";"En descuento";""
"13";"Cuentas por cobrar comerciales – relacionadas";""
"131";"Facturas, boletas y otros comprobantes por cobrar";""
"1311";"No emitidas";""
"1312";"En cartera";""
"1313";"En cobranza";""
"1314";"En descuento";""
"132";"Anticipos recibidos";""
"1321";"Anticipos recibidos";""
"133";"Letras por cobrar";""
"1331";"En cartera";""
"1332";"En cobranza";""
"1333";"En descuento";""
"14";"Cuentas por cobrar al personal, a los accionistas (socios) y";""
"";"Directores";""
"141";"Personal";""
"1411";"Préstamos";""
"1412";"Adelanto de remuneraciones";""
"1413";"Entregas a rendir cuenta";""
"1419";"Otras cuentas por cobrar al personal";""
"142";"Accionistas (o socios)";""
"1421";"Suscripciones por cobrar a socios o accionistas";""
"1422";"Préstamos";""
"143";"Directores";""
"1431";"Préstamos";""
"1432";"Adelanto de dietas";""
"1433";"Entregas a rendir cuenta";""
"149";"Diversas";""
