idprovincia,codpais,provincia,codisoprov,latitude,longitude
1,PER,Amazonas,,-5.77031,-78.3285
2,PER,Ancash,,-10.15038,-77.1563
3,PER,"Apurímac Department",,-13.86387,-73.17681
4,PER,Arequipa,,-15.20389,-71.87972
5,PER,Ayacucho,,-13.83333,-74.16667
6,PER,"Cajamarca Department",,-5.157,-79.273
7,PER,Callao,,-11.94753,-77.10365
8,PER,"Cuzco Department",,-13.76667,-71.3
9,PER,Huancavelica,,-13.36366,-75.09037
10,PER,"Huánuco Department",,-10.24111,-76.64556
11,PER,Ica,,-13.63514,-76.39772
12,PER,Junin,,-11.95,-75.91667
13,PER,"La Libertad",,-7.78538,-77.92586
14,PER,Lambayeque,,-6.91888,-79.582
15,PER,"Lima region",,-11.57997,-77.2702
16,PER,Loreto,,-3.76016,-73.2497
17,PER,"Madre de Dios",,-12.90686,-69.41986
18,PER,"Moquegua Department",,-17.03142,-70.52802
19,PER,Pasco,,-10.76771,-76.27523
20,PER,Piura,,-5.18591,-80.66927
21,PER,Puno,,-14.51446,-69.61182
22,PER,"San Martín Department",,-7.68151,-77.28661
23,PER,Tacna,,-16.92792,-70.39456
24,PER,Tumbes,,-3.5,-80.48333
25,PER,Ucayali,,-10.73067,-73.75867
