ciudad,idprovincia,codeid,latitude,longitude
"Abra Honda Barrio",27,,18.42231,-66.84899
"Abras Barrio",47,,18.35711,-66.31722
"Aceitunas Barrio",99,,18.43722,-67.06763
"Achiote Barrio",105,,18.31325,-66.2473
Adjuntas,1,,18.16274,-66.72212
"Adjuntas Pueblo Barrio",1,,18.16379,-66.72369
"Aeropuerto de Dorado",51,,18.46245,-66.29211
"Aguacate Barrio",151,,18.09112,-65.86026
Aguada,3,,18.3605,-67.17463
"Aguada Barrio-Pueblo",3,,18.38021,-67.18864
Aguadilla,5,,18.42745,-67.15407
"Aguadilla Barrio-Pueblo",5,,18.42449,-67.15479
"Aguas Blancas Barrio",153,,18.12181,-66.82338
"Aguas Buenas",7,,18.2569,-66.10294
"Aguas Buenas Barrio-Pueblo",7,,18.25671,-66.10524
"Aguirre Barrio",123,,17.95253,-66.25988
Aibonito,9,,18.13996,-66.266
"Aibonito Barrio",131,,18.37305,-66.94227
"Aibonito Barrio-Pueblo",9,,18.13819,-66.26417
"Ala de la Piedra Barrio",107,,18.18099,-66.51174
"Algarrobo Barrio",153,,18.08131,-66.86514
"Algarrobos Barrio",97,,18.22967,-67.16687
"Almácigo Alto Barrio",153,,18.06397,-66.87796
"Almácigo Bajo Barrio",153,,18.04938,-66.86656
"Almirante Norte Barrio",145,,18.41529,-66.36849
"Almirante Sur Barrio",145,,18.37489,-66.38144
"Alto Sano Barrio",131,,18.29794,-67.03043
"Amuelas Barrio",75,,18.037,-66.50146
Añasco,11,,18.28273,-67.13962
"Añasco Abajo Barrio",11,,18.27503,-67.17411
"Añasco Arriba Barrio",11,,18.27597,-67.14704
"Añasco Barrio-Pueblo",11,,18.28291,-67.14137
"Ancones Barrio",125,,18.07059,-67.04691
"Angeles Barrio",141,,18.29168,-66.80214
"Anón Barrio",113,,18.14292,-66.59066
"Anones Barrio",105,,18.27154,-66.24365
"Antón Ruíz Barrio",69,,18.1794,-65.78631
"Antonio (Nery) Juarbe Pol Airport",13,,18.45006,-66.67496
"Antonio Rivera Rodríguez Airport",147,,18.13478,-65.49035
"Apeadero Barrio",109,,18.01924,-65.98307
Arecibo,13,,18.40411,-66.67462
"Arecibo Barrio-Pueblo",13,,18.47359,-66.72095
"Arena Barrio",55,,18.01832,-66.93966
"Arenalejos Barrio",13,,18.42674,-66.66939
"Arenales Altos Barrio",71,,18.42674,-67.02321
"Arenales Bajos Barrio",71,,18.45921,-67.02469
"Arenales Barrio",5,,18.4711,-67.10667
"Arenas Barrio",141,,18.24104,-66.70793
Arroyo,15,,17.9658,-66.06128
"Arroyo Barrio-Pueblo",15,,17.96323,-66.0626
"Arrozal Barrio",13,,18.38326,-66.64992
"Asomante Barrio",9,,18.13236,-66.30395
"Atalaya Barrio",117,,18.31447,-67.19764
"Bahomamey Barrio",131,,18.34058,-66.99434
"Bairoa Barrio",25,,18.25994,-66.03967
"Bajo Barrio",109,,17.97983,-65.99078
"Bajura Adentro Barrio",91,,18.4105,-66.52578
"Bajura Afuera Barrio",91,,18.43228,-66.51167
"Bajura Barrio",143,,18.41451,-66.34694
"Barahona Barrio",101,,18.35936,-66.44783
Barceloneta,17,,18.4505,-66.53851
"Barceloneta Barrio-Pueblo",17,,18.45464,-66.53853
"Barina Barrio",153,,17.99168,-66.84787
"Barrancas Barrio",19,,18.21862,-66.3159
Barranquitas,19,,18.20357,-66.31211
"Barranquitas Barrio-Pueblo",19,,18.18476,-66.31017
"Barrazas Barrio",31,,18.31214,-65.93606
"Barreal Barrio",111,,18.1051,-66.75305
"Barrero Barrio",117,,18.30397,-67.23105
"Barros Barrio",107,,18.24739,-66.41241
"Bartolo Barrio",81,,18.19991,-66.84923
"Bateyes Barrio",97,,18.20778,-67.06992
"Bauta Abajo Barrio",107,,18.19528,-66.46926
"Bauta Arriba Barrio",107,,18.18196,-66.3878
Bayamón,21,,18.35217,-66.17044
"Bayamón Barrio",41,,18.18723,-66.1504
"Bayamón Barrio-Pueblo",21,,18.39531,-66.15103
"Bayamoncito Barrio",7,,18.23583,-66.15962
"Bayaney Barrio",65,,18.35215,-66.80662
"Beatriz Barrio",41,,18.15666,-66.11668
"Bejucos Barrio",71,,18.49454,-67.04265
"Benavente Barrio",67,,18.11689,-67.10572
"Benjamín Rivera Noriega Airport",49,,18.31178,-65.30315
"Bermejales Barrio",107,,18.17504,-66.4225
"Boca Barrio",59,,17.97181,-66.81577
"Boca Velázquez Barrio",133,,17.96651,-66.42092
