idprovincia,codpais,provincia,codisoprov,latitude,longitude
1,PRI,Adjuntas,,18.1624,-66.80166
3,PRI,Aguada,,18.35937,-67.13822
5,PRI,Aguadilla,,18.4964,-67.13789
7,PRI,"Aguas Buenas",,18.2636,-66.16303
9,PRI,Aibonito,,18.15051,-66.28556
11,PRI,Añasco,,18.30936,-67.10668
13,PRI,Arecibo,,18.48274,-66.6444
15,PRI,Arroyo,,17.97639,-66.06665
17,PRI,Barceloneta,,18.45891,-66.56519
19,PRI,Barranquitas,,18.17936,-66.26899
21,PRI,Bayamón,,18.40254,-66.13813
23,PRI,"Cabo Rojo",,18.05164,-67.12753
25,PRI,Caguas,,18.21147,-66.08221
27,PRI,Camuy,,18.48486,-66.84662
29,PRI,Canóvanas,,18.28164,-65.8927
31,PRI,Carolina,,18.40805,-65.94632
33,PRI,Cataño,,18.43986,-66.11973
35,PRI,Cayey,,18.08543,-66.19759
37,PRI,Ceiba,,18.25466,-65.61874
39,PRI,Ciales,,18.32106,-66.46676
41,PRI,Cidra,,18.15203,-66.20882
43,PRI,Coamo,,18.05733,-66.40782
45,PRI,Comerío,,18.25425,-66.19635
47,PRI,Corozal,,18.26367,-66.31395
49,PRI,Culebra,,18.31316,-65.2543
51,PRI,Dorado,,18.4637,-66.23656
53,PRI,Fajardo,,18.3133,-65.67105
54,PRI,Florida,,18.37344,-66.56017
55,PRI,Guánica,,17.96869,-66.91186
57,PRI,Guayama,,17.95541,-66.12152
59,PRI,Guayanilla,,18.02673,-66.77592
61,PRI,Guaynabo,,18.31433,-66.11567
63,PRI,Gurabo,,18.24443,-65.95657
65,PRI,Hatillo,,18.48533,-66.8254
67,PRI,Hormigueros,,18.13427,-67.10084
69,PRI,Humacao,,18.12618,-65.85269
71,PRI,Isabela,,18.44231,-66.97203
73,PRI,Jayuya,,18.26253,-66.57781
75,PRI,"Juana Díaz",,18.05991,-66.50709
77,PRI,Juncos,,18.23977,-65.93435
79,PRI,Lajas,,17.99052,-67.09879
81,PRI,Lares,,18.29601,-66.88141
83,PRI,"Las Marías",,18.23004,-66.99798
85,PRI,"Las Piedras",,18.18271,-65.86603
87,PRI,Loíza,,18.43202,-65.87958
89,PRI,Luquillo,,18.35787,-65.75335
91,PRI,Manatí,,18.43104,-66.4863
93,PRI,Maricao,,18.16103,-66.94742
95,PRI,Maunabo,,18.02167,-65.9388
97,PRI,Mayagüez,,18.1672,-67.10542
99,PRI,Moca,,18.36854,-67.04932
101,PRI,Morovis,,18.35531,-66.41848
103,PRI,Naguabo,,18.22738,-65.70426
105,PRI,Naranjito,,18.31785,-66.26856
107,PRI,Orocovis,,18.26069,-66.38982
109,PRI,Patillas,,18.0146,-66.00261
111,PRI,Peñuelas,,18.0778,-66.76179
113,PRI,Ponce,,18.10064,-66.59117
115,PRI,Quebradillas,,18.38897,-66.91017
117,PRI,Rincón,,18.3256,-67.20269
119,PRI,"Río Grande",,18.33338,-65.76759
121,PRI,"Sabana Grande",,18.05647,-66.94091
123,PRI,Salinas,,18.03668,-66.25429
125,PRI,"San Germán",,18.07954,-67.06683
127,PRI,"San Juan",,18.4048,-66.0586
129,PRI,"San Lorenzo",,18.15902,-65.99945
131,PRI,"San Sebastián",,18.30835,-66.94364
133,PRI,"Santa Isabel",,18.00671,-66.35842
135,PRI,"Toa Alta",,18.36098,-66.25643
137,PRI,"Toa Baja",,18.40821,-66.21705
139,PRI,"Trujillo Alto",,18.32574,-66.00592
141,PRI,Utuado,,18.30284,-66.59347
143,PRI,"Vega Alta",,18.41352,-66.31274
145,PRI,"Vega Baja",,18.46408,-66.38138
147,PRI,Vieques,,18.09566,-65.52347
149,PRI,Villalba,,18.12484,-66.4905
151,PRI,Yabucoa,,18.07997,-65.88885
153,PRI,Yauco,,18.03287,-66.8322
