ciudad,idprovincia,codeid,latitude,longitude
"A dos Francos",13,,39.32272,-9.04743
Abrantes,18,,39.46667,-8.2
"Abrantes Municipality",18,,39.47165,-8.17533
Abraveses,22,,40.68137,-7.92102
Abrigada,14,,39.14416,-9.01853
Adaúfe,4,,41.58732,-8.39817
"Afurada de Baixo",17,,41.14389,-8.64639
"Água de Pau",23,,37.72142,-25.5117
"Aguada de Cima",2,,40.52291,-8.427
"Águas Santas",17,,41.21017,-8.57599
Aguçadoura,17,,41.43116,-8.77844
"Agueda Municipality",2,,40.58052,-8.42542
"Aguiar da Beira Municipality",11,,40.78319,-7.52691
Ajuda,14,,38.70031,-9.20805
"Alandroal Municipality",8,,38.62924,-7.36599
"Albarquel Beach",19,,38.51086,-8.91563
"Albarquel Urban Park",19,,38.51498,-8.90821
"Albergaria-A-Velha Municipality",2,,40.68706,-8.50399
Albufeira,9,,37.08819,-8.2503
"Albufeira Municipality",9,,37.08341,-8.26139
Alcabideche,14,,38.73366,-9.40928
"Alcácer do Sal",19,,38.37326,-8.51444
"Alcácer do Sal Municipality",19,,38.3882,-8.50011
Alcains,6,,39.91642,-7.45655
Alcanede,18,,39.41501,-8.82189
Alcanena,18,,39.459,-8.66892
"Alcanena Municipality",18,,39.46746,-8.68831
Alcanhões,18,,39.29603,-8.65847
Alcobaça,13,,39.55223,-8.97749
"Alcobaça Municipality",13,,39.55441,-8.98833
"Alcochete Municipality",19,,38.73827,-8.97936
"Alcoutim Municipality",9,,37.424,-7.65456
"Aldeia de Paio Pires",19,,38.61667,-9.08333
"Alenquer Municipality",14,,39.06487,-9.00707
Alentejo,14,,38.5,-8
"Alfândega da Fé Municipality",5,,41.3495,-6.95063
Alfarelos,7,,40.15057,-8.65326
Alfeizerão,13,,39.49971,-9.10341
Alfena,17,,41.23671,-8.52454
Alferrarede,18,,39.48333,-8.16667
Alfragide,14,,38.73203,-9.2192
Algés,14,,38.70245,-9.22936
Algoz,9,,37.16301,-8.30359
Algueirão,14,,38.79764,-9.3437
Alhadas,7,,40.18607,-8.79057
Alhandra,14,,38.92732,-9.00864
"Alhos Vedros",19,,38.65486,-9.02368
Alijó,21,,41.27644,-7.47489
"Alijó Municipality",21,,41.28447,-7.48545
"Aljezur Municipality",9,,37.30856,-8.80486
Aljubarrota,13,,39.56715,-8.92925
"Aljustrel Municipality",3,,37.90559,-8.19304
Almada,19,,38.67902,-9.1569
"Almada Municipality",19,,38.68399,-9.14955
Almancil,9,,37.08686,-8.03074
Almeida,11,,40.7307,-6.90594
Almeirim,18,,39.20837,-8.62635
"Almeirim Municipality",18,,39.15781,-8.59004
"Almodôvar Municipality",3,,37.4959,-8.09372
Alpendurada,17,,41.08944,-8.24643
"Alpiarça Municipality",18,,39.23882,-8.56336
"Alter do Chão",16,,39.19741,-7.65893
"Alter do Chão Municipality",16,,39.23098,-7.7443
"Alvaiázere Municipality",13,,39.81951,-8.38858
Alvalade,14,,38.75328,-9.14397
"Alverca Airbase",14,,38.88375,-9.02947
"Alvito Municipality",3,,38.24653,-8.05038
Alvor,9,,37.12994,-8.59174
Alvorninha,13,,39.38224,-9.03674
Amadora,14,,38.75382,-9.23083
"Amadora Municipality",14,,38.75571,-9.22342
"Amarante Municipality",17,,41.2705,-8.06503
"Amares Municipality",4,,41.64718,-8.35558
"Amiães de Baixo",18,,39.44296,-8.73358
Amor,13,,39.80404,-8.85984
