idprovincia,codpais,provincia,codisoprov,latitude,longitude
2,PRT,Aveiro,,40.91583,-8.64583
3,PRT,Beja,,37.70126,-8.48509
4,PRT,Braga,,41.55348,-8.33604
5,PRT,Bragança,,41.24696,-7.27594
6,PRT,"Castelo Branco",,39.80205,-8.09589
7,PRT,Coimbra,,39.96363,-8.36524
8,PRT,Évora,,38.74038,-7.23957
9,PRT,Faro,,37.11614,-8.51941
10,PRT,Madeira,,32.75104,-17.20433
11,PRT,Guarda,,40.55364,-7.22594
13,PRT,Leiria,,39.68853,-8.89423
14,PRT,Lisbon,,38.83333,-9.43333
16,PRT,Portalegre,,39.36413,-7.75064
17,PRT,Porto,,41.21041,-8.45488
18,PRT,Santarém,,39.40474,-8.48625
19,PRT,Setúbal,,38.66808,-9.05204
20,PRT,"Viana do Castelo",,42.02418,-8.63474
21,PRT,"Vila Real",,41.2317,-7.79711
22,PRT,Viseu,,40.51682,-8.08087
23,PRT,Azores,,36.98322,-25.09079
