ciudad,idprovincia,codeid,latitude,longitude
"13 De Junio",10,,-25.71825,-56.46206
"1ro De Marzo",19,,-24.20212,-54.69553
"1ro De Mayo",19,,-24.05267,-54.30454
"2 M Corazon Yetuty",17,,-24.19853,-56.95591
"25 De Diciembre",17,,-24.77256,-56.80126
"26 De Marzo",1,,-24.84265,-55.09574
"3 De Febrero",4,,-25.21261,-55.80808
"3 De Mayo",5,,-26.40549,-56.06766
"6 De Enero",17,,-24.85174,-56.35796
Abaí,5,,-26.03848,-55.94685
Acahay,15,,-25.91409,-57.11329
"Acosta Ñu",6,,-25.41754,-57.54296
"Agrícola Itabó",1,,-25.03405,-54.50816
Agropeco,1,,-26.08072,-55.17612
Aguara,2,,-23.3536,-55.74018
Alberdi,13,,-26.18593,-58.14349
Almada,8,,-25.31887,-57.12118
"Alto Chaco",24,,-21.41667,-60
"Alto Paraguay",23,,-20.5,-59.16667
"Alto Verá",11,,-26.75291,-55.76828
"Altos District",8,,-25.24593,-57.22165
"Amambay Department",2,,-22.83333,-55.95
Antequera,17,,-24.08526,-57.20221
Arasa,13,,-26.9,-58.33333
Arasape,12,,-26.56667,-56.95
Arecutacuá,8,,-25.1,-57.38333
Aregua,6,,-25.29391,-57.38634
"Arena Blanca",19,,-24.06726,-54.71428
"Arroyo Hondo",4,,-25.13614,-56.25152
"Arroyo Moroti",4,,-25.46285,-56.15009
"Arroyos y Esteros",8,,-25.05505,-57.09728
"Asent. Acepar 1",19,,-24.61948,-55.79299
"Asent. Aldama Cañada",6,,-25.41426,-57.38815
"Asent. Cañadita",6,,-25.37534,-57.33951
"Asent. Manduara",5,,-26.21009,-55.79391
"Asent. Maria Auxiliadora",2,,-23.2838,-55.61392
"Asent. Paraguay Pyahu",1,,-24.82209,-55.27582
"Asent. San Isidro",1,,-24.82405,-55.25843
"Asent. San Juan",19,,-24.08876,-54.76537
"Asent. San Miguel",4,,-25.20264,-56.40981
"Asent. San Pablo",1,,-24.83387,-55.22922
"Asent. San Rafael",6,,-25.48885,-57.44555
"Asent. Santa Rosa",6,,-25.42802,-57.42395
"Asent. Tarumandy 2",6,,-25.23199,-57.42051
"Asent. Villa Del Maestro",6,,-25.31761,-57.41726
"Asent. Virgen Del Rosario",6,,-25.40306,-57.37121
Asuncion,22,,-25.29121,-57.60494
Atyrá,8,,-25.2794,-57.17289
Ayolas,12,,-27.37014,-56.9749
Azotey,7,,-23.32344,-56.50114
"Bahia Negra",23,,-19.89315,-59.96512
"Bahía Negra Airport",23,,-20.231,-58.171
"Bajo Chaco",16,,-24,-58
"Banco San Miguel",6,,-25.26667,-57.61667
"Barrio Santísima Trinidad",6,,-25.2575,-57.57749
"Batallón Ingeniería Número Cuatro Aquidabán",24,,-21.75417,-60.96444
Belén,7,,-23.46987,-57.26175
"Bella Vista",11,,-27.0491,-55.5717
"Benjamín Aceval",16,,-24.9974,-57.55239
"Bobí Pucú",11,,-26.8,-56.26667
"Bogado Cué",11,,-26.58333,-55.91667
Borja,10,,-25.95272,-56.49801
"Buena Vista",5,,-26.18705,-56.08334
"Ca riaî",5,,-26.25,-55.55
Caacupe,8,,-25.38041,-57.12673
Caacupe-i,15,,-26.3,-56.96667
Caaguazu,4,,-25.41922,-56.05173
"Caaguy Cupé",15,,-26.11667,-56.88333
Caapucú,15,,-26.23523,-57.18212
Caazapa,5,,-26.17881,-56.28831
Caba-cuá,5,,-26.01667,-55.83333
Cabacuá,5,,-26.45,-56.26667
"Caballero Cué",12,,-26.63333,-56.96667
"Cabayú Acangué",1,,-25.09989,-54.91672
Cabayú-ray,12,,-26.8,-57.6
Calistro,15,,-25.76667,-57.13333
"Calle San Pedro",4,,-24.7468,-55.55795
Cambá-cué,13,,-27.06667,-58.35
Cambyretá,11,,-27.3586,-55.76198
"Campamento Jack Norment",8,,-25.36703,-57.1281
"Campo Florido",4,,-25.11808,-55.26762
"Campo Limpio",1,,-25.04019,-54.98607
"Campo Redondo",4,,-25.17403,-56.44513
"Campos San Solano",5,,-26.53868,-56.5647
Cañada,8,,-25.0654,-57.11403
"Cañada Chile",24,,-22.25,-62.16667
"Cañada Elisa",24,,-21.98444,-60.48472
"Cañada Oruro",24,,-21.66667,-62.4
"Cañada San Juan",7,,-23.1983,-56.81889
Canindeyú,19,,-24.25,-55.25
Capiata,6,,-25.37722,-57.4519
Capiibary,17,,-24.7319,-56.02052
Capiitindy,19,,-24.36667,-54.81667
"Capilla Tuyá",15,,-26.15,-57.2
Capillita,10,,-25.68735,-56.45742
"Capitán Bado",2,,-23.26733,-55.53876
"Capitán Meza",11,,-26.82749,-55.33605
"Capitán Miranda",11,,-27.21946,-55.79837
Caracoles,16,,-24.13333,-59.55
Caraguatay,8,,-25.23844,-56.82693
"Caraguatay District",8,,-25.2151,-56.77737
Carapá,19,,-24.02175,-55.33237
Carapeguá,15,,-25.76344,-57.24677
"Carapeguá District",15,,-25.75907,-57.32885
Carauncuá,6,,-25.53333,-57.35
Carayaó,4,,-25.1975,-56.39878
"Carlos Antonio López",11,,-26.39853,-54.7569
"Carlos Miguel Gimenez Airport",13,,-26.88,-58.32
"Carmelo Peralta",23,,-21.64999,-58.28077
"Carmen del Paraná",11,,-27.22232,-56.15243
Carolina,17,,-24.5738,-56.68553
Carreria,23,,-21.98333,-58.58333
"Casilla 2 - Sub Urbano",4,,-25.15582,-55.50641
Casualidad,2,,-22.56387,-56.42744
Cebolla,7,,-22.38333,-57.66667
"Cecilio Baez",4,,-25.08912,-56.23085
"Central Department",6,,-25.53333,-57.46667
Centro,8,,-25.26427,-57.08197
Cerrito,19,,-24.51454,-55.75902
"Cerro 21",2,,-22.94804,-55.66434
"Cerro Caaguazú",7,,-22.61667,-57.73333
"Cerro Corá",2,,-22.61667,-55.98333
"Cerro Kora",15,,-25.6029,-56.92606
"Cerro Kora Cañada",15,,-25.57775,-56.94103
"Cerro Morado",7,,-22.29128,-57.86927
"Cerro Peró",10,,-25.89475,-56.14112
Cerro-Ti,5,,-26.2,-55.53333
"Cerro Yaguacuá Guazú",11,,-26.69528,-55.90584
"Chaco Boreal",24,,-23,-60
"Charles Lopez Park",6,,-25.28587,-57.6523
Chingüelo,2,,-22.66667,-55.91667
"Chirkaty - Sub-Urbano",4,,-25.33773,-56.39136
Chochi,8,,-25.23595,-57.2157
Chore,17,,-24.18431,-56.63288
"Ciervo Kua",10,,-25.91252,-56.18469
"Ciudad Del Este",1,,-25.49796,-54.67974
Colon,6,,-25.49647,-57.45267
"Colonia Agustín Molas",10,,-26.05685,-56.66931
"Colonia Carlos Pfanell",10,,-25.65,-56.23333
"Colonia Cosme",5,,-26.31667,-56.28333
"Colonia Costa Jhoby",2,,-23.31667,-55.58333
"Colonia Genaro Romero",4,,-25.39773,-56.4779
"Colonia General Alejandro Fretes Davalos",19,,-24.46157,-55.15832
"Colonia General Alfredo Stroessner",4,,-25.36395,-55.7069
"Colonia Goiburu",15,,-26.16667,-56.96667
"Colonia Independencia",10,,-25.76195,-56.16739
"Colonia La Fortuna",1,,-25.19173,-54.92169
"Colonia Mauricio José Troche",10,,-25.56667,-56.28333
"Colonia Menno",24,,-22.36667,-59.81667
"Colonia Mennonita",24,,-22.5,-60
"Colonia Neuland",24,,-22.66667,-60.11667
"Colonia Nueva Germania",17,,-23.91137,-56.70091
"Colonia Paraguasil",1,,-25.21278,-54.58026
"Colonia Pirapó",11,,-26.58333,-55.53333
"Colonia Regimiento de Infantería Tres Corrales",4,,-25.38802,-56.24281
"Colonia Teniente A. Dakak",8,,-25.58333,-56.81667
"Colonia Teniente Primero Américo Picco",24,,-21.06222,-60.55694
"Colonia Yguazu",1,,-25.36667,-55.13333
Colorado'I,1,,-24.91897,-55.09705
"Com Indig 14 De Mayo-Karchabalut",23,,-20.33769,-58.09935
"Com Indig Kenaten",16,,-22.93132,-58.97703
"Com Indig Pesempo´O",24,,-22.35404,-59.86037
"Com Indig Pozo Amarillo",16,,-22.64442,-59.53339
"Com Indig Puerto Esperanza-Inihta",23,,-20.39746,-58.05554
"Compañía Aguara Charte",19,,-23.82894,-55.47684
"Compañía Arekita",11,,-26.81667,-56.46667
"Compañía Curuñai",11,,-27.11244,-56.42763
"Compañía Itacurubi",12,,-26.71667,-56.85
"Compañía Ñú Guazú",11,,-26.91667,-56.28333
"Compañía Palomares",4,,-24.95373,-55.43006
"Compañia San Antonio",12,,-26.68333,-56.93333
"Compañía San Gabriel",12,,-25.83333,-56.71667
"Compañía San Justo",11,,-27.03333,-55.75
"Compañía Santa Ana",17,,-24.72665,-56.54056
Concepcion,7,,-22.87931,-57.36778
"Concepcion Airport",7,,-23.44175,-57.42712
Copagro,24,,-21.56667,-61.1
"Cordillera de Caaguazú",4,,-25.35266,-56.12636
"Cordillera de las Quince Puntas",7,,-22.33333,-57.5
"Cordillera del Ybytyruzú",10,,-25.82362,-56.26506
"Cordillera Department",8,,-25.25,-57
"Coronel Bogado",11,,-27.16293,-56.24023
"Coronel Martínez",10,,-25.75896,-56.61596
"Coronel Oviedo",4,,-25.48658,-56.42111
"Corpus Christi",19,,-24.11047,-55.00993
Corralón,23,,-21.31667,-59.11667
"Costa Pucú",12,,-26.9,-57
"Costa Rosado",4,,-25.49997,-55.99747
"Country Club Sol De Verano",8,,-25.34693,-57.27656
"Cruce Bella Vista",7,,-22.74458,-56.28116
Cureiguá,7,,-23.33333,-56.78333
Curuguaty,19,,-24.33618,-55.77463
"Departamento de Boquerón",24,,-22.64105,-61.07381
"Departamento de Caaguazú",4,,-25.2,-55.83333
"Departamento de Concepción",7,,-22.83333,-57.16667
"Departamento de (historical) Nueva Asunción",24,,-21.08333,-61.16667
"Departamento de Ñeembucú",13,,-26.66667,-57.91667
"Departamento de Paraguarí",15,,-26,-57.16667
"Departamento del Alto Paraná",1,,-25.5,-54.83333
"Departamento del Guairá",10,,-25.8,-56.26667
"Departamento (historical) Chaco",23,,-20,-60
Desmochados,13,,-27.12053,-58.08984
"Desvio San Carlos",4,,-25.20824,-55.95033
"Doctor Bottrell",10,,-25.61498,-56.33989
"Doctor Cecilio Báez",4,,-25.06943,-56.24267
"Doctor Juan Eulogio Estigarribia",4,,-25.37184,-55.70457
"Doctor Juan León Mallorquín",1,,-25.43053,-55.25412
"Doctor Juan Manuel Frutos",4,,-25.3838,-55.83215
"Doctor Moisés Santiago Bertoni",5,,-26.35682,-56.48511
"Doctor Pedro P. Peña",24,,-22.45,-62.35
"Domingo Martínez de Irala",1,,-25.9109,-54.62824
Dorado,24,,-21.63333,-61.9
"Dr Augusto Roberto Fuster International Airport",2,,-22.64,-55.83
"Dr. Bottrell",10,,-25.60086,-56.36379
"Dr. Juan Leon Mallorquin",1,,-25.48375,-55.25453
"Dr. Juan Manuel Frutos",4,,-25.36211,-55.82163
"Dr Juan Plate Airport",7,,-22.15911,-57.94258
"Dr. Luis María Argaña International Airport",24,,-22.04499,-60.62169
"Dr. Raul Peña",1,,-26.13495,-55.22489
Edelira,11,,-26.76734,-55.27872
"Edelira 70 Zona Base",11,,-26.50266,-55.45524
"El Tirol",11,,-27.18333,-55.71667
Emboscada,8,,-25.12883,-57.36295
Empalados,5,,-26.09899,-55.96154
"Empalme Victoria",24,,-22.15,-62.18333
Encarnacion,11,,-27.26225,-55.89523
"Encarnacion Airport",11,,-27.227,-55.837
Escobar,15,,-25.64388,-57.03602
Espinillar,15,,-26.34689,-57.02941
"Establecimento Ñanducuá",7,,-22.96667,-56.68333
"Estadio Defensores del Chaco",6,,-25.29208,-57.65749
"Estancia Agatapé",13,,-26.11667,-58.05
"Estancia Angu’á",12,,-26.90944,-57.30808
"Estancia Caa-Cara-í",12,,-27.19941,-56.83639
"Estancia Cabayú Ra’ý",4,,-24.94428,-56.40751
"Estancia Cerro Corá",23,,-20.28333,-58.28333
"Estancia Curupayty",23,,-20.23333,-58.28333
"Estancia Felicidad",16,,-24.4,-58.13333
"Estancia Guaviray",12,,-27.11594,-56.81824
"Estancia Isla Corazón",23,,-21.06667,-58.4
"Estancia Ita-cué",13,,-26.38333,-57.75
"Estancia Itacarú",17,,-23.6,-57.11667
"Estancia La Mocha",16,,-23.97333,-57.6775
"Estancia La Novia",16,,-22.98333,-57.73333
"Estancia María Ester",11,,-26.85499,-56.62049
"Estancia Maroma",16,,-23.55,-57.9
"Estancia Medina",7,,-22.73333,-57.01667
"Estancia Orihuela",16,,-23.41667,-58.66667
"Estancia Paredes",16,,-24.38333,-58.61667
"Estancia Patria",23,,-19.98333,-58.2
"Estancia Pedernal",16,,-23.78333,-57.16667
"Estancia Recalde-cué",7,,-23.05,-57.45
"Estancia San Pedro",16,,-22.53333,-58.43333
"Estancia San Rafael",7,,-22.61667,-56.73333
"Estancia Sapira",5,,-26.46667,-56.56667
"Estancia Sorpresa",16,,-24.01667,-60.05
"Estancia Tagatiya",7,,-22.88333,-57.63333
"Estancia Yasamathasla",16,,-23.4,-58.6
"Estancia Yerovia",24,,-21.1,-61.48333
"Estancia Zapatero-cué",7,,-23.28333,-57.35
"Estero Bellaco",13,,-27.18333,-57.88333
"Estribo de Plata",7,,-23.1,-56.75
"Eusebio Ayala",8,,-25.38276,-56.96088
"Fazenda Paloma",19,,-24.27601,-54.76237
"Félix Pérez Cardozo",10,,-25.74199,-56.52278
"Fernando De La Mora",6,,-25.32782,-57.55071
Filadelfia,24,,-21.4374,-60.17867
"Filadelfia Airport",24,,-22.3541,-60.05395
"Fleitas Cué",11,,-26.65,-55.81667
Florido,4,,-25.16667,-55.06667
Fortuna,1,,-25.11067,-54.85296
Fram,11,,-27.09488,-56.01753
"Francisco Caballero Álvarez",19,,-24.15327,-54.66721
"Franco Isla",15,,-25.79513,-57.40635
"Fuerte Olimpo",23,,-20.70205,-58.96212
"Fuerte Olimpo Airport",23,,-21.0458,-57.88278
"Fulgencio Yegros",5,,-26.45565,-56.40368
"Galeano Kue",5,,-26.20265,-56.33465
"General Artigas",11,,-26.93461,-56.22214
"General Bernardino Caballero",15,,-25.69253,-56.86283
"General Delgado",11,,-27.05952,-56.5522
"General Diaz",13,,-27.1679,-58.34399
"General Elizardo Aquino",17,,-24.44548,-56.89942
"General Eugenio A. Garay",24,,-20.51667,-62.13333
"General Eugenio Alejandrino Garay",10,,-25.96731,-56.18582
"General Francisco Isidoro Resquín",17,,-24.06654,-56.44848
"General Higinio Morínigo",5,,-26.02708,-56.0843
"General José Eduvigis Díaz",13,,-27.20153,-58.3691
"General Jose Maria Bruguez",16,,-24.31207,-58.87526
"General José María Delgado",11,,-27.09046,-56.52474
"General Resquin",17,,-24.00518,-56.20818
Giménez,23,,-20.06667,-58.21667
"Gran Asunción",6,,-25.28386,-57.64179
"Gran Laguna Loa",24,,-21.83333,-61.93333
Guajayvi,19,,-24.56255,-55.78922
Guarambaré,6,,-25.49096,-57.45567
"Guaraní International Airport",1,,-25.4555,-54.84359
"Guavira Poty",1,,-25.50615,-54.7741
Guazú-Cuá,13,,-26.88221,-57.96786
"Guazú Hoga",8,,-25.33333,-57.11667
"Guyra Keha",5,,-26.10205,-56.10632
Hernandarias,1,,-25.40165,-54.64119
"Hipódromo y Jockey Club de Asunción",6,,-25.31715,-57.58497
Hohenau,11,,-27.07315,-55.64247
Horqueta,7,,-23.4,-56.88333
"Hugua Guasu",5,,-26.16224,-56.302
Humaitá,13,,-27.06887,-58.5072
Ibel,19,,-24.46414,-54.58755
Independencia,10,,-25.691,-56.26781
"Industrial Mbaracayú",1,,-25.15624,-54.70169
Iruña,1,,-26.13283,-55.03345
"Isla Bobi-Ñú",13,,-27.26083,-58.39378
"Isla Caraya",17,,-24.5547,-56.83498
"Isla Guasu",17,,-23.76885,-56.63555
"Isla Pucú",8,,-25.30853,-56.89911
"Isla Pucú District",8,,-25.30084,-56.8961
"Isla Umbú",13,,-26.98257,-58.2712
"Isla Yacy Retá",11,,-27.43356,-56.76789
"Isla Yapepó",5,,-26.74552,-56.47212
Ita,6,,-25.52973,-57.37439
"Ita Enramada",22,,-25.34659,-57.63934
"Itacurubí de la Cordillera",8,,-25.46158,-56.85333
"Itacurubí del Rosario",17,,-24.53541,-56.82352
Itakyry,1,,-24.98401,-55.1493
Itanara,19,,-23.759,-55.473
Itapé,10,,-25.85172,-56.61385
Itapúa,11,,-26.83333,-55.66667
"Itapúa Poty",11,,-26.63026,-55.52028
Itaugua,6,,-25.3936,-57.35327
"Itauguá Guazú",6,,-25.4,-57.31667
Iturbe,10,,-26.05508,-56.48463
"J Augusto Saldivar",6,,-25.43268,-57.43389
"J Eulogio Estigarribia",4,,-25.40286,-55.59406
Jarigua'Ami,15,,-25.81027,-57.00908
"Jerusalen 1",1,,-26.05488,-55.07874
Jesus,11,,-27.05364,-55.77418
"José Domingo Ocampos",4,,-25.4121,-55.43027
"José Falcón",16,,-25.21807,-57.71312
"José Fassardi",10,,-25.97845,-56.12325
"Juan de Mena",8,,-24.95503,-56.76379
"Juan E. O´Leary",1,,-25.48006,-55.36511
"Juan Emiliano O’Leary",1,,-25.41999,-55.37312
"Jukyry Central",4,,-25.21787,-56.00219
Kaguare'I,10,,-25.89029,-56.06217
Karapa'I,2,,-23.57682,-56.03171
Katueté,19,,-24.24722,-54.76344
"La Colmena",15,,-25.88627,-56.84084
"La Gama",24,,-23.15,-61.43333
"La Paloma",11,,-26.98333,-56.28333
