idprovincia,codpais,provincia,codisoprov,latitude,longitude
1,PRY,"Alto Paraná",,-26.05488,-55.07874
2,PRY,"Amambay Department",,-23.3536,-55.74018
4,PRY,Caaguazú,,-25.28886,-56.60822
5,PRY,Caazapá,,-26.16224,-56.302
6,PRY,"Central Department",,-25.23199,-57.42051
7,PRY,Concepción,,-23.229,-57.39804
8,PRY,"Cordillera Department",,-25.31887,-57.12118
10,PRY,Guairá,,-25.78931,-56.36186
11,PRY,Itapúa,,-26.61501,-54.83181
12,PRY,"Misiones Department",,-26.56667,-56.95
13,PRY,Ñeembucú,,-26.97744,-57.74266
15,PRY,Paraguarí,,-26.37393,-56.91341
16,PRY,"Presidente Hayes",,-22.93132,-58.97703
17,PRY,"San Pedro Department",,-23.72481,-56.6387
19,PRY,Canindeyú,,-24.51454,-55.75902
22,PRY,Asunción,,-25.26667,-57.68333
23,PRY,"Alto Paraguay",,-20.39746,-58.05554
24,PRY,Boquerón,,-22.34809,-60.03314
