ciudad,idprovincia,codeid,latitude,longitude
Acajutla,13,,13.63757,-89.83619
"Agua Caliente",3,,14.19661,-89.22294
Aguilares,10,,13.95664,-89.20098
Ahuachapán,1,,13.83333,-89.91667
"Ahuachapán Norte",1,,13.98102,-89.74674
"Albornoz Arriba",7,,13.58333,-87.95
Alegría,14,,13.5,-88.48333
Anamorós,7,,13.73566,-87.88919
"Antiguo Cuscatlán",5,,13.6676,-89.24623
Apaneca,1,,13.85143,-89.79755
Apastepeque,12,,13.66667,-88.78333
Apopa,10,,13.7965,-89.19497
Arambala,8,,13.91667,-88.13333
Arcatao,3,,14.07108,-88.74986
Armenia,13,,13.75973,-89.50061
Atiquizaya,1,,13.98333,-89.75
Ayutuxtepeque,10,,13.75832,-89.19603
Azacualpa,3,,13.98333,-88.98333
"Barrio Las Victorias",10,,13.71088,-89.16941
Berlín,14,,13.5,-88.53333
Bolívar,7,,13.57361,-87.95583
"Bosque el Imposible",1,,13.84,-89.95028
"Cabañas Este",2,,13.89802,-88.6227
"Cabañas Oeste",2,,13.86553,-88.8399
Cacaopera,8,,13.76667,-88.08333
California,14,,13.36667,-88.66667
Caluco,13,,13.72361,-89.66222
Candelaria,4,,13.75,-88.95
"Candelaria de La Frontera",11,,14.11667,-89.65
Carolina,9,,13.85,-88.3
"Caserío San Luis Ciénaga",11,,14.17889,-89.63667
"Cerro Cinotepec",10,,14,-89.25
"Cerro Cuyultepe",6,,13.63583,-89.025
"Cerro de Apaneca",1,,13.84139,-89.79861
"Cerro de La Peña",7,,13.7675,-87.925
"Cerro de La Plata",5,,14.03333,-89.3
"Cerro de Las Marías",7,,13.85,-87.83333
"Cerro de Las Pavas",4,,13.71667,-88.95
"Cerro de Nejapa",10,,13.82111,-89.21417
"Cerro de Nubes",8,,13.81972,-87.99333
"Cerro de Ostúa",11,,14.31944,-89.58139
"Cerro El Chaparral",9,,13.86667,-88.35
"Cerro El Pacayal",9,,13.46667,-88.33333
"Cerro El Panecito",9,,13.27556,-88.18917
"Cerro El Piche",9,,13.37806,-88.11583
"Cerro El Rosario",6,,13.52139,-89.005
"Cerro El Taburete",14,,13.43333,-88.53333
"Cerro El Zapote",7,,13.86278,-87.90889
"Cerro Guayzungue",7,,13.81667,-87.88333
"Cerro Güeripe",7,,13.75,-87.76667
"Cerro Izcanalito",2,,13.86667,-88.53333
"Cerro Joya Grande",11,,14.08333,-89.68333
"Cerro La Berbería",7,,13.3,-88
"Cerro La Burrona",8,,13.58333,-88.06667
"Cerro La Campana",7,,13.85,-87.8
"Cerro La Crucita",8,,13.98333,-88.11667
"Cerro La Cruz",9,,13.30361,-88.13694
"Cerro La Danta",7,,13.38333,-87.96667
"Cerro La Garrocha",7,,13.365,-88.03778
"Cerro La Güegüecha",9,,13.51667,-88.31667
"Cerro La Jojona",9,,13.63333,-88.33333
"Cerro La Lechuza",7,,13.71667,-87.91667
"Cerro La Pitahaya",8,,13.65,-88.13333
"Cerro La Tabla",2,,14,-88.68333
"Cerro La Ventana",8,,13.68333,-88.11667
"Cerro Las Guaras",9,,13.68333,-88.4
"Cerro Las Guayabillas",11,,14.4,-89.55
"Cerro Las Lajas",11,,14.08333,-89.73333
"Cerro Las Mesas",7,,13.76667,-87.93333
"Cerro Las Minas",2,,13.76667,-88.55
"Cerro Las Ventanas",10,,13.98333,-89.23333
"Cerro Loma Pacha",12,,13.89785,-89.45389
"Cerro Los Coyotes",4,,13.76667,-88.9
"Cerro Los Naranjos",13,,13.87139,-89.68611
"Cerro Los Negros",11,,14.31278,-89.52333
