idprovincia,codpais,provincia,codisoprov,latitude,longitude
1,SLV,Ahuachapán,,13.7,-89.83333
2,SLV,Cabañas,,13.86667,-88.93333
3,SLV,"Chalatenango Department",,14.15,-89.33333
4,SLV,Cuscatlán,,13.86667,-89.03333
5,SLV,"La Libertad Department",,13.55,-89.25
6,SLV,"La Paz Department",,13.46667,-88.85
7,SLV,"La Unión",,13.86278,-87.90889
8,SLV,Morazán,,13.75,-88.1
9,SLV,"San Miguel Department",,13.71667,-88.4
10,SLV,"San Salvador Department",,13.76667,-89.21667
11,SLV,"Santa Ana Department",,13.95,-89.7
12,SLV,"San Vicente Department",,13.6,-88.65
13,SLV,"Sonsonate Department",,13.73333,-89.58333
14,SLV,Usulután,,13.28333,-88.71667
