ciudad,idprovincia,codeid,latitude,longitude
"18 De Mayo",2,,-34.69542,-56.21758
Abayuba,10,,-34.76417,-56.21389
"Abra de Alférez",14,,-33.73441,-54.18182
Aceguá,3,,-31.87178,-54.16351
Achar,18,,-32.4029,-56.18073
"Aeropuerto Nueva Hesperides",15,,-31.43848,-57.98529
Agraciada,17,,-33.80981,-58.26669
"Aguas Corrientes",2,,-34.52194,-56.39361
"Aguas Dulces",14,,-34.27448,-53.78206
Aiguá,9,,-34.20498,-54.75665
Albisu,15,,-31.38411,-57.81469
"Alejandro Gallinal",7,,-33.81667,-55.55
Algorta,12,,-32.42124,-57.38929
"Anchorena National Park",4,,-34.28172,-57.97328
Andresito,6,,-33.16831,-57.12847
"Angel S Adami",10,,-34.78902,-56.26494
Ansina,11,,-31.87836,-55.46482
Arachania,14,,-34.61484,-54.15067
Arbolito,14,,-34.498,-54.15065
"Área Protegida Cabo Polonio",14,,-34.39486,-53.73048
"Área Protegida San Miguel",14,,-33.70148,-53.55921
Arenales,17,,-33.71667,-58.26667
Arevalo,3,,-32.73891,-55.01603
Arrayán,14,,-33.49274,-54.05481
"Arrayanes de Cebollatí",19,,-33.35938,-54.02843
"Arrayanes de Corral de Cebollatí",19,,-33.34893,-54.16014
Arroyito,14,,-33.57587,-53.77778
"Arroyo Chaparro",7,,-33.98333,-55.53333
"Arrozal Benke",14,,-33.38836,-53.83705
"Arrozal Lartegui",19,,-33.22751,-54.02768
Artigas,1,,-30.58333,-57
"Artigas International Airport",1,,-30.40071,-56.50787
"Asperezas de las Sepulturas",8,,-33.66667,-54.55
"Asperezas de Polanco",8,,-33.91667,-55.25
Atlantida,2,,-34.69775,-55.7712
"Balneario Buenos Aires",9,,-34.8884,-54.79311
"Balneario Ipora",18,,-31.66653,-55.96397
"Baltasar Brum",1,,-30.76028,-57.39963
Barker,4,,-34.26025,-57.45598
"Barra de Carrasco",2,,-34.87722,-56.02972
"Barra de Valizas",14,,-34.33611,-53.79582
"Barra del Chuy",14,,-33.74911,-53.37935
"Barra Isla Negra",14,,-33.56987,-53.59453
"Barrancas de Mauricio",16,,-34.72577,-56.62562
"Barrancas de San Gregorio",16,,-34.69565,-56.76601
"Barrancas Santa Lucía",16,,-34.75,-56.5
"Barriga Negra",8,,-33.96866,-55.05253
"Barrio Hipódromo",9,,-34.86153,-54.94314
"Barrio Porvenir",14,,-33.70895,-54.1773
"Barros Blancos",2,,-34.7596,-56.00216
Baygorria,5,,-32.87676,-56.81343
Belén,15,,-30.78716,-57.77577
"Bella Union",1,,-30.37613,-57.57803
"Bella Union Airport",1,,-30.319,-57.56
"Bella Vista",10,,-34.87743,-56.20052
Belvedere,10,,-34.85,-56.21667
"Bernabé Rivera",1,,-30.2983,-56.97047
Biarritz,2,,-34.79191,-55.51387
Biassini,15,,-31.2759,-57.12414
Blanquillo,5,,-32.76667,-55.63333
Blanquillos,18,,-32.35,-55.83333
Bolívar,2,,-34.22239,-55.72956
"Brigadier General Diego Lamas",1,,-30.7554,-57.05441
Buceo,10,,-34.9,-56.13333
"Buena Vista",14,,-33.95249,-53.97908
"Cabildo de Montevideo",10,,-34.9065,-56.20261
"Cabo Polonio",14,,-34.4024,-53.78264
"Cabo Santa María",14,,-34.6691,-54.15354
Cainsa,1,,-30.38704,-57.61513
"Calera del Rey",9,,-34.65136,-55.17563
"Caleras del Este",9,,-34.82443,-55.1055
"Campo Alto",14,,-33.66193,-53.96369
"Cañada de los Negros",14,,-34.33637,-54.0775
"Cañada del Sauce",19,,-33.17639,-54.37242
"Cañada Nieto",17,,-33.69874,-58.10903
Canelones,2,,-34.5356,-56.2413
"Canteras del Molino de Perez",10,,-34.89376,-56.08979
"Cape Castillo",14,,-34.3442,-53.77046
"Capilla del Sauce",7,,-33.46711,-55.62848
"Capitan Corbeta C A Curbelo International",9,,-34.8552,-55.09405
Capurro,10,,-34.87048,-56.21618
Cardal,7,,-34.29056,-56.38889
Cardona,17,,-33.87049,-57.36954
Cardoso,18,,-32.64345,-56.32657
"Carlos Reyles",5,,-33.05658,-56.47652
Carmelo,4,,-34.07371,-58.16169
Carrasco,10,,-34.88528,-56.06056
"Carrasco International Airport",2,,-34.83842,-56.03081
Castellanos,2,,-34.37772,-55.95731
Castillos,14,,-34.16168,-53.82202
Casupá,7,,-34.09994,-55.64811
Cebollatí,14,,-33.26703,-53.79425
Centro,10,,-34.90528,-56.19444
Cerrito,10,,-34.57019,-56.08143
"Cerro Aceguá",18,,-31.98333,-54.51667
"Cerro Aguiar",9,,-34.64247,-55.3247
"Cerro Batoví Dorado",13,,-31.1,-55.43333
"Cerro Bonito",15,,-31.23162,-56.8365
"Cerro Buena Vista",14,,-34.35311,-53.77288
"Cerro Calera",13,,-31.36667,-55.4
"Cerro Campanero Grande",8,,-34.39659,-55.15053
"Cerro Caperuza",11,,-31.71586,-57.85713
"Cerro Caperuza Chico",8,,-34.60609,-55.37569
"Cerro Caperuza Grande",8,,-34.5826,-55.37074
"Cerro Cardozo",18,,-32.06667,-55.51667
"Cerro Catedral",14,,-34.38269,-54.67449
"Cerro Cepe",18,,-32.06667,-56.03333
"Cerro Chato",19,,-33.1,-55.13333
"Cerro Colorado",7,,-33.86252,-55.54264
"Cerro de Aguirre",14,,-34.33189,-54.14362
"Cerro de Amaral",8,,-32.91667,-55.03333
"Cerro de Buena Vista",14,,-34.01502,-53.93585
"Cerro de Guazunambí",3,,-32.65,-54.31667
"Cerro de la Atahona",11,,-32.19121,-56.51206
"Cerro de la Bolsa",19,,-33.20199,-54.64284
"Cerro de la Estancia",11,,-32.00643,-56.69134
"Cerro de la Pedrera",9,,-34.15224,-54.47686
"Cerro de la Plata",18,,-32.48981,-56.50734
"Cerro de la Tuna",15,,-31.55235,-56.93886
"Cerro de las Ánimas",9,,-34.746,-55.32073
"Cerro de las Cuentas",9,,-34.09271,-54.67784
"Cerro de las Minas",5,,-32.88333,-56.31667
"Cerro de los Muchachos",18,,-31.53224,-56.17632
"Cerro de los Rocha",14,,-34.16096,-53.85787
"Cerro de Olaria",13,,-31.41667,-55.75
