"cuenta";"descripcion";"cuentaesp"
"1";"Activo";""
"11";"Disponibilidades";""
"111";"CAJA";""
"1111";"Caja moneda nacional";""
"1112";"Caja moneda extranjera";""
"112";"Bancos";""
"1121";"Cuenta corriente moneda nacional";""
"1122";"Cuenta corriente moneda extranjera";""
"1123";"Caja de ahorro moneda extranjera";""
"1124";"Cuenta Títulos";""
"1125";"Transferencias";""
"12";"Creditos";""
"121";"Creditos por ventas";""
"1211";"Deudores plaza moneda nacional";""
"1212";"Deudores plaza moneda extranjera";""
"1213";"Deudores por exportación";""
"1214";"Cheques diferidos a cobrar moneda nacional";""
"1215";"Cheques diferidos a cobrar moneda extranjera";""
"1216";"Tarjetas de crédito Moneda nacional";""
"1217";"Tarjetas de crédito Moneda extranjera";""
"1218";"Mercado pago";""
"1219";"Mercado pago";""
"122";"Otros creditos - IVA";""
"1221";"Certificados de crédito de IVA";""
"1222";"Crédito por IVA";""
"1223";"IVA compras tasa mínima";""
"1224";"IVA compras tasa básica";""
"1225";"IVA compras porcentual tasa mínima";""
"1226";"IVA compras porcentual tasa básica";""
"1227";"IVA importación";""
"1228";"Anticipo IVA importación";""
"123";"Otros creditos - Anticipo de impuestos";""
"1231";"Anticipo IRAE";""
"1232";"Anticipo Impuesto al Patrimonio";""
"1233";"Anticipo IRAE importación";""
"1234";"Resguardos de IVA";""
"1235";"Resguardos de IRPF";""
"1236";"Retenciones Tarjetas de crédito";""
"124";"Ortros creditos - diversos";""
"1241";"Adelantos al personal";""
"1242";"Depósitos en garantia";""
"1243";"Retiro de Socios";""
"1244";"Préstamos concedidos a terceros";""
"1245";"Retiro de Socios";""
"13";"Bienes de cambio";""
"1311";"Mercadería";""
"1312";"Mercadería Importada";""
"1313";"Productos Terminados";""
"1314";"Productos en Proceso";""
"1315";"Materia Prima";""
"1316";"Materia Prima Importada";""
"1317";"Materia Prima en otros materiales";""
"1318";"Materiales";""
"1319";"Rótulos y Envases";""
"1320";"Herramientas y Accesorios";""
"1321";"Importaciones en Trámite";""
"14";"Bienes de uso";""
"141";"Valores nominales";""
"1411";"Muebles y Útiles";""
"1412";"Vehículos";""
"1413";"Máquinas y Equipos y Herr.";""
"1414";"Equipos de Interés Nacional";""
"1415";"Equipos Varios";""
"1416";"Moldes y Matrices";""
"1417";"Instalaciones";""
"1418";"Inmuebles - Terrenos";""
"1419";"Inmuebles - Mejoras";""
"142";"Amortizaciones acumuladas";""
"1421";"Am. Acum. Muebles y Útiles";""
"1422";"Am. Acum. Vehículos";""
