ciudad,idprovincia,codeid,latitude,longitude
Abilene,1077,,32.44874,-99.73314
Acadiana,766,,30.12595,-92.00939
Aiken,1020,,33.56042,-81.71955
Akron,881,,41.08144,-81.51901
Alabama,381,,32.75041,-86.75026
Alameda,442,,37.77099,-122.26087
Alaska,380,,64.00028,-150.00028
Albany,586,,31.57851,-84.15574
Albuquerque,850,,35.08449,-106.65114
Alexandria,766,,31.31129,-92.44514
Alhambra,442,,34.09529,-118.12701
Allen,1077,,33.10317,-96.67055
Allentown,910,,40.60843,-75.49018
Alpharetta,586,,34.07538,-84.29409
"Altamonte Springs",561,,28.66111,-81.36562
Amarillo,1077,,35.222,-101.8313
Ames,658,,42.03471,-93.61994
Anaheim,442,,33.83529,-117.9145
Anchorage,380,,61.21806,-149.90028
Anderson,671,,40.10532,-85.68025
Andover,802,,42.65843,-71.137
"Ann Arbor",810,,42.27756,-83.74088
Annapolis,805,,38.97859,-76.49184
Anniston,381,,33.65983,-85.83163
Antioch,442,,38.00492,-121.80579
Apex,840,,35.73265,-78.85029
Apopka,561,,28.67617,-81.51186
Appleton,1170,,44.26193,-88.41538
Arcadia,442,,34.13973,-118.03534
Arizona,395,,34.5003,-111.50098
Arkansas,387,,34.75037,-92.50044
"Arkansas Delta",387,,35,-90.5
Arlington,1126,,38.88101,-77.10428
"Arlington Heights",669,,42.08836,-87.98063
Arvada,456,,39.80276,-105.08748
Ashburn,1126,,39.04372,-77.48749
Asheville,840,,35.60095,-82.55402
Astoria,862,,40.77205,-73.93014
Athens,586,,33.96095,-83.37794
Atlanta,586,,33.749,-84.38798
"Atlanta-Sandy Springs-Alpharetta, GA Metro Area",586,,33.69277,-84.39957
"Atlanta-Sandy Springs-Marietta",586,,33.73119,-84.38324
"Atlantic City",847,,39.36415,-74.42306
Auburn,381,,32.60986,-85.48078
Augusta,586,,33.47097,-81.97484
Aurora,669,,41.76058,-88.32007
Austin,1077,,30.26715,-97.74306
"Austin-Round Rock-Georgetown, TX Metro Area",1077,,30.26225,-97.65435
Avondale,395,,33.4356,-112.3496
Bakersfield,442,,35.37329,-119.01871
Ballwin,816,,38.59505,-90.54623
Baltimore,805,,39.29038,-76.61219
"Baltimore-Columbia-Towson, MD",805,,39.30554,-76.55101
Baltimore-Towson,805,,39.28808,-76.61076
"Baton Rouge",766,,30.44332,-91.18747
"Battle Creek",810,,42.3173,-85.17816
"Bay Area",442,,37.77239,-122.42349
Baytown,1077,,29.7355,-94.97743
Beaufort,1020,,32.4317,-80.66993
Beaumont,1077,,30.08605,-94.10185
Beaverton,891,,45.48706,-122.80371
"Bella Vista",387,,36.4807,-94.27134
Belleville,669,,38.52005,-89.98399
Bellevue,842,,41.13667,-95.89084
Bellflower,442,,33.88168,-118.11701
Bellingham,1162,,48.75955,-122.48822
Bend,891,,44.05817,-121.31531
Benton,387,,34.56454,-92.58683
Bentonville,387,,36.37285,-94.20882
Berkeley,442,,37.87159,-122.27275
Bessemer,381,,33.40178,-86.95444
Bethesda,805,,38.98067,-77.10026
Bethlehem,910,,40.62593,-75.37046
"Beverly Hills",442,,34.07362,-118.40036
Billings,821,,45.78329,-108.50069
Biloxi,820,,30.39603,-88.88531
Binghamton,862,,42.09869,-75.91797
Birmingham,381,,33.52066,-86.80249
"Birmingham-Hoover, AL Metro Area",381,,33.40368,-86.72819
Bismarck,841,,46.80833,-100.78374
Blacksburg,1126,,37.22957,-80.41394
Bloomington,669,,40.4842,-88.99369
"Boca Raton",561,,26.35869,-80.0831
Boise,661,,43.6135,-116.20345
"Bonita Springs",561,,26.33981,-81.7787
"Bossier City",766,,32.51599,-93.73212
Boston,802,,42.35843,-71.05977
"Boston-Cambridge-Newton, MA-NH Metro Area",802,,42.5179,-71.02193
Boston-Cambridge-Quincy,802,,42.35347,-71.06094
Boulder,456,,40.01499,-105.27055
Bowie,805,,38.94278,-76.73028
