ciudad,idprovincia,codeid,latitude,longitude
Acarigua,18,,9.55342,-69.23754
Acevedo,15,,10.40806,-66.2956
"Acevedo Municipality",15,,10.25,-66.33333
Achaguas,3,,7.77917,-68.22373
"Achaguas Municipality",3,,7.25,-68.41667
"Acosta Municipality",16,,10.1,-63.75
Adicora,11,,11.94065,-69.80794
"Agua Blanca Municipality",18,,9.66146,-69.10752
"Aguaro-Guariquito National Park",12,,8.37087,-66.71291
"Aguasay Municipality",16,,9.42489,-63.73077
Aguirre,7,,10.23428,-68.27192
"Alberto Adriani Municipality",14,,8.60861,-71.76556
"Alberto Arvelo Torrealba Municipality",5,,8.75326,-69.93516
"Alberto Carnevalli Airport",14,,8.58229,-71.16119
"Almirante Padilla Municipality",23,,10.954,-71.64906
"Altagracia de Orituco",12,,9.86005,-66.38139
"Alto Barinas",5,,8.5931,-70.2261
"Alto Orinoco Municipality",1,,2.73456,-64.83032
"Altos de Sucre",19,,10.31272,-63.5969
Amazonas,1,,3.5,-66
Amuay,11,,11.77483,-70.24121
Anaco,2,,9.42958,-64.46428
"Anaco Municipality",2,,9.33333,-64.46667
"Andrés Bello Municipality",21,,9.63217,-70.80759
"Andrés Eloy Blanco Municipality",13,,9.75145,-69.65318
"Andrés Mata Municipality",19,,10.59877,-63.32949
Angasimá-tepuí,6,,5.08333,-62.05
Angostura,6,,7.49247,-63.26941
Antímano,25,,10.4627,-66.98397
"Antolín del Campo Municipality",17,,11.10758,-63.8564
"Antonio José de Sucre Municipality",5,,8.23062,-70.82198
"Antonio Pinto Salinas Municipality",14,,8.39613,-71.6427
"Antonio Rómulo Costa Municipality",20,,8.17003,-72.16541
Anzoátegui,2,,9,-64.33333
"Anzoátegui Municipality",8,,9.58333,-68.86667
Aparamán-tepuí,6,,5.83333,-62.08333
Apartaderos,14,,8.80057,-70.84472
Aprada-tepuí,6,,5.43333,-62.41667
Apure,3,,7.16667,-68.83333
Aragua,4,,10,-67.16667
"Aragua de Barcelona",2,,9.45588,-64.82928
"Aragua Municipality",2,,9.31667,-64.9
Aragüita,2,,9.91252,-65.19197
Araira,15,,10.4522,-66.48439
Araure,18,,9.58144,-69.23851
"Araure Municipality",18,,9.63333,-69.16667
Araya,19,,10.57998,-64.25548
"Araya Peninsula",19,,10.61667,-64
"Archipiélago de Los Monjes",24,,12.41667,-70.91667
"Archipiélago Los Roques",24,,11.83333,-66.75
"Aricagua Municipality",14,,8.22343,-71.13705
"Arismendi Municipality",5,,8.47594,-68.36895
"Arístides Bastidas Municipality",22,,10.24828,-68.84451
"Armando Schwarck Airport",6,,6.57805,-66.8169
Aroa,22,,10.43949,-68.89496
"Arturo Michelena International Airport",7,,10.14961,-67.92937
"Arzobispo Chacón Municipality",14,,8.03333,-71.41667
"Asentamiento Campesino El Barrancón",12,,9.83943,-67.31263
"Asentamiento Campesino Laguna de Piedra",12,,9.31973,-67.54257
"Asentamiento Campesino No. 13 L Ruiz Pineda",4,,9.45,-66.93333
"Atabapo Municipality",1,,4.09441,-66.57715
"Atures Municipality",1,,5.69252,-67.34619
"Autana Municipality",1,,5.01434,-67.24731
"Autónomo Maroa Municipality",1,,2.70164,-66.78589
Auyamitas,11,,11.13333,-69.83333
"Auyán Tepuy Massif",6,,5.91667,-62.53333
"Ayacucho Municipality",20,,8.08333,-72.25
"Bahia De Pertigalete",2,,10.23333,-64.56667
Bailadores,14,,8.21802,-71.12883
"Baralt Municipality",23,,9.83333,-70.91667
Bárbula,7,,10.28847,-68.01415
Barcelona,2,,10.13625,-64.68618
"Barcelona Airport",2,,10.10714,-64.68916
Barinas,5,,8.16667,-69.83333
"Barinas Airport",5,,8.61957,-70.22083
"Barinas Municipality",5,,8.61497,-70.19852
Barinitas,5,,8.76171,-70.41199
Barquisimeto,13,,10.0647,-69.35703
Barrancas,16,,8.6989,-62.19656
"Bartolomé Salom Airport",7,,10.4805,-68.07303
Baruta,15,,10.43424,-66.87558
"Baruta Municipality",15,,10.43346,-66.87541
Bejuma,7,,10.17383,-68.25892
"Bejuma Municipality",7,,10.25,-68.2
Biruaca,3,,7.84483,-67.51679
"Biruaca Municipality",3,,7.84483,-67.51679
"Boca Aroa",11,,10.68229,-68.29829
Boconó,21,,9.25385,-70.25105
Bolívar,6,,6.33333,-63.5
"Bolívar Municipality",4,,10.21302,-67.42365
Borburata,7,,10.44434,-67.96439
"Bruzual Municipality",22,,10.16667,-68.88333
"Buchivacoa Municipality",11,,10.91667,-70.75
"Buroz Municipality",15,,10.36461,-66.13044
Cabimas,23,,10.39907,-71.45206
"Cabimas Municipality",23,,10.36667,-71.4
Cabruta,12,,7.64271,-66.25408
Cabudare,13,,10.02658,-69.26203
"Cacique Aramare Airport",1,,5.61999,-67.6061
"Cacique Manaure Municipality",11,,10.97099,-68.54435
Cagua,4,,10.18634,-67.45935
Caicara,16,,9.81755,-63.61331
"Caicara del Orinoco",6,,7.63501,-66.16815
"Caicara del Orinoco Airport",6,,7.62551,-66.1628
"Caja Seca",23,,9.14151,-71.06741
"Cajigal Municipality",19,,10.56916,-62.82693
Calabozo,12,,8.92416,-67.42929
"Calabozo Airport",12,,8.92466,-67.41709
Calderas,5,,8.46587,-70.74187
"Camaguán Municipality",12,,8.10655,-67.60724
"Camatagua Municipality",4,,9.78762,-66.90619
"Campo Boscán",23,,10.44165,-71.98073
"Campo Elías Municipality",14,,8.45,-71.28333
"Campo La Rosa",23,,10.33333,-71.33333
Canaguá,5,,8.56873,-70.66374
Canaima,9,,9.18281,-60.80346
"Canaima Airport",6,,6.23199,-62.85443
"Candelaria Municipality",21,,9.61818,-70.35713
"Cano Manamo",9,,9.43333,-62.4
Cantarrana,23,,10.53333,-71.43333
Cantaura,2,,9.30571,-64.35841
"Capacho Nuevo",20,,7.82472,-72.3084
Caparo,20,,7.57955,-71.46574
Capaya,15,,10.42879,-66.2734
Caraballeda,26,,10.61216,-66.85192
Carabobo,7,,10.16667,-68.08333
Caracas,25,,10.48801,-66.87919
"Caracas / La Carlota",15,,10.48503,-66.84352
"Caracciolo Parra Olmedo Municipality",14,,8.83518,-71.21214
Carache,21,,9.66667,-70.33333
"Cardenal Quintero Municipality",14,,8.86158,-70.69282
"Cárdenas Municipality",20,,7.83333,-72.11667
Cardón,11,,11.66194,-70.16917
Cariaco,19,,10.49682,-63.55286
Caripe,16,,10.17444,-63.49889
Caripito,16,,10.15,-63.03333
"Carirubana Municipality",11,,11.71667,-70
"Carlos Arvelo Municipality",7,,9.99525,-67.73394
"Carmen de Cura",4,,9.78941,-66.83333
"Caroní Municipality",6,,8.11667,-62.8
Carora,13,,10.17283,-70.081
"Carora Airport",13,,10.1756,-70.06522
Carrizal,15,,10.34985,-66.98632
"Carrizal Municipality",15,,10.3514,-66.9936
Cartanal,15,,10.27085,-66.70748
Carupano,19,,10.7,-63.25
"Carúpano Airport",19,,10.66001,-63.26168
"Casacoima Municipality",9,,8.44011,-62.45968
Casanay,19,,10.5042,-63.41729
"Casigua-El Cubo",23,,8.74602,-72.51889
"Casigua El Cubo Airport",23,,8.75814,-72.5363
"Catatumbo Municipality",23,,9.06085,-72.23413
"Catia La Mar",26,,10.60545,-67.03238
Caucagua,15,,10.2831,-66.37591
Caucagüito,15,,10.48666,-66.73799
Cedeño,6,,7.64922,-66.17591
"Cedeño Municipality",16,,9.83333,-63.75
Cepe,4,,10.5,-67.5
"Cerro Aracamuni",1,,1.50926,-65.63152
"Cerro Autana",1,,4.83333,-67.41667
"Cerro Avispa",1,,1.23716,-65.88964
"Cerro Duida",1,,3.41667,-65.66667
"Cerro El Ávila",26,,10.54275,-66.874
"Cerro El Cobre",20,,7.41884,-72.34243
"Cerro El Volcán",4,,9.9,-66.75389
"Cerro Huachamacari",1,,3.8,-65.76667
"Cerro Jaua",6,,4.8,-64.43333
"Cerro Marahuaca",1,,3.56667,-65.45
"Cerro Petaca",1,,3.66667,-65.5
"Cerro Tenerife",14,,8.09051,-71.55456
"Cerro Tristeza",2,,10.08666,-63.96082
"Cerro Turimiquire",19,,10.11436,-63.87947
Chacao,15,,10.49581,-66.85367
"Chacao Municipality",15,,10.49598,-66.85347
Chaguaramas,12,,9.33754,-66.25282
Charallave,15,,10.24247,-66.85723
Chichiriviche,11,,10.92872,-68.27283
Chiguará,14,,8.48943,-71.53779
Chiquinquirá,23,,10.44333,-71.64722
Chivacoa,22,,10.15951,-68.89453
Choroní,4,,10.48878,-67.61334
Chorrerón,15,,10.35451,-66.04618
Chuao,4,,10.4922,-67.528
Chuspa,26,,10.61633,-66.31286
"Ciudad Bolivar",6,,8.12923,-63.54086
"Ciudad Bolivia",5,,8.35304,-70.57121
"Ciudad Guayana",6,,8.35122,-62.64102
"Ciudad Ojeda",23,,10.20161,-71.3148
"Ciudad Piar",6,,7.45209,-63.31992
Clarines,2,,9.93991,-65.16517
Coche,25,,10.45396,-66.92451
"Coche Island",17,,10.78333,-63.95
Cocorote,22,,10.31954,-68.78298
"Cocorote Municipality",22,,10.31978,-68.78386
Cojedes,8,,9.33333,-68.33333
"Colina Municipality",11,,11.28333,-69.41667
"Colón Municipality",23,,9,-72.08333
Coloncito,20,,8.32611,-72.08742
"Colonia Tovar",4,,10.40602,-67.29199
"Comunidad Indígena Plataneal",6,,7.49167,-61.03111
Concepción,23,,10.4119,-71.68919
"Córdoba Municipality",20,,7.56667,-72.2
Coro,11,,11.4045,-69.67344
"Coro Airport",11,,11.41487,-69.68166
"Cristóbal Rojas Municipality",15,,10.26294,-66.83745
"Cruz de Panamayal",2,,9.93333,-64.91667
"Cruz Paredes Municipality",5,,8.76868,-70.1122
"Cruz Salmerón Acosta Municipality",19,,10.57973,-64.25826
Cúa,15,,10.16245,-66.88248
Cuima,23,,11.66696,-71.74092
Cumana,19,,10.46667,-64.18333
"Cumaná Antonio José de Sucre Airport",19,,10.45033,-64.13047
Cumanacoa,19,,10.25056,-63.91938
Cumbo,15,,10.27361,-66.04778
Cumboto,4,,10.39917,-67.795
Cupira,15,,10.16128,-65.70013
Curarí,11,,11.26254,-70.08079
Curiepe,15,,10.47461,-66.16911
Cuyagua,4,,10.47856,-67.70045
Dabajuro,11,,11.02273,-70.67769
"Delta Amacuro",9,,8.75,-61.33333
"Democracia Municipality",11,,10.83333,-70.16667
"Dependencias Federales",24,,10.92346,-65.30889
"Díaz Municipality",17,,10.98012,-63.9793
"Diego Bautista Urbaneja Municipality",2,,10.19769,-64.69407
"Diego Ibarra Municipality",7,,10.29644,-67.71813
"Diez y Nueve de Abril",4,,10.21553,-67.5112
"Distrito Federal",25,,10.47639,-66.98333
Duaca,13,,10.28554,-69.16244
"East Monks",24,,12.38796,-70.85564
Ejido,14,,8.54665,-71.24087
"El Amparo de Apure",3,,7.10014,-70.7549
"El Café",15,,10.40886,-66.28474
"El Cafetal",15,,10.46541,-66.82951
"El Callao Municipality",6,,7.33326,-61.82874
"El Chorotal",14,,8.66917,-71.39833
"El Clavo",15,,10.22465,-66.17418
"El Dorado",6,,6.71581,-61.63738
"El Dorado Airport",6,,6.716,-61.639
"El Furrial",16,,9.68575,-63.44447
"El Guamache",17,,10.7409,-63.90112
"El Guapo",15,,10.14686,-65.97181
"El Hatillo Municipality",15,,10.42994,-66.8161
"El Limón",4,,10.30589,-67.63212
"El Manteco",2,,9.28333,-64.5
"El Pao",2,,8.78881,-64.62868
"El Paraíso",11,,11.26758,-70.10655
"El Paují",4,,10.21026,-67.22436
"El Picacho",6,,7.635,-64.92167
"El Playón",13,,9.96693,-69.78896
"El Porvenir",6,,6.98167,-66.49167
"El Pozo de Polo",23,,10.18944,-71.24556
"El Puente Quemado",23,,10.53333,-71.3
"El Purgatorio",23,,10.33333,-71.16667
"El Socorro",11,,11.13248,-70.22072
"El Tigre",2,,8.88902,-64.2527
"El Tigre Airport",2,,8.83266,-64.21062
"El Tigre San Tomé Airport",2,,8.94515,-64.15108
"El Vigía",14,,8.6135,-71.65702
Elorza,3,,7.06088,-69.49765
"Embalse de Taguaiguai",4,,10.13301,-67.47245
Escagüey,14,,8.69195,-70.99587
"Escuque Municipality",21,,9.25,-70.75
"Estado La Guaira",26,,10.56667,-66.9
Estánquez,14,,8.46004,-71.53242
"Esteller Municipality",18,,9.25,-69.25
"Ezequiel Zamora Municipality",16,,9.69131,-63.60921
Falcón,11,,11,-69.83333
"Falcón Municipality",11,,11.83333,-70
"Federación Municipality",11,,10.83333,-69.41667
"Fernando de Peñalver Municipality",2,,10.0613,-65.04207
"Francisco de Miranda Municipality",12,,8.92416,-67.42929
"Francisco del Carmen Carvajal Municipality",2,,9.90999,-65.67405
"Francisco Javier Pulgar Municipality",23,,8.9635,-71.6173
"Francisco Linares Alcántara Municipality",4,,10.20598,-67.53275
Fuentidueño,17,,11.01481,-63.92526
Galipan,26,,10.5804,-66.90018
"García de Hevia Municipality",20,,8.33333,-72.25
"García Municipality",17,,10.98283,-63.8831
Gibraltar,23,,9.27132,-71.13466
"Girardot Municipality",8,,8.9,-68.25
"Gómez Municipality",17,,11.08333,-63.91667
"Gran Eneal",23,,11.24191,-71.96072
"Gran Roque Island",24,,11.94965,-66.67635
"Gran Sabana Municipality",6,,4.61667,-61.13333
Guacara,7,,10.22609,-67.877
"Guacara Municipality",7,,10.27211,-67.89167
Guadalupe,11,,11.25113,-70.10071
"Guaicaipuro Municipality",15,,10.25,-67
Guanare,18,,9.04183,-69.74206
"Guanare Airport",18,,9.02776,-69.75447
"Guanarito Municipality",18,,8.5,-69
"Guanipa Municipality",2,,8.87998,-64.16102
"Guanta Municipality",2,,10.23448,-64.59552
"Guaraque Municipality",14,,8.15347,-71.73563
Guarenas,15,,10.47027,-66.61934
Guárico,12,,8.66667,-66.58333
Guariquen,19,,10.26514,-62.92873
Guasdualito,3,,7.24241,-70.73235
"Guasdualito Airport",3,,7.21108,-70.75645
"Guásimos Municipality",20,,7.83607,-72.22758
Guasipati,6,,7.47702,-61.89666
Guatire,15,,10.474,-66.54241
Guayabital,18,,9.31984,-70.02375
Güere,11,,11.05693,-70.34651
Güigüe,7,,10.08344,-67.77799
Güiria,19,,10.57721,-62.29841
"Henri Pittier National Park",4,,10.38382,-67.61845
Higuerote,15,,10.48287,-66.10096
"Higuerote Airport",15,,10.46232,-66.09358
Icabarú,6,,4.33077,-61.7358
"Icabarú Airport",6,,4.3361,-61.74067
"Independencia Municipality",22,,10.33472,-68.75555
"Iribarren Municipality",13,,10.08333,-69.41667
"Isla Aves",24,,15.66871,-63.61801
"Isla Bagres",16,,9.78784,-62.31888
"Isla Blanquilla",24,,11.84926,-64.60171
"Isla Burojo",9,,8.66444,-60.72667
"Isla Buruao",1,,1.6825,-66.97972
"Isla Cidra",9,,9.11982,-60.68758
"Isla Corocoro",1,,3.63333,-66.83333
"Isla Cubagua",17,,10.81627,-64.18202
"Isla de Patos",24,,10.63934,-61.86382
"Isla de Tacarigua",7,,10.16079,-67.72998
"Isla de Toas",23,,10.95651,-71.65469
"Isla Duburojo",9,,9.08943,-60.71619
"Isla Guinamorena",9,,9.65639,-62.36056
"Isla Janacaguaja",9,,9.68957,-62.26134
"Isla Jebucabanoco",9,,9.21129,-60.85331
"Isla Jeburina",9,,8.61178,-61.67799
"Isla La Orquilla",24,,11.82256,-64.43945
"Isla La Sola",24,,11.31084,-63.57053
"Isla La Tortuga",24,,10.93333,-65.33333
"Isla Los Venados",19,,10.3574,-64.40089
"Isla Pato",1,,3.13674,-66.51561
"Isla Pico",24,,11.74359,-64.39338
"Isla Ratón",1,,5.13139,-67.81083
"Isla Sacoroco",9,,8.59278,-61.74722
"Islas Los Frailes",24,,11.21376,-63.74143
"Islas Los Hermanos",24,,11.7753,-64.40489
"Islas Papagayos",9,,8.59583,-60.95361
Isnotú,21,,9.36601,-70.70351
"Istmo de Médanos",11,,11.59111,-69.73556
"Jacinto Lara International Airport",13,,10.04275,-69.35862
"Jacura Municipality",11,,11.07417,-68.85604
Jadacaquiva,11,,11.90169,-70.09425
Jaji,14,,8.57068,-71.34455
