idprovincia,codpais,provincia,codisoprov,latitude,longitude
1,VEN,Amazonas,,0.80459,-66.00616
2,VEN,Anzoátegui,,10.1,-64.85
3,VEN,Apure,,7.17369,-70.63196
4,VEN,Aragua,,10.14397,-67.51896
5,VEN,Barinas,,8.46587,-70.74187
6,VEN,Bolívar,,6.98167,-66.49167
7,VEN,Carabobo,,10.26,-67.904
8,VEN,Cojedes,,9.63926,-68.12917
9,VEN,"Delta Amacuro",,8.66444,-60.72667
11,VEN,Falcón,,11.7,-70.21667
12,VEN,Guárico,,7.64271,-66.25408
13,VEN,Lara,,9.57944,-69.44778
14,VEN,Mérida,,8.51667,-71.4
15,VEN,Miranda,,10.27361,-66.04778
16,VEN,Monagas,,10.15,-63.03333
17,VEN,"Nueva Esparta",,11.02095,-63.94602
18,VEN,Portuguesa,,9.30878,-70.05223
19,VEN,Sucre,,10.46667,-64.18333
20,VEN,Táchira,,7.80255,-72.37736
21,VEN,Trujillo,,9.44519,-70.47556
22,VEN,Yaracuy,,10.43949,-68.89496
23,VEN,Zulia,,10.36667,-71.46667
24,VEN,"Dependencias Federales",,11.84926,-64.60171
25,VEN,"Distrito Federal",,10.50482,-66.92188
26,VEN,"Estado La Guaira",,10.61667,-66.93333
