codcuentaesp;descripcion
"ACREED";"Accounts of creditors"
"ANTCLI";"Anticipos de clientes"
"CAJA";"Cash accounts"
"CAMNEG";"Negative exchange difference accounts"
"CAMPOS";"Positive exchange differences accounts"
"CLIENT";"Customer Accounts"
"COMPRA";"Purchase accounts"
"DEVCOM";"Purchase returns"
"DEVVEN";"Sales returns"
"DIVPOS";"Positive differences in foreign currency accounts"
"EURNEG";"Negative exchange differences to the local currency accounts"
"EURPOS";"Positive exchange differences to the local currency accounts"
"GTOBAN";"Banking expenses"
"GTORF";"Expenses for financial surcharge"
"INGRF";"Income from financial surcharge"
"IRPF";"IRPF withholding accounts"
"IRPFA";"IRPF para alquileres"
"IRPFPR";"IRPFPR for providers withholding accounts"
"IVAACR";"Credit accounts in VAT regularization"
"IVADEU";"Debit accounts in VAT regularization"
"IVAEUE";"VAT in intra-community UE deliveries "
"IVAREP";"VAT accounts charged"
"IVAREX";"VAT accounts charged to customers exempt from VAT"
"IVARUE";"VAT accounts charged UE"
"IVARXP";"VAT accounts charged in exports"
"IVASIM";"VAT accounts supported in exports"
"IVASOP";"VAT accounts supported"
"IVASUE";"VAT accounts supported UE"
"PRENEG";"Negative differences in previous exercise accounts"
"PREVIO";"Positive differences in previous exercise accounts"
"PROVEE";"Suppliers accounts"
"PYG";"Profit and loss"
"SUPLI";"Suplidos"
"VENTAS";"Sales accounts"
