coddivisa;descripcion;tasaconv;tasaconvcompra;codiso;simbolo
"EUR";"EUROS";"1";"1";"978";"€"
"ARS";"ARGENTINE PESOS";"16.684";"16.684";"32";"AR$"
"CLP";"CHILEAN PESOS";"704.0227";"704.0227";"152";"CLP$"
"COP";"COLOMBIAN PESOS";"3140.6803";"3140.6803";"170";"CO$"
"DOP";"DOMINICAN PESOS";"49.7618";"49.7618";"214";"RD$"
"GBP";"STERLING POUNDS";"0.865";"0.865";"826";"£"
"HTG";"GOURDES";"72.0869";"72.0869";"322";"G"
"MXN";"MEXICAN PESOS";"23.3678";"23.3678";"484";"MX$"
"PAB";"BALBOAS";"1.128";"1.128";"590";"B"
"PEN";"PERUVIAN SOL";"3.736";"3.736";"604";"S/."
"USD";"US DOLLARS";"1.129";"1.129";"840";"$"
"VEF";"BOLIVARS";"10.6492";"10.6492";"937";"Bs"
