"coddivisa";"descripcion";"tasaconv";"tasaconvcompra";"codiso";"simbolo"
"EUR";"EURO";"1";"1";"978";"€"
"ARS";"PESO ARGENTINO";"16.684";"16.684";"32";"AR$"
"BOB";"BOLIVIANO";"8.0465";"8.0465";"068";"Bs"
"BRL";"REAL BRASILEÑO";"4.50553";"4.50553";"986";"R$"
"CAD";"DÓLAR CANADIENSE";"1.5385";"1.5385";"124";"C$"
"CLP";"PESO CHILENO";"704.0227";"704.0227";"152";"CLP$"
"COP";"PESO COLOMBIANO";"3140.6803";"3140.6803";"170";"CO$"
"CRC";"COLÓN COSTARRICENSE";"659.390";"659.390";"188";"₡"
"CUP";"PESO CUBANO";"1.16";"1.16";"192";"CU$"
"DOP";"PESO DOMINICANO";"49.7618";"49.7618";"214";"RD$"
"FKP";"LIBRA MALVINENSE";"1.13304";"1.13304";"238";"FK£"
"GBP";"LIBRA ESTERLINA";"0.865";"0.865";"826";"£"
"GTQ";"QUETZAL GUATEMALTECO";"8.7740";"8.7740";"320";"Q"
"HNL";"LEMPIRA HONDUREÑO";"27.9090";"27.9090";"340";"L"
"HTG";"GOURDE HAITIANO";"72.0869";"72.0869";"332";"G"
"MXN";"PESO MEXICANO";"23.3678";"23.3678";"484";"MX$"
"PAB";"BALBOA PANAMEÑO";"1.128";"1.128";"590";"B"
"PEN";"SOL PERUANO";"3.736";"3.736";"604";"S/"
"PYG";"GUARANÍ PARAGUAYO";"6647.44318";"6647.44318";"600";"₲"
"SVC";"COLON SALVADOREÑO";"10.17";"10.17";"222";"₡"
"USD";"DÓLAR AMERICANO";"1.129";"1.129";"840";"$"
"UYU";"PESO URUGUAYO";"30.70";"30.70";"858";"$U"
"VEF";"BOLIVAR VENEZOLANO";"10.6492";"10.6492";"937";"Bs"
