idestado;tipodoc;nombre;predeterminado;bloquear;editable;actualizastock;generadoc;icon;orden
1;PresupuestoCliente;Abierto;true;true;true;0;;;10
2;PresupuestoCliente;Pedido;false;true;false;0;PedidoCliente;;50
3;PresupuestoCliente;Rechazado;false;true;false;0;;;210
23;PresupuestoCliente;Caducado;false;true;false;0;;fa-solid fa-hourglass-end;200
24;PresupuestoCliente;Facturar;false;true;false;0;FacturaCliente;;60
4;PedidoCliente;Abierto;true;true;true;-2;;;10
5;PedidoCliente;Albarán;false;true;false;0;AlbaranCliente;;50
25;PedidoCliente;Facturar;false;true;false;0;FacturaCliente;;60
6;PedidoCliente;Cancelado;false;true;false;0;;;200
7;AlbaranCliente;Abierto;true;true;true;-1;;;10
8;AlbaranCliente;Facturar;false;true;false;0;FacturaCliente;;50
9;AlbaranCliente;Devuelto;false;true;false;0;;;200
10;FacturaCliente;Boceto;true;true;true;-1;;;10
11;FacturaCliente;Emitida;false;true;false;-1;;;50
12;PresupuestoProveedor;Abierto;true;true;true;0;;;10
13;PresupuestoProveedor;Pedido;false;true;false;0;PedidoProveedor;;50
14;PresupuestoProveedor;Cancelado;false;true;false;0;;;200
26;PresupuestoProveedor;Facturar;false;true;false;0;FacturaProveedor;;60
15;PedidoProveedor;Abierto;true;true;true;2;;;10
16;PedidoProveedor;Albarán;false;true;false;0;AlbaranProveedor;;50
17;PedidoProveedor;Cancelado;false;true;false;0;;;200
27;PedidoProveedor;Facturar;false;true;false;0;FacturaProveedor;;60
18;AlbaranProveedor;Abierto;true;true;true;1;;;10
19;AlbaranProveedor;Facturar;false;true;false;0;FacturaProveedor;;50
20;AlbaranProveedor;Devuelto;false;true;false;0;;;200
21;FacturaProveedor;Boceto;true;true;true;1;;;10
22;FacturaProveedor;Recibida;false;true;false;1;;;50
