"coddivisa";"descripcion";"tasaconv";"tasaconvcompra";"codiso";"simbolo"
"EUR";"EURO";"1";"1";"978";"€"
"ARS";"PESO ARGENTINAR";"16.684";"16.684";"32";"AR$"
"BOB";"BIGARREN BOLIVIANO";"8.0465";"8.0465";"068";"Bs"
"BRL";"BIGARREN ERREAL BRASILDAR";"4.50553";"4.50553";"986";"R$"
"CAD";"DOLAR KANADAR";"1.5385";"1.5385";"124";"C$"
"CLP";"PESO TXILETAR";"704.0227";"704.0227";"152";"CLP$"
"COP";"PESO COLOMBIANO";"3140.6803";"3140.6803";"170";"CO$"
"CRC";"COLON COSTARRICAR";"659.390";"659.390";"188";"¢"
"CUP";"PESO CUBANO";"1.16";"1.16";"192";"CU$"
"DOP";"PESO KUBATAR";"49.7618";"49.7618";"214";"RD$"
"FKP";"LIBERA FALKLANDAR";"1.13304";"1.13304";"238";"FK£"
"GBP";"LIBERA ESTERLINA";"0.865";"0.865";"826";"£"
"GTQ";"KETZAL";"8.7740";"8.7740";"320";"Q"
"HNL";"LEMPIRA";"27.9090";"27.9090";"340";"L"
"HTG";"GOURDE";"72.0869";"72.0869";"332";"G"
"MXN";"PESO MEXIKAR BERRIA";"23.3678";"23.3678";"484";"MX$"
"PAB";"BALBOA";"1.128";"1.128";"590";"B"
"PEN";"BIGARREN SOL";"3.736";"3.736";"604";"S/"
"PYG";"GUARANI";"6647.44318";"6647.44318";"600";"?"
"SVC";"COLON SALVADOTAR";"10.17";"10.17";"222";"¢"
"USD";"DOLAR ESTATUBATUAR";"1.129";"1.129";"840";"$"
"UYU";"PESO URUGUAITAR";"30.70";"30.70";"858";"$U"
"VEF";"BOLIVAR";"10.6492";"10.6492";"937";"Bs"
