"idestado";"tipodoc";"nombre";"predeterminado";"bloquear";"editable";"actualizastock";"generadoc";"orden"
1;"PresupuestoCliente";"Berria";"true";"true";"true";0;;10
2;"PresupuestoCliente";"Onartua";"false";"true";"false";0;"PedidoCliente";50
3;"PresupuestoCliente";"Baztertua";"false";"true";"false";0;;210
4;"PedidoCliente";"Berria";"true";"true";"true";-2;;10
5;"PedidoCliente";"Onartua";"false";"true";"false";0;"AlbaranCliente";50
25;"PedidoCliente";"Sartu";"false";"true";"false";0;"FacturaCliente";60
6;"PedidoCliente";"Bertan behera";"false";"true";"false";0;;200
23;"PresupuestoCliente";"Denbora muga";"false";"true";"false";0;;200
24;"PresupuestoCliente";"Sartu";"false";"true";"false";0;"FacturaCliente";60
7;"AlbaranCliente";"Berria";"true";"true";"true";-1;;10
8;"AlbaranCliente";"Onartua";"false";"true";"false";0;"FacturaCliente";50
9;"AlbaranCliente";"Itzulia";"false";"true";"false";0;;200
10;"FacturaCliente";"Berria";"true";"true";"true";-1;;10
11;"FacturaCliente";"Burutua";"false";"true";"false";-1;;50
12;"PresupuestoProveedor";"Berria";"true";"true";"true";0;;10
13;"PresupuestoProveedor";"Onartua";"false";"true";"false";0;"PedidoProveedor";50
14;"PresupuestoProveedor";"Bertan behera";"false";"true";"false";0;;200
15;"PedidoProveedor";"Berria";"true";"true";"true";2;;10
16;"PedidoProveedor";"Onartua";"false";"true";"false";0;"AlbaranProveedor";50
17;"PedidoProveedor";"Bertan behera";"false";"true";"false";0;;200
18;"AlbaranProveedor";"Berria";"true";"true";"true";1;;10
19;"AlbaranProveedor";"Onartua";"false";"true";"false";0;"FacturaProveedor";50
20;"AlbaranProveedor";"Itzulia";"false";"true";"false";0;;200
21;"FacturaProveedor";"Berria";"true";"true";"true";1;;10
22;"FacturaProveedor";"Burutua";"false";"true";"false";1;;50
